네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","키즈패딩"
"2017-08-01",2
"2017-08-02",2
"2017-08-03",1
"2017-08-04",1
"2017-08-05",2
"2017-08-06",2
"2017-08-07",2
"2017-08-08",2
"2017-08-09",2
"2017-08-10",2
"2017-08-11",3
"2017-08-12",3
"2017-08-13",3
"2017-08-14",4
"2017-08-15",5
"2017-08-16",3
"2017-08-17",4
"2017-08-18",4
"2017-08-19",4
"2017-08-20",4
"2017-08-21",5
"2017-08-22",6
"2017-08-23",5
"2017-08-24",4
"2017-08-25",5
"2017-08-26",4
"2017-08-27",5
"2017-08-28",4
"2017-08-29",6
"2017-08-30",6
"2017-08-31",4
"2017-09-01",4
"2017-09-02",4
"2017-09-03",5
"2017-09-04",5
"2017-09-05",5
"2017-09-06",5
"2017-09-07",4
"2017-09-08",4
"2017-09-09",2
"2017-09-10",6
"2017-09-11",5
"2017-09-12",3
"2017-09-13",4
"2017-09-14",3
"2017-09-15",3
"2017-09-16",4
"2017-09-17",5
"2017-09-18",4
"2017-09-19",4
"2017-09-20",5
"2017-09-21",4
"2017-09-22",3
"2017-09-23",4
"2017-09-24",3
"2017-09-25",4
"2017-09-26",4
"2017-09-27",4
"2017-09-28",4
"2017-09-29",5
"2017-09-30",5
"2017-10-01",5
"2017-10-02",4
"2017-10-03",4
"2017-10-04",4
"2017-10-05",6
"2017-10-06",6
"2017-10-07",6
"2017-10-08",6
"2017-10-09",8
"2017-10-10",6
"2017-10-11",9
"2017-10-12",15
"2017-10-13",15
"2017-10-14",13
"2017-10-15",13
"2017-10-16",15
"2017-10-17",13
"2017-10-18",16
"2017-10-19",12
"2017-10-20",10
"2017-10-21",9
"2017-10-22",12
"2017-10-23",19
"2017-10-24",18
"2017-10-25",16
"2017-10-26",15
"2017-10-27",14
"2017-10-28",13
"2017-10-29",25
"2017-10-30",52
"2017-10-31",38
"2017-11-01",33
"2017-11-02",27
"2017-11-03",27
"2017-11-04",33
"2017-11-05",39
"2017-11-06",42
"2017-11-07",32
"2017-11-08",33
"2017-11-09",33
"2017-11-10",28
"2017-11-11",34
"2017-11-12",52
"2017-11-13",55
"2017-11-14",53
"2017-11-15",70
"2017-11-16",83
"2017-11-17",70
"2017-11-18",68
"2017-11-19",88
"2017-11-20",100
"2017-11-21",80
"2017-11-22",63
"2017-11-23",65
"2017-11-24",55
"2017-11-25",50
"2017-11-26",55
"2017-11-27",47
"2017-11-28",37
"2017-11-29",36
"2017-11-30",45
"2017-12-01",42
"2017-12-02",37
"2017-12-03",44
"2017-12-04",50
"2017-12-05",55
"2017-12-06",50
"2017-12-07",38
"2017-12-08",33
"2017-12-09",30
"2017-12-10",40
"2017-12-11",61
"2017-12-12",55
"2017-12-13",49
"2017-12-14",38
"2017-12-15",27
"2017-12-16",30
"2017-12-17",37
"2017-12-18",36
"2017-12-19",31
"2017-12-20",32
"2017-12-21",21
"2017-12-22",15
"2017-12-23",19
"2017-12-24",17
"2017-12-25",23
"2017-12-26",26
"2017-12-27",22
"2017-12-28",23
"2017-12-29",15
"2017-12-30",15
"2017-12-31",13
"2018-01-01",17
"2018-01-02",19
"2018-01-03",19
"2018-01-04",19
"2018-01-05",16
"2018-01-06",15
"2018-01-07",22
"2018-01-08",19
"2018-01-09",24
"2018-01-10",26
"2018-01-11",32
"2018-01-12",24
"2018-01-13",23
"2018-01-14",25
"2018-01-15",18
"2018-01-16",15
"2018-01-17",15
"2018-01-18",12
"2018-01-19",10
"2018-01-20",11
"2018-01-21",12
"2018-01-22",16
"2018-01-23",19
"2018-01-24",27
"2018-01-25",25
"2018-01-26",21
"2018-01-27",24
"2018-01-28",21
"2018-01-29",23
"2018-01-30",24
"2018-01-31",19
"2018-02-01",18
"2018-02-02",15
"2018-02-03",17
"2018-02-04",23
"2018-02-05",24
"2018-02-06",23
"2018-02-07",23
"2018-02-08",18
"2018-02-09",14
"2018-02-10",11
"2018-02-11",17
"2018-02-12",16
"2018-02-13",11
"2018-02-14",8
"2018-02-15",5
"2018-02-16",6
"2018-02-17",10
"2018-02-18",15
"2018-02-19",13
"2018-02-20",10
"2018-02-21",11
"2018-02-22",9
"2018-02-23",7
"2018-02-24",8
"2018-02-25",13
"2018-02-26",9
"2018-02-27",8
"2018-02-28",6
"2018-03-01",10
"2018-03-02",9
"2018-03-03",6
"2018-03-04",7
"2018-03-05",8
"2018-03-06",7
"2018-03-07",8
"2018-03-08",8
"2018-03-09",6
"2018-03-10",5
"2018-03-11",5
"2018-03-12",4
"2018-03-13",4
"2018-03-14",2
"2018-03-15",2
"2018-03-16",1
"2018-03-17",1
"2018-03-18",2
"2018-03-19",2
"2018-03-20",2
"2018-03-21",2
"2018-03-22",1
"2018-03-23",1
"2018-03-24",1
"2018-03-25",1
"2018-03-26",1
"2018-03-27",
"2018-03-28",
"2018-03-29",
"2018-03-30",
"2018-03-31",
"2018-04-01",
"2018-04-02",
"2018-04-03",
"2018-04-04",
"2018-04-05",
"2018-04-06",
"2018-04-07",
"2018-04-08",
"2018-04-09",
"2018-04-10",
"2018-04-11",
"2018-04-12",
"2018-04-13",
"2018-04-14",
"2018-04-15",
"2018-04-16",
"2018-04-17",
"2018-04-18",
"2018-04-19",
