네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","후드티"
"2017-08-01",3
"2017-08-02",2
"2017-08-03",3
"2017-08-04",3
"2017-08-05",4
"2017-08-06",4
"2017-08-07",4
"2017-08-08",4
"2017-08-09",5
"2017-08-10",7
"2017-08-11",6
"2017-08-12",7
"2017-08-13",10
"2017-08-14",12
"2017-08-15",18
"2017-08-16",16
"2017-08-17",15
"2017-08-18",13
"2017-08-19",18
"2017-08-20",25
"2017-08-21",20
"2017-08-22",19
"2017-08-23",18
"2017-08-24",19
"2017-08-25",16
"2017-08-26",23
"2017-08-27",31
"2017-08-28",28
"2017-08-29",48
"2017-08-30",61
"2017-08-31",52
"2017-09-01",45
"2017-09-02",55
"2017-09-03",62
"2017-09-04",46
"2017-09-05",49
"2017-09-06",49
"2017-09-07",47
"2017-09-08",38
"2017-09-09",44
"2017-09-10",58
"2017-09-11",47
"2017-09-12",42
"2017-09-13",45
"2017-09-14",43
"2017-09-15",40
"2017-09-16",56
"2017-09-17",68
"2017-09-18",56
"2017-09-19",53
"2017-09-20",52
"2017-09-21",51
"2017-09-22",46
"2017-09-23",50
"2017-09-24",65
"2017-09-25",52
"2017-09-26",48
"2017-09-27",44
"2017-09-28",39
"2017-09-29",44
"2017-09-30",49
"2017-10-01",63
"2017-10-02",61
"2017-10-03",54
"2017-10-04",59
"2017-10-05",62
"2017-10-06",75
"2017-10-07",67
"2017-10-08",75
"2017-10-09",77
"2017-10-10",65
"2017-10-11",80
"2017-10-12",89
"2017-10-13",73
"2017-10-14",76
"2017-10-15",100
"2017-10-16",82
"2017-10-17",80
"2017-10-18",79
"2017-10-19",63
"2017-10-20",56
"2017-10-21",62
"2017-10-22",79
"2017-10-23",72
"2017-10-24",72
"2017-10-25",67
"2017-10-26",60
"2017-10-27",50
"2017-10-28",56
"2017-10-29",80
"2017-10-30",71
"2017-10-31",62
"2017-11-01",62
"2017-11-02",56
"2017-11-03",48
"2017-11-04",61
"2017-11-05",73
"2017-11-06",66
"2017-11-07",58
"2017-11-08",60
"2017-11-09",46
"2017-11-10",37
"2017-11-11",44
"2017-11-12",56
"2017-11-13",48
"2017-11-14",44
"2017-11-15",44
"2017-11-16",42
"2017-11-17",31
"2017-11-18",42
"2017-11-19",55
"2017-11-20",42
"2017-11-21",37
"2017-11-22",34
"2017-11-23",36
"2017-11-24",28
"2017-11-25",31
"2017-11-26",43
"2017-11-27",35
"2017-11-28",35
"2017-11-29",30
"2017-11-30",31
"2017-12-01",28
"2017-12-02",35
"2017-12-03",47
"2017-12-04",37
"2017-12-05",36
"2017-12-06",33
"2017-12-07",30
"2017-12-08",26
"2017-12-09",30
"2017-12-10",40
"2017-12-11",36
"2017-12-12",34
"2017-12-13",31
"2017-12-14",27
"2017-12-15",24
"2017-12-16",27
"2017-12-17",38
"2017-12-18",33
"2017-12-19",30
"2017-12-20",28
"2017-12-21",22
"2017-12-22",20
"2017-12-23",25
"2017-12-24",27
"2017-12-25",30
"2017-12-26",27
"2017-12-27",25
"2017-12-28",23
"2017-12-29",18
"2017-12-30",22
"2017-12-31",25
"2018-01-01",32
"2018-01-02",30
"2018-01-03",34
"2018-01-04",29
"2018-01-05",24
"2018-01-06",30
"2018-01-07",34
"2018-01-08",36
"2018-01-09",34
"2018-01-10",36
"2018-01-11",31
"2018-01-12",27
"2018-01-13",29
"2018-01-14",36
"2018-01-15",35
"2018-01-16",33
"2018-01-17",31
"2018-01-18",27
"2018-01-19",24
"2018-01-20",24
"2018-01-21",34
"2018-01-22",32
"2018-01-23",33
"2018-01-24",32
"2018-01-25",29
"2018-01-26",24
"2018-01-27",28
"2018-01-28",36
"2018-01-29",33
"2018-01-30",34
"2018-01-31",28
"2018-02-01",29
"2018-02-02",24
"2018-02-03",29
"2018-02-04",39
"2018-02-05",33
"2018-02-06",35
"2018-02-07",30
"2018-02-08",25
"2018-02-09",23
"2018-02-10",24
"2018-02-11",33
"2018-02-12",28
"2018-02-13",21
"2018-02-14",19
"2018-02-15",22
"2018-02-16",23
"2018-02-17",32
"2018-02-18",43
"2018-02-19",37
"2018-02-20",33
"2018-02-21",32
"2018-02-22",30
"2018-02-23",27
"2018-02-24",30
"2018-02-25",38
"2018-02-26",38
"2018-02-27",34
"2018-02-28",33
"2018-03-01",37
"2018-03-02",28
"2018-03-03",37
"2018-03-04",50
"2018-03-05",34
"2018-03-06",36
"2018-03-07",31
"2018-03-08",31
"2018-03-09",28
"2018-03-10",33
"2018-03-11",46
"2018-03-12",36
"2018-03-13",37
"2018-03-14",29
"2018-03-15",28
"2018-03-16",28
"2018-03-17",34
"2018-03-18",45
"2018-03-19",38
"2018-03-20",33
"2018-03-21",32
"2018-03-22",26
"2018-03-23",25
"2018-03-24",33
"2018-03-25",43
"2018-03-26",31
"2018-03-27",29
"2018-03-28",26
"2018-03-29",21
"2018-03-30",18
"2018-03-31",22
"2018-04-01",25
"2018-04-02",20
"2018-04-03",16
"2018-04-04",14
"2018-04-05",18
"2018-04-06",14
"2018-04-07",20
"2018-04-08",30
"2018-04-09",19
"2018-04-10",17
"2018-04-11",18
"2018-04-12",14
"2018-04-13",12
"2018-04-14",19
"2018-04-15",24
"2018-04-16",20
"2018-04-17",18
"2018-04-18",15
"2018-04-19",13
