네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","아디다스맨투맨"
"2017-08-01",5
"2017-08-02",5
"2017-08-03",5
"2017-08-04",10
"2017-08-05",13
"2017-08-06",12
"2017-08-07",10
"2017-08-08",14
"2017-08-09",10
"2017-08-10",30
"2017-08-11",18
"2017-08-12",16
"2017-08-13",21
"2017-08-14",25
"2017-08-15",40
"2017-08-16",40
"2017-08-17",45
"2017-08-18",32
"2017-08-19",35
"2017-08-20",47
"2017-08-21",45
"2017-08-22",37
"2017-08-23",33
"2017-08-24",36
"2017-08-25",36
"2017-08-26",44
"2017-08-27",56
"2017-08-28",47
"2017-08-29",59
"2017-08-30",69
"2017-08-31",71
"2017-09-01",64
"2017-09-02",66
"2017-09-03",84
"2017-09-04",69
"2017-09-05",66
"2017-09-06",61
"2017-09-07",58
"2017-09-08",47
"2017-09-09",61
"2017-09-10",88
"2017-09-11",71
"2017-09-12",67
"2017-09-13",57
"2017-09-14",57
"2017-09-15",48
"2017-09-16",59
"2017-09-17",77
"2017-09-18",66
"2017-09-19",63
"2017-09-20",59
"2017-09-21",57
"2017-09-22",51
"2017-09-23",52
"2017-09-24",64
"2017-09-25",60
"2017-09-26",53
"2017-09-27",48
"2017-09-28",46
"2017-09-29",43
"2017-09-30",54
"2017-10-01",67
"2017-10-02",56
"2017-10-03",57
"2017-10-04",52
"2017-10-05",64
"2017-10-06",70
"2017-10-07",71
"2017-10-08",65
"2017-10-09",76
"2017-10-10",59
"2017-10-11",66
"2017-10-12",65
"2017-10-13",49
"2017-10-14",58
"2017-10-15",67
"2017-10-16",58
"2017-10-17",56
"2017-10-18",53
"2017-10-19",45
"2017-10-20",42
"2017-10-21",43
"2017-10-22",58
"2017-10-23",46
"2017-10-24",41
"2017-10-25",42
"2017-10-26",40
"2017-10-27",30
"2017-10-28",34
"2017-10-29",49
"2017-10-30",41
"2017-10-31",36
"2017-11-01",49
"2017-11-02",32
"2017-11-03",29
"2017-11-04",32
"2017-11-05",51
"2017-11-06",41
"2017-11-07",33
"2017-11-08",34
"2017-11-09",31
"2017-11-10",26
"2017-11-11",30
"2017-11-12",37
"2017-11-13",36
"2017-11-14",30
"2017-11-15",26
"2017-11-16",27
"2017-11-17",24
"2017-11-18",23
"2017-11-19",35
"2017-11-20",30
"2017-11-21",30
"2017-11-22",27
"2017-11-23",27
"2017-11-24",25
"2017-11-25",26
"2017-11-26",30
"2017-11-27",29
"2017-11-28",24
"2017-11-29",24
"2017-11-30",24
"2017-12-01",20
"2017-12-02",23
"2017-12-03",28
"2017-12-04",27
"2017-12-05",25
"2017-12-06",22
"2017-12-07",21
"2017-12-08",20
"2017-12-09",22
"2017-12-10",27
"2017-12-11",27
"2017-12-12",26
"2017-12-13",23
"2017-12-14",22
"2017-12-15",17
"2017-12-16",17
"2017-12-17",27
"2017-12-18",22
"2017-12-19",24
"2017-12-20",20
"2017-12-21",17
"2017-12-22",15
"2017-12-23",18
"2017-12-24",21
"2017-12-25",23
"2017-12-26",22
"2017-12-27",20
"2017-12-28",16
"2017-12-29",17
"2017-12-30",20
"2017-12-31",19
"2018-01-01",27
"2018-01-02",25
"2018-01-03",24
"2018-01-04",23
"2018-01-05",19
"2018-01-06",21
"2018-01-07",29
"2018-01-08",24
"2018-01-09",24
"2018-01-10",21
"2018-01-11",26
"2018-01-12",20
"2018-01-13",25
"2018-01-14",28
"2018-01-15",26
"2018-01-16",28
"2018-01-17",30
"2018-01-18",43
"2018-01-19",37
"2018-01-20",46
"2018-01-21",47
"2018-01-22",50
"2018-01-23",44
"2018-01-24",41
"2018-01-25",39
"2018-01-26",31
"2018-01-27",36
"2018-01-28",51
"2018-01-29",43
"2018-01-30",41
"2018-01-31",43
"2018-02-01",37
"2018-02-02",31
"2018-02-03",34
"2018-02-04",50
"2018-02-05",51
"2018-02-06",45
"2018-02-07",43
"2018-02-08",37
"2018-02-09",32
"2018-02-10",37
"2018-02-11",50
"2018-02-12",40
"2018-02-13",32
"2018-02-14",33
"2018-02-15",41
"2018-02-16",44
"2018-02-17",88
"2018-02-18",100
"2018-02-19",77
"2018-02-20",64
"2018-02-21",54
"2018-02-22",54
"2018-02-23",51
"2018-02-24",53
"2018-02-25",67
"2018-02-26",54
"2018-02-27",54
"2018-02-28",49
"2018-03-01",52
"2018-03-02",43
"2018-03-03",46
"2018-03-04",59
"2018-03-05",52
"2018-03-06",43
"2018-03-07",41
"2018-03-08",41
"2018-03-09",31
"2018-03-10",43
"2018-03-11",61
"2018-03-12",43
"2018-03-13",47
"2018-03-14",40
"2018-03-15",41
"2018-03-16",34
"2018-03-17",39
"2018-03-18",57
"2018-03-19",43
"2018-03-20",34
"2018-03-21",26
"2018-03-22",29
"2018-03-23",28
"2018-03-24",36
"2018-03-25",51
"2018-03-26",48
"2018-03-27",42
"2018-03-28",33
"2018-03-29",26
"2018-03-30",24
"2018-03-31",25
"2018-04-01",31
"2018-04-02",22
"2018-04-03",19
"2018-04-04",21
"2018-04-05",19
"2018-04-06",15
"2018-04-07",18
"2018-04-08",24
"2018-04-09",20
"2018-04-10",20
"2018-04-11",18
"2018-04-12",15
"2018-04-13",12
"2018-04-14",17
"2018-04-15",26
"2018-04-16",24
"2018-04-17",20
"2018-04-18",17
"2018-04-19",16
