네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","뷔스티에원피스"
"2017-08-01",65
"2017-08-02",60
"2017-08-03",55
"2017-08-04",54
"2017-08-05",90
"2017-08-06",100
"2017-08-07",95
"2017-08-08",79
"2017-08-09",79
"2017-08-10",73
"2017-08-11",71
"2017-08-12",64
"2017-08-13",68
"2017-08-14",54
"2017-08-15",67
"2017-08-16",62
"2017-08-17",60
"2017-08-18",48
"2017-08-19",53
"2017-08-20",72
"2017-08-21",59
"2017-08-22",64
"2017-08-23",59
"2017-08-24",51
"2017-08-25",46
"2017-08-26",57
"2017-08-27",81
"2017-08-28",60
"2017-08-29",62
"2017-08-30",53
"2017-08-31",51
"2017-09-01",44
"2017-09-02",41
"2017-09-03",62
"2017-09-04",49
"2017-09-05",51
"2017-09-06",49
"2017-09-07",53
"2017-09-08",47
"2017-09-09",55
"2017-09-10",61
"2017-09-11",57
"2017-09-12",58
"2017-09-13",66
"2017-09-14",61
"2017-09-15",46
"2017-09-16",52
"2017-09-17",74
"2017-09-18",76
"2017-09-19",62
"2017-09-20",59
"2017-09-21",56
"2017-09-22",46
"2017-09-23",54
"2017-09-24",69
"2017-09-25",73
"2017-09-26",63
"2017-09-27",52
"2017-09-28",37
"2017-09-29",29
"2017-09-30",32
"2017-10-01",38
"2017-10-02",32
"2017-10-03",31
"2017-10-04",31
"2017-10-05",30
"2017-10-06",34
"2017-10-07",37
"2017-10-08",38
"2017-10-09",50
"2017-10-10",47
"2017-10-11",41
"2017-10-12",32
"2017-10-13",29
"2017-10-14",30
"2017-10-15",38
"2017-10-16",38
"2017-10-17",35
"2017-10-18",32
"2017-10-19",35
"2017-10-20",30
"2017-10-21",29
"2017-10-22",41
"2017-10-23",31
"2017-10-24",36
"2017-10-25",33
"2017-10-26",27
"2017-10-27",29
"2017-10-28",31
"2017-10-29",36
"2017-10-30",29
"2017-10-31",28
"2017-11-01",32
"2017-11-02",27
"2017-11-03",28
"2017-11-04",27
"2017-11-05",36
"2017-11-06",30
"2017-11-07",34
"2017-11-08",37
"2017-11-09",33
"2017-11-10",28
"2017-11-11",24
"2017-11-12",41
"2017-11-13",38
"2017-11-14",37
"2017-11-15",35
"2017-11-16",33
"2017-11-17",31
"2017-11-18",36
"2017-11-19",46
"2017-11-20",42
"2017-11-21",36
"2017-11-22",39
"2017-11-23",35
"2017-11-24",29
"2017-11-25",32
"2017-11-26",47
"2017-11-27",38
"2017-11-28",47
"2017-11-29",45
"2017-11-30",38
"2017-12-01",33
"2017-12-02",42
"2017-12-03",53
"2017-12-04",54
"2017-12-05",51
"2017-12-06",49
"2017-12-07",45
"2017-12-08",37
"2017-12-09",36
"2017-12-10",61
"2017-12-11",53
"2017-12-12",50
"2017-12-13",50
"2017-12-14",45
"2017-12-15",40
"2017-12-16",41
"2017-12-17",55
"2017-12-18",53
"2017-12-19",55
"2017-12-20",41
"2017-12-21",32
"2017-12-22",31
"2017-12-23",29
"2017-12-24",30
"2017-12-25",33
"2017-12-26",38
"2017-12-27",38
"2017-12-28",38
"2017-12-29",29
"2017-12-30",37
"2017-12-31",30
"2018-01-01",40
"2018-01-02",46
"2018-01-03",46
"2018-01-04",42
"2018-01-05",37
"2018-01-06",43
"2018-01-07",49
"2018-01-08",49
"2018-01-09",47
"2018-01-10",46
"2018-01-11",40
"2018-01-12",36
"2018-01-13",38
"2018-01-14",47
"2018-01-15",50
"2018-01-16",55
"2018-01-17",49
"2018-01-18",45
"2018-01-19",34
"2018-01-20",44
"2018-01-21",57
"2018-01-22",48
"2018-01-23",52
"2018-01-24",48
"2018-01-25",38
"2018-01-26",35
"2018-01-27",47
"2018-01-28",50
"2018-01-29",40
"2018-01-30",44
"2018-01-31",41
"2018-02-01",42
"2018-02-02",34
"2018-02-03",44
"2018-02-04",49
"2018-02-05",53
"2018-02-06",46
"2018-02-07",47
"2018-02-08",46
"2018-02-09",36
"2018-02-10",35
"2018-02-11",44
"2018-02-12",37
"2018-02-13",32
"2018-02-14",25
"2018-02-15",31
"2018-02-16",29
"2018-02-17",38
"2018-02-18",47
"2018-02-19",44
"2018-02-20",46
"2018-02-21",53
"2018-02-22",41
"2018-02-23",39
"2018-02-24",39
"2018-02-25",47
"2018-02-26",51
"2018-02-27",56
"2018-02-28",53
"2018-03-01",53
"2018-03-02",48
"2018-03-03",52
"2018-03-04",79
"2018-03-05",65
"2018-03-06",67
"2018-03-07",57
"2018-03-08",56
"2018-03-09",48
"2018-03-10",56
"2018-03-11",71
"2018-03-12",66
"2018-03-13",70
"2018-03-14",77
"2018-03-15",61
"2018-03-16",63
"2018-03-17",65
"2018-03-18",91
"2018-03-19",82
"2018-03-20",65
"2018-03-21",75
"2018-03-22",64
"2018-03-23",61
"2018-03-24",61
"2018-03-25",75
"2018-03-26",75
"2018-03-27",75
"2018-03-28",84
"2018-03-29",76
"2018-03-30",64
"2018-03-31",68
"2018-04-01",88
"2018-04-02",93
"2018-04-03",99
"2018-04-04",97
"2018-04-05",83
"2018-04-06",64
"2018-04-07",71
"2018-04-08",90
"2018-04-09",73
"2018-04-10",89
"2018-04-11",88
"2018-04-12",83
"2018-04-13",66
"2018-04-14",76
"2018-04-15",96
"2018-04-16",74
"2018-04-17",87
"2018-04-18",78
"2018-04-19",80
