네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","나이키맨투맨"
"2017-08-01",4
"2017-08-02",5
"2017-08-03",4
"2017-08-04",4
"2017-08-05",5
"2017-08-06",7
"2017-08-07",8
"2017-08-08",8
"2017-08-09",10
"2017-08-10",11
"2017-08-11",9
"2017-08-12",9
"2017-08-13",16
"2017-08-14",16
"2017-08-15",26
"2017-08-16",24
"2017-08-17",29
"2017-08-18",23
"2017-08-19",23
"2017-08-20",36
"2017-08-21",37
"2017-08-22",32
"2017-08-23",33
"2017-08-24",26
"2017-08-25",27
"2017-08-26",30
"2017-08-27",42
"2017-08-28",46
"2017-08-29",59
"2017-08-30",75
"2017-08-31",60
"2017-09-01",64
"2017-09-02",65
"2017-09-03",79
"2017-09-04",74
"2017-09-05",66
"2017-09-06",76
"2017-09-07",73
"2017-09-08",64
"2017-09-09",58
"2017-09-10",83
"2017-09-11",86
"2017-09-12",68
"2017-09-13",70
"2017-09-14",63
"2017-09-15",55
"2017-09-16",74
"2017-09-17",100
"2017-09-18",87
"2017-09-19",84
"2017-09-20",76
"2017-09-21",70
"2017-09-22",60
"2017-09-23",58
"2017-09-24",74
"2017-09-25",76
"2017-09-26",75
"2017-09-27",64
"2017-09-28",58
"2017-09-29",49
"2017-09-30",58
"2017-10-01",81
"2017-10-02",76
"2017-10-03",76
"2017-10-04",73
"2017-10-05",84
"2017-10-06",92
"2017-10-07",89
"2017-10-08",92
"2017-10-09",99
"2017-10-10",88
"2017-10-11",89
"2017-10-12",87
"2017-10-13",64
"2017-10-14",75
"2017-10-15",83
"2017-10-16",82
"2017-10-17",72
"2017-10-18",74
"2017-10-19",60
"2017-10-20",46
"2017-10-21",55
"2017-10-22",70
"2017-10-23",74
"2017-10-24",58
"2017-10-25",57
"2017-10-26",52
"2017-10-27",48
"2017-10-28",44
"2017-10-29",66
"2017-10-30",57
"2017-10-31",51
"2017-11-01",55
"2017-11-02",51
"2017-11-03",44
"2017-11-04",46
"2017-11-05",66
"2017-11-06",59
"2017-11-07",54
"2017-11-08",54
"2017-11-09",40
"2017-11-10",39
"2017-11-11",41
"2017-11-12",51
"2017-11-13",49
"2017-11-14",40
"2017-11-15",38
"2017-11-16",36
"2017-11-17",30
"2017-11-18",34
"2017-11-19",48
"2017-11-20",45
"2017-11-21",41
"2017-11-22",39
"2017-11-23",30
"2017-11-24",29
"2017-11-25",32
"2017-11-26",42
"2017-11-27",38
"2017-11-28",37
"2017-11-29",34
"2017-11-30",33
"2017-12-01",30
"2017-12-02",33
"2017-12-03",44
"2017-12-04",41
"2017-12-05",36
"2017-12-06",35
"2017-12-07",34
"2017-12-08",28
"2017-12-09",27
"2017-12-10",41
"2017-12-11",41
"2017-12-12",37
"2017-12-13",34
"2017-12-14",29
"2017-12-15",28
"2017-12-16",27
"2017-12-17",40
"2017-12-18",40
"2017-12-19",38
"2017-12-20",32
"2017-12-21",26
"2017-12-22",23
"2017-12-23",25
"2017-12-24",27
"2017-12-25",29
"2017-12-26",32
"2017-12-27",27
"2017-12-28",24
"2017-12-29",25
"2017-12-30",27
"2017-12-31",26
"2018-01-01",35
"2018-01-02",34
"2018-01-03",38
"2018-01-04",33
"2018-01-05",31
"2018-01-06",34
"2018-01-07",44
"2018-01-08",43
"2018-01-09",39
"2018-01-10",39
"2018-01-11",35
"2018-01-12",32
"2018-01-13",34
"2018-01-14",44
"2018-01-15",49
"2018-01-16",43
"2018-01-17",47
"2018-01-18",40
"2018-01-19",35
"2018-01-20",38
"2018-01-21",50
"2018-01-22",49
"2018-01-23",45
"2018-01-24",43
"2018-01-25",38
"2018-01-26",31
"2018-01-27",30
"2018-01-28",43
"2018-01-29",47
"2018-01-30",42
"2018-01-31",44
"2018-02-01",51
"2018-02-02",41
"2018-02-03",43
"2018-02-04",63
"2018-02-05",58
"2018-02-06",59
"2018-02-07",51
"2018-02-08",46
"2018-02-09",38
"2018-02-10",37
"2018-02-11",51
"2018-02-12",45
"2018-02-13",38
"2018-02-14",34
"2018-02-15",41
"2018-02-16",45
"2018-02-17",53
"2018-02-18",74
"2018-02-19",65
"2018-02-20",61
"2018-02-21",57
"2018-02-22",57
"2018-02-23",46
"2018-02-24",45
"2018-02-25",55
"2018-02-26",59
"2018-02-27",58
"2018-02-28",46
"2018-03-01",56
"2018-03-02",41
"2018-03-03",48
"2018-03-04",58
"2018-03-05",55
"2018-03-06",54
"2018-03-07",50
"2018-03-08",44
"2018-03-09",36
"2018-03-10",44
"2018-03-11",61
"2018-03-12",56
"2018-03-13",52
"2018-03-14",45
"2018-03-15",41
"2018-03-16",34
"2018-03-17",38
"2018-03-18",57
"2018-03-19",50
"2018-03-20",43
"2018-03-21",41
"2018-03-22",39
"2018-03-23",31
"2018-03-24",33
"2018-03-25",48
"2018-03-26",46
"2018-03-27",42
"2018-03-28",36
"2018-03-29",31
"2018-03-30",25
"2018-03-31",28
"2018-04-01",34
"2018-04-02",26
"2018-04-03",28
"2018-04-04",23
"2018-04-05",23
"2018-04-06",20
"2018-04-07",21
"2018-04-08",29
"2018-04-09",29
"2018-04-10",26
"2018-04-11",23
"2018-04-12",22
"2018-04-13",19
"2018-04-14",20
"2018-04-15",27
"2018-04-16",28
"2018-04-17",23
"2018-04-18",21
"2018-04-19",20
