네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","캐시미어코트"
"2017-08-01",4
"2017-08-02",3
"2017-08-03",5
"2017-08-04",5
"2017-08-05",4
"2017-08-06",11
"2017-08-07",9
"2017-08-08",7
"2017-08-09",7
"2017-08-10",8
"2017-08-11",8
"2017-08-12",10
"2017-08-13",12
"2017-08-14",12
"2017-08-15",16
"2017-08-16",13
"2017-08-17",12
"2017-08-18",14
"2017-08-19",19
"2017-08-20",17
"2017-08-21",11
"2017-08-22",12
"2017-08-23",13
"2017-08-24",11
"2017-08-25",8
"2017-08-26",12
"2017-08-27",15
"2017-08-28",12
"2017-08-29",11
"2017-08-30",15
"2017-08-31",11
"2017-09-01",8
"2017-09-02",13
"2017-09-03",13
"2017-09-04",10
"2017-09-05",9
"2017-09-06",7
"2017-09-07",9
"2017-09-08",9
"2017-09-09",10
"2017-09-10",12
"2017-09-11",9
"2017-09-12",8
"2017-09-13",9
"2017-09-14",9
"2017-09-15",9
"2017-09-16",11
"2017-09-17",14
"2017-09-18",9
"2017-09-19",10
"2017-09-20",11
"2017-09-21",7
"2017-09-22",10
"2017-09-23",9
"2017-09-24",11
"2017-09-25",11
"2017-09-26",10
"2017-09-27",14
"2017-09-28",12
"2017-09-29",13
"2017-09-30",16
"2017-10-01",24
"2017-10-02",19
"2017-10-03",17
"2017-10-04",19
"2017-10-05",19
"2017-10-06",30
"2017-10-07",26
"2017-10-08",32
"2017-10-09",34
"2017-10-10",21
"2017-10-11",23
"2017-10-12",29
"2017-10-13",30
"2017-10-14",40
"2017-10-15",46
"2017-10-16",31
"2017-10-17",33
"2017-10-18",35
"2017-10-19",35
"2017-10-20",28
"2017-10-21",26
"2017-10-22",36
"2017-10-23",35
"2017-10-24",35
"2017-10-25",34
"2017-10-26",37
"2017-10-27",32
"2017-10-28",34
"2017-10-29",53
"2017-10-30",65
"2017-10-31",56
"2017-11-01",56
"2017-11-02",57
"2017-11-03",56
"2017-11-04",73
"2017-11-05",88
"2017-11-06",80
"2017-11-07",80
"2017-11-08",72
"2017-11-09",73
"2017-11-10",66
"2017-11-11",74
"2017-11-12",94
"2017-11-13",87
"2017-11-14",82
"2017-11-15",83
"2017-11-16",80
"2017-11-17",69
"2017-11-18",83
"2017-11-19",100
"2017-11-20",81
"2017-11-21",72
"2017-11-22",72
"2017-11-23",68
"2017-11-24",61
"2017-11-25",73
"2017-11-26",94
"2017-11-27",73
"2017-11-28",76
"2017-11-29",63
"2017-11-30",62
"2017-12-01",53
"2017-12-02",70
"2017-12-03",92
"2017-12-04",66
"2017-12-05",64
"2017-12-06",63
"2017-12-07",57
"2017-12-08",48
"2017-12-09",68
"2017-12-10",77
"2017-12-11",60
"2017-12-12",59
"2017-12-13",54
"2017-12-14",60
"2017-12-15",48
"2017-12-16",60
"2017-12-17",69
"2017-12-18",48
"2017-12-19",45
"2017-12-20",45
"2017-12-21",39
"2017-12-22",34
"2017-12-23",49
"2017-12-24",52
"2017-12-25",61
"2017-12-26",49
"2017-12-27",44
"2017-12-28",46
"2017-12-29",39
"2017-12-30",48
"2017-12-31",48
"2018-01-01",55
"2018-01-02",43
"2018-01-03",46
"2018-01-04",44
"2018-01-05",37
"2018-01-06",47
"2018-01-07",60
"2018-01-08",47
"2018-01-09",44
"2018-01-10",39
"2018-01-11",41
"2018-01-12",35
"2018-01-13",38
"2018-01-14",49
"2018-01-15",39
"2018-01-16",41
"2018-01-17",36
"2018-01-18",39
"2018-01-19",36
"2018-01-20",41
"2018-01-21",52
"2018-01-22",40
"2018-01-23",40
"2018-01-24",37
"2018-01-25",37
"2018-01-26",31
"2018-01-27",32
"2018-01-28",47
"2018-01-29",35
"2018-01-30",36
"2018-01-31",27
"2018-02-01",27
"2018-02-02",25
"2018-02-03",37
"2018-02-04",47
"2018-02-05",35
"2018-02-06",32
"2018-02-07",28
"2018-02-08",29
"2018-02-09",25
"2018-02-10",29
"2018-02-11",35
"2018-02-12",29
"2018-02-13",23
"2018-02-14",19
"2018-02-15",20
"2018-02-16",22
"2018-02-17",29
"2018-02-18",44
"2018-02-19",32
"2018-02-20",32
"2018-02-21",31
"2018-02-22",27
"2018-02-23",22
"2018-02-24",25
"2018-02-25",30
"2018-02-26",22
"2018-02-27",22
"2018-02-28",14
"2018-03-01",13
"2018-03-02",15
"2018-03-03",19
"2018-03-04",21
"2018-03-05",12
"2018-03-06",13
"2018-03-07",13
"2018-03-08",14
"2018-03-09",11
"2018-03-10",14
"2018-03-11",18
"2018-03-12",10
"2018-03-13",9
"2018-03-14",5
"2018-03-15",4
"2018-03-16",5
"2018-03-17",5
"2018-03-18",6
"2018-03-19",6
"2018-03-20",5
"2018-03-21",6
"2018-03-22",5
"2018-03-23",4
"2018-03-24",6
"2018-03-25",4
"2018-03-26",2
"2018-03-27",1
"2018-03-28",1
"2018-03-29",1
"2018-03-30",1
"2018-03-31",1
"2018-04-01",1
"2018-04-02",1
"2018-04-03",
"2018-04-04",1
"2018-04-05",1
"2018-04-06",1
"2018-04-07",2
"2018-04-08",1
"2018-04-09",1
"2018-04-10",1
"2018-04-11",1
"2018-04-12",
"2018-04-13",
"2018-04-14",1
"2018-04-15",1
"2018-04-16",1
"2018-04-17",
"2018-04-18",
"2018-04-19",1
