네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","나이스클랍코트"
"2017-08-01",12
"2017-08-02",13
"2017-08-03",11
"2017-08-04",14
"2017-08-05",13
"2017-08-06",22
"2017-08-07",15
"2017-08-08",19
"2017-08-09",13
"2017-08-10",17
"2017-08-11",13
"2017-08-12",16
"2017-08-13",22
"2017-08-14",18
"2017-08-15",29
"2017-08-16",21
"2017-08-17",25
"2017-08-18",24
"2017-08-19",29
"2017-08-20",29
"2017-08-21",28
"2017-08-22",27
"2017-08-23",21
"2017-08-24",24
"2017-08-25",17
"2017-08-26",18
"2017-08-27",25
"2017-08-28",17
"2017-08-29",18
"2017-08-30",20
"2017-08-31",16
"2017-09-01",15
"2017-09-02",17
"2017-09-03",18
"2017-09-04",16
"2017-09-05",17
"2017-09-06",13
"2017-09-07",14
"2017-09-08",11
"2017-09-09",13
"2017-09-10",14
"2017-09-11",9
"2017-09-12",7
"2017-09-13",8
"2017-09-14",6
"2017-09-15",7
"2017-09-16",8
"2017-09-17",8
"2017-09-18",6
"2017-09-19",6
"2017-09-20",5
"2017-09-21",6
"2017-09-22",6
"2017-09-23",9
"2017-09-24",9
"2017-09-25",6
"2017-09-26",6
"2017-09-27",9
"2017-09-28",8
"2017-09-29",7
"2017-09-30",10
"2017-10-01",13
"2017-10-02",13
"2017-10-03",13
"2017-10-04",16
"2017-10-05",14
"2017-10-06",17
"2017-10-07",20
"2017-10-08",19
"2017-10-09",26
"2017-10-10",11
"2017-10-11",15
"2017-10-12",22
"2017-10-13",22
"2017-10-14",27
"2017-10-15",37
"2017-10-16",25
"2017-10-17",23
"2017-10-18",26
"2017-10-19",22
"2017-10-20",19
"2017-10-21",24
"2017-10-22",34
"2017-10-23",27
"2017-10-24",31
"2017-10-25",29
"2017-10-26",33
"2017-10-27",25
"2017-10-28",38
"2017-10-29",53
"2017-10-30",58
"2017-10-31",53
"2017-11-01",41
"2017-11-02",36
"2017-11-03",44
"2017-11-04",65
"2017-11-05",76
"2017-11-06",63
"2017-11-07",57
"2017-11-08",60
"2017-11-09",60
"2017-11-10",48
"2017-11-11",77
"2017-11-12",100
"2017-11-13",72
"2017-11-14",84
"2017-11-15",85
"2017-11-16",69
"2017-11-17",55
"2017-11-18",73
"2017-11-19",91
"2017-11-20",59
"2017-11-21",58
"2017-11-22",49
"2017-11-23",44
"2017-11-24",39
"2017-11-25",59
"2017-11-26",73
"2017-11-27",52
"2017-11-28",49
"2017-11-29",48
"2017-11-30",44
"2017-12-01",38
"2017-12-02",58
"2017-12-03",69
"2017-12-04",47
"2017-12-05",39
"2017-12-06",46
"2017-12-07",38
"2017-12-08",32
"2017-12-09",49
"2017-12-10",51
"2017-12-11",37
"2017-12-12",26
"2017-12-13",31
"2017-12-14",24
"2017-12-15",23
"2017-12-16",35
"2017-12-17",33
"2017-12-18",25
"2017-12-19",27
"2017-12-20",26
"2017-12-21",19
"2017-12-22",22
"2017-12-23",36
"2017-12-24",39
"2017-12-25",44
"2017-12-26",31
"2017-12-27",28
"2017-12-28",33
"2017-12-29",31
"2017-12-30",42
"2017-12-31",36
"2018-01-01",41
"2018-01-02",29
"2018-01-03",37
"2018-01-04",39
"2018-01-05",40
"2018-01-06",52
"2018-01-07",63
"2018-01-08",43
"2018-01-09",39
"2018-01-10",30
"2018-01-11",32
"2018-01-12",30
"2018-01-13",40
"2018-01-14",57
"2018-01-15",43
"2018-01-16",42
"2018-01-17",42
"2018-01-18",44
"2018-01-19",39
"2018-01-20",50
"2018-01-21",62
"2018-01-22",44
"2018-01-23",36
"2018-01-24",35
"2018-01-25",30
"2018-01-26",29
"2018-01-27",45
"2018-01-28",53
"2018-01-29",32
"2018-01-30",38
"2018-01-31",30
"2018-02-01",34
"2018-02-02",35
"2018-02-03",56
"2018-02-04",60
"2018-02-05",37
"2018-02-06",37
"2018-02-07",32
"2018-02-08",35
"2018-02-09",29
"2018-02-10",36
"2018-02-11",48
"2018-02-12",32
"2018-02-13",27
"2018-02-14",27
"2018-02-15",21
"2018-02-16",19
"2018-02-17",28
"2018-02-18",37
"2018-02-19",32
"2018-02-20",31
"2018-02-21",26
"2018-02-22",29
"2018-02-23",22
"2018-02-24",30
"2018-02-25",32
"2018-02-26",23
"2018-02-27",22
"2018-02-28",23
"2018-03-01",27
"2018-03-02",19
"2018-03-03",20
"2018-03-04",22
"2018-03-05",11
"2018-03-06",13
"2018-03-07",13
"2018-03-08",11
"2018-03-09",11
"2018-03-10",12
"2018-03-11",14
"2018-03-12",8
"2018-03-13",7
"2018-03-14",5
"2018-03-15",6
"2018-03-16",6
"2018-03-17",8
"2018-03-18",8
"2018-03-19",5
"2018-03-20",5
"2018-03-21",4
"2018-03-22",5
"2018-03-23",4
"2018-03-24",4
"2018-03-25",4
"2018-03-26",4
"2018-03-27",2
"2018-03-28",2
"2018-03-29",1
"2018-03-30",2
"2018-03-31",2
"2018-04-01",2
"2018-04-02",1
"2018-04-03",
"2018-04-04",1
"2018-04-05",2
"2018-04-06",1
"2018-04-07",3
"2018-04-08",1
"2018-04-09",1
"2018-04-10",2
"2018-04-11",1
"2018-04-12",1
"2018-04-13",1
"2018-04-14",2
"2018-04-15",1
"2018-04-16",1
"2018-04-17",1
"2018-04-18",1
"2018-04-19",1
