네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","수면잠옷"
"2017-08-01",
"2017-08-02",
"2017-08-03",
"2017-08-04",
"2017-08-05",
"2017-08-06",
"2017-08-07",
"2017-08-08",
"2017-08-09",
"2017-08-10",
"2017-08-11",
"2017-08-12",
"2017-08-13",
"2017-08-14",1
"2017-08-15",1
"2017-08-16",1
"2017-08-17",
"2017-08-18",
"2017-08-19",
"2017-08-20",1
"2017-08-21",1
"2017-08-22",
"2017-08-23",1
"2017-08-24",1
"2017-08-25",1
"2017-08-26",1
"2017-08-27",2
"2017-08-28",2
"2017-08-29",3
"2017-08-30",5
"2017-08-31",4
"2017-09-01",2
"2017-09-02",2
"2017-09-03",3
"2017-09-04",2
"2017-09-05",2
"2017-09-06",3
"2017-09-07",2
"2017-09-08",2
"2017-09-09",2
"2017-09-10",2
"2017-09-11",3
"2017-09-12",3
"2017-09-13",3
"2017-09-14",3
"2017-09-15",4
"2017-09-16",2
"2017-09-17",3
"2017-09-18",3
"2017-09-19",3
"2017-09-20",5
"2017-09-21",6
"2017-09-22",3
"2017-09-23",5
"2017-09-24",6
"2017-09-25",7
"2017-09-26",5
"2017-09-27",4
"2017-09-28",6
"2017-09-29",7
"2017-09-30",10
"2017-10-01",11
"2017-10-02",9
"2017-10-03",10
"2017-10-04",12
"2017-10-05",15
"2017-10-06",17
"2017-10-07",17
"2017-10-08",18
"2017-10-09",12
"2017-10-10",12
"2017-10-11",17
"2017-10-12",31
"2017-10-13",36
"2017-10-14",37
"2017-10-15",48
"2017-10-16",51
"2017-10-17",46
"2017-10-18",44
"2017-10-19",38
"2017-10-20",33
"2017-10-21",29
"2017-10-22",44
"2017-10-23",45
"2017-10-24",44
"2017-10-25",45
"2017-10-26",44
"2017-10-27",34
"2017-10-28",30
"2017-10-29",57
"2017-10-30",67
"2017-10-31",63
"2017-11-01",51
"2017-11-02",48
"2017-11-03",42
"2017-11-04",52
"2017-11-05",79
"2017-11-06",68
"2017-11-07",55
"2017-11-08",45
"2017-11-09",46
"2017-11-10",38
"2017-11-11",46
"2017-11-12",74
"2017-11-13",71
"2017-11-14",69
"2017-11-15",63
"2017-11-16",68
"2017-11-17",62
"2017-11-18",71
"2017-11-19",95
"2017-11-20",100
"2017-11-21",86
"2017-11-22",76
"2017-11-23",71
"2017-11-24",60
"2017-11-25",63
"2017-11-26",63
"2017-11-27",63
"2017-11-28",58
"2017-11-29",45
"2017-11-30",55
"2017-12-01",52
"2017-12-02",59
"2017-12-03",78
"2017-12-04",77
"2017-12-05",72
"2017-12-06",64
"2017-12-07",57
"2017-12-08",46
"2017-12-09",52
"2017-12-10",62
"2017-12-11",70
"2017-12-12",73
"2017-12-13",78
"2017-12-14",72
"2017-12-15",54
"2017-12-16",52
"2017-12-17",68
"2017-12-18",62
"2017-12-19",53
"2017-12-20",49
"2017-12-21",35
"2017-12-22",32
"2017-12-23",33
"2017-12-24",30
"2017-12-25",30
"2017-12-26",34
"2017-12-27",33
"2017-12-28",25
"2017-12-29",20
"2017-12-30",21
"2017-12-31",23
"2018-01-01",27
"2018-01-02",26
"2018-01-03",29
"2018-01-04",28
"2018-01-05",20
"2018-01-06",24
"2018-01-07",30
"2018-01-08",30
"2018-01-09",28
"2018-01-10",24
"2018-01-11",28
"2018-01-12",24
"2018-01-13",26
"2018-01-14",26
"2018-01-15",22
"2018-01-16",20
"2018-01-17",18
"2018-01-18",13
"2018-01-19",15
"2018-01-20",10
"2018-01-21",14
"2018-01-22",13
"2018-01-23",17
"2018-01-24",23
"2018-01-25",19
"2018-01-26",19
"2018-01-27",16
"2018-01-28",22
"2018-01-29",23
"2018-01-30",16
"2018-01-31",17
"2018-02-01",11
"2018-02-02",10
"2018-02-03",11
"2018-02-04",19
"2018-02-05",14
"2018-02-06",16
"2018-02-07",14
"2018-02-08",11
"2018-02-09",9
"2018-02-10",7
"2018-02-11",13
"2018-02-12",9
"2018-02-13",6
"2018-02-14",6
"2018-02-15",6
"2018-02-16",6
"2018-02-17",8
"2018-02-18",9
"2018-02-19",8
"2018-02-20",7
"2018-02-21",7
"2018-02-22",7
"2018-02-23",4
"2018-02-24",6
"2018-02-25",5
"2018-02-26",5
"2018-02-27",5
"2018-02-28",4
"2018-03-01",5
"2018-03-02",3
"2018-03-03",2
"2018-03-04",3
"2018-03-05",2
"2018-03-06",3
"2018-03-07",2
"2018-03-08",2
"2018-03-09",2
"2018-03-10",2
"2018-03-11",3
"2018-03-12",2
"2018-03-13",2
"2018-03-14",1
"2018-03-15",1
"2018-03-16",1
"2018-03-17",1
"2018-03-18",2
"2018-03-19",1
"2018-03-20",1
"2018-03-21",2
"2018-03-22",1
"2018-03-23",1
"2018-03-24",1
"2018-03-25",2
"2018-03-26",1
"2018-03-27",2
"2018-03-28",1
"2018-03-29",1
"2018-03-30",1
"2018-03-31",1
"2018-04-01",1
"2018-04-02",1
"2018-04-03",1
"2018-04-04",1
"2018-04-05",1
"2018-04-06",1
"2018-04-07",1
"2018-04-08",1
"2018-04-09",1
"2018-04-10",1
"2018-04-11",1
"2018-04-12",1
"2018-04-13",1
"2018-04-14",1
"2018-04-15",1
"2018-04-16",1
"2018-04-17",
"2018-04-18",1
"2018-04-19",
