네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","블라우스"
"2017-08-01",38
"2017-08-02",38
"2017-08-03",32
"2017-08-04",30
"2017-08-05",34
"2017-08-06",42
"2017-08-07",34
"2017-08-08",36
"2017-08-09",34
"2017-08-10",32
"2017-08-11",28
"2017-08-12",36
"2017-08-13",44
"2017-08-14",35
"2017-08-15",45
"2017-08-16",43
"2017-08-17",40
"2017-08-18",37
"2017-08-19",44
"2017-08-20",52
"2017-08-21",49
"2017-08-22",48
"2017-08-23",43
"2017-08-24",44
"2017-08-25",36
"2017-08-26",45
"2017-08-27",58
"2017-08-28",50
"2017-08-29",56
"2017-08-30",49
"2017-08-31",50
"2017-09-01",46
"2017-09-02",50
"2017-09-03",61
"2017-09-04",63
"2017-09-05",59
"2017-09-06",56
"2017-09-07",54
"2017-09-08",47
"2017-09-09",49
"2017-09-10",65
"2017-09-11",58
"2017-09-12",60
"2017-09-13",54
"2017-09-14",53
"2017-09-15",43
"2017-09-16",51
"2017-09-17",65
"2017-09-18",52
"2017-09-19",62
"2017-09-20",50
"2017-09-21",46
"2017-09-22",37
"2017-09-23",45
"2017-09-24",58
"2017-09-25",53
"2017-09-26",50
"2017-09-27",40
"2017-09-28",36
"2017-09-29",24
"2017-09-30",29
"2017-10-01",29
"2017-10-02",27
"2017-10-03",26
"2017-10-04",25
"2017-10-05",26
"2017-10-06",28
"2017-10-07",33
"2017-10-08",41
"2017-10-09",43
"2017-10-10",38
"2017-10-11",33
"2017-10-12",27
"2017-10-13",25
"2017-10-14",26
"2017-10-15",34
"2017-10-16",31
"2017-10-17",30
"2017-10-18",30
"2017-10-19",22
"2017-10-20",23
"2017-10-21",28
"2017-10-22",39
"2017-10-23",34
"2017-10-24",28
"2017-10-25",28
"2017-10-26",24
"2017-10-27",20
"2017-10-28",25
"2017-10-29",30
"2017-10-30",26
"2017-10-31",20
"2017-11-01",22
"2017-11-02",25
"2017-11-03",19
"2017-11-04",21
"2017-11-05",28
"2017-11-06",29
"2017-11-07",26
"2017-11-08",26
"2017-11-09",24
"2017-11-10",19
"2017-11-11",21
"2017-11-12",28
"2017-11-13",25
"2017-11-14",22
"2017-11-15",18
"2017-11-16",19
"2017-11-17",14
"2017-11-18",17
"2017-11-19",24
"2017-11-20",23
"2017-11-21",20
"2017-11-22",20
"2017-11-23",18
"2017-11-24",14
"2017-11-25",16
"2017-11-26",23
"2017-11-27",23
"2017-11-28",22
"2017-11-29",20
"2017-11-30",17
"2017-12-01",17
"2017-12-02",20
"2017-12-03",29
"2017-12-04",27
"2017-12-05",26
"2017-12-06",27
"2017-12-07",22
"2017-12-08",20
"2017-12-09",24
"2017-12-10",31
"2017-12-11",28
"2017-12-12",23
"2017-12-13",25
"2017-12-14",22
"2017-12-15",20
"2017-12-16",21
"2017-12-17",28
"2017-12-18",27
"2017-12-19",23
"2017-12-20",22
"2017-12-21",19
"2017-12-22",16
"2017-12-23",19
"2017-12-24",26
"2017-12-25",25
"2017-12-26",27
"2017-12-27",22
"2017-12-28",22
"2017-12-29",22
"2017-12-30",23
"2017-12-31",25
"2018-01-01",34
"2018-01-02",30
"2018-01-03",32
"2018-01-04",30
"2018-01-05",28
"2018-01-06",30
"2018-01-07",42
"2018-01-08",36
"2018-01-09",38
"2018-01-10",30
"2018-01-11",31
"2018-01-12",27
"2018-01-13",33
"2018-01-14",45
"2018-01-15",45
"2018-01-16",41
"2018-01-17",43
"2018-01-18",41
"2018-01-19",32
"2018-01-20",41
"2018-01-21",53
"2018-01-22",50
"2018-01-23",44
"2018-01-24",39
"2018-01-25",34
"2018-01-26",28
"2018-01-27",32
"2018-01-28",46
"2018-01-29",37
"2018-01-30",42
"2018-01-31",42
"2018-02-01",37
"2018-02-02",37
"2018-02-03",40
"2018-02-04",43
"2018-02-05",41
"2018-02-06",38
"2018-02-07",41
"2018-02-08",35
"2018-02-09",30
"2018-02-10",40
"2018-02-11",44
"2018-02-12",35
"2018-02-13",30
"2018-02-14",30
"2018-02-15",36
"2018-02-16",39
"2018-02-17",40
"2018-02-18",55
"2018-02-19",52
"2018-02-20",50
"2018-02-21",48
"2018-02-22",44
"2018-02-23",38
"2018-02-24",47
"2018-02-25",58
"2018-02-26",56
"2018-02-27",55
"2018-02-28",51
"2018-03-01",65
"2018-03-02",52
"2018-03-03",57
"2018-03-04",82
"2018-03-05",63
"2018-03-06",58
"2018-03-07",58
"2018-03-08",54
"2018-03-09",48
"2018-03-10",60
"2018-03-11",85
"2018-03-12",71
"2018-03-13",71
"2018-03-14",68
"2018-03-15",72
"2018-03-16",58
"2018-03-17",70
"2018-03-18",92
"2018-03-19",66
"2018-03-20",64
"2018-03-21",56
"2018-03-22",55
"2018-03-23",51
"2018-03-24",69
"2018-03-25",87
"2018-03-26",67
"2018-03-27",69
"2018-03-28",74
"2018-03-29",72
"2018-03-30",64
"2018-03-31",84
"2018-04-01",100
"2018-04-02",84
"2018-04-03",80
"2018-04-04",73
"2018-04-05",67
"2018-04-06",55
"2018-04-07",65
"2018-04-08",89
"2018-04-09",75
"2018-04-10",69
"2018-04-11",72
"2018-04-12",65
"2018-04-13",58
"2018-04-14",73
"2018-04-15",83
"2018-04-16",68
"2018-04-17",69
"2018-04-18",61
"2018-04-19",65
