네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","레이스블라우스"
"2017-08-01",33
"2017-08-02",38
"2017-08-03",36
"2017-08-04",31
"2017-08-05",30
"2017-08-06",40
"2017-08-07",32
"2017-08-08",32
"2017-08-09",29
"2017-08-10",38
"2017-08-11",27
"2017-08-12",24
"2017-08-13",31
"2017-08-14",24
"2017-08-15",30
"2017-08-16",33
"2017-08-17",30
"2017-08-18",31
"2017-08-19",36
"2017-08-20",43
"2017-08-21",36
"2017-08-22",33
"2017-08-23",37
"2017-08-24",32
"2017-08-25",26
"2017-08-26",29
"2017-08-27",35
"2017-08-28",32
"2017-08-29",34
"2017-08-30",35
"2017-08-31",31
"2017-09-01",26
"2017-09-02",29
"2017-09-03",36
"2017-09-04",34
"2017-09-05",35
"2017-09-06",31
"2017-09-07",30
"2017-09-08",27
"2017-09-09",29
"2017-09-10",39
"2017-09-11",32
"2017-09-12",28
"2017-09-13",28
"2017-09-14",23
"2017-09-15",28
"2017-09-16",25
"2017-09-17",37
"2017-09-18",28
"2017-09-19",30
"2017-09-20",27
"2017-09-21",26
"2017-09-22",19
"2017-09-23",23
"2017-09-24",30
"2017-09-25",32
"2017-09-26",31
"2017-09-27",25
"2017-09-28",18
"2017-09-29",14
"2017-09-30",20
"2017-10-01",25
"2017-10-02",20
"2017-10-03",16
"2017-10-04",22
"2017-10-05",19
"2017-10-06",24
"2017-10-07",25
"2017-10-08",31
"2017-10-09",32
"2017-10-10",26
"2017-10-11",26
"2017-10-12",22
"2017-10-13",21
"2017-10-14",22
"2017-10-15",28
"2017-10-16",30
"2017-10-17",26
"2017-10-18",26
"2017-10-19",25
"2017-10-20",27
"2017-10-21",18
"2017-10-22",27
"2017-10-23",30
"2017-10-24",25
"2017-10-25",24
"2017-10-26",25
"2017-10-27",25
"2017-10-28",27
"2017-10-29",33
"2017-10-30",26
"2017-10-31",25
"2017-11-01",22
"2017-11-02",25
"2017-11-03",24
"2017-11-04",24
"2017-11-05",30
"2017-11-06",31
"2017-11-07",31
"2017-11-08",22
"2017-11-09",23
"2017-11-10",24
"2017-11-11",24
"2017-11-12",29
"2017-11-13",29
"2017-11-14",33
"2017-11-15",24
"2017-11-16",26
"2017-11-17",21
"2017-11-18",21
"2017-11-19",26
"2017-11-20",29
"2017-11-21",28
"2017-11-22",35
"2017-11-23",30
"2017-11-24",19
"2017-11-25",28
"2017-11-26",35
"2017-11-27",29
"2017-11-28",41
"2017-11-29",32
"2017-11-30",31
"2017-12-01",32
"2017-12-02",36
"2017-12-03",57
"2017-12-04",47
"2017-12-05",49
"2017-12-06",47
"2017-12-07",48
"2017-12-08",36
"2017-12-09",44
"2017-12-10",58
"2017-12-11",60
"2017-12-12",62
"2017-12-13",51
"2017-12-14",58
"2017-12-15",44
"2017-12-16",50
"2017-12-17",67
"2017-12-18",60
"2017-12-19",63
"2017-12-20",57
"2017-12-21",48
"2017-12-22",40
"2017-12-23",45
"2017-12-24",49
"2017-12-25",54
"2017-12-26",59
"2017-12-27",58
"2017-12-28",49
"2017-12-29",43
"2017-12-30",54
"2017-12-31",52
"2018-01-01",64
"2018-01-02",73
"2018-01-03",75
"2018-01-04",76
"2018-01-05",69
"2018-01-06",79
"2018-01-07",89
"2018-01-08",81
"2018-01-09",86
"2018-01-10",89
"2018-01-11",92
"2018-01-12",73
"2018-01-13",73
"2018-01-14",82
"2018-01-15",76
"2018-01-16",78
"2018-01-17",81
"2018-01-18",79
"2018-01-19",64
"2018-01-20",69
"2018-01-21",89
"2018-01-22",81
"2018-01-23",79
"2018-01-24",77
"2018-01-25",64
"2018-01-26",59
"2018-01-27",53
"2018-01-28",72
"2018-01-29",64
"2018-01-30",73
"2018-01-31",58
"2018-02-01",69
"2018-02-02",59
"2018-02-03",70
"2018-02-04",68
"2018-02-05",57
"2018-02-06",61
"2018-02-07",56
"2018-02-08",64
"2018-02-09",43
"2018-02-10",57
"2018-02-11",61
"2018-02-12",48
"2018-02-13",53
"2018-02-14",40
"2018-02-15",45
"2018-02-16",50
"2018-02-17",51
"2018-02-18",62
"2018-02-19",61
"2018-02-20",56
"2018-02-21",56
"2018-02-22",61
"2018-02-23",50
"2018-02-24",57
"2018-02-25",68
"2018-02-26",61
"2018-02-27",59
"2018-02-28",56
"2018-03-01",65
"2018-03-02",46
"2018-03-03",60
"2018-03-04",70
"2018-03-05",57
"2018-03-06",58
"2018-03-07",60
"2018-03-08",49
"2018-03-09",45
"2018-03-10",60
"2018-03-11",76
"2018-03-12",65
"2018-03-13",61
"2018-03-14",65
"2018-03-15",64
"2018-03-16",55
"2018-03-17",71
"2018-03-18",77
"2018-03-19",66
"2018-03-20",63
"2018-03-21",57
"2018-03-22",50
"2018-03-23",55
"2018-03-24",58
"2018-03-25",76
"2018-03-26",64
"2018-03-27",64
"2018-03-28",65
"2018-03-29",54
"2018-03-30",51
"2018-03-31",66
"2018-04-01",71
"2018-04-02",75
"2018-04-03",78
"2018-04-04",64
"2018-04-05",60
"2018-04-06",54
"2018-04-07",64
"2018-04-08",100
"2018-04-09",76
"2018-04-10",76
"2018-04-11",71
"2018-04-12",61
"2018-04-13",58
"2018-04-14",71
"2018-04-15",77
"2018-04-16",63
"2018-04-17",64
"2018-04-18",60
"2018-04-19",66
