네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","프릴블라우스"
"2017-08-01",33
"2017-08-02",38
"2017-08-03",34
"2017-08-04",27
"2017-08-05",31
"2017-08-06",39
"2017-08-07",41
"2017-08-08",40
"2017-08-09",36
"2017-08-10",40
"2017-08-11",33
"2017-08-12",37
"2017-08-13",43
"2017-08-14",42
"2017-08-15",47
"2017-08-16",47
"2017-08-17",48
"2017-08-18",50
"2017-08-19",50
"2017-08-20",64
"2017-08-21",70
"2017-08-22",77
"2017-08-23",77
"2017-08-24",64
"2017-08-25",51
"2017-08-26",71
"2017-08-27",76
"2017-08-28",66
"2017-08-29",82
"2017-08-30",69
"2017-08-31",59
"2017-09-01",64
"2017-09-02",77
"2017-09-03",82
"2017-09-04",76
"2017-09-05",70
"2017-09-06",71
"2017-09-07",75
"2017-09-08",70
"2017-09-09",82
"2017-09-10",100
"2017-09-11",98
"2017-09-12",77
"2017-09-13",78
"2017-09-14",76
"2017-09-15",67
"2017-09-16",66
"2017-09-17",85
"2017-09-18",68
"2017-09-19",72
"2017-09-20",68
"2017-09-21",69
"2017-09-22",43
"2017-09-23",58
"2017-09-24",76
"2017-09-25",69
"2017-09-26",68
"2017-09-27",62
"2017-09-28",49
"2017-09-29",27
"2017-09-30",42
"2017-10-01",48
"2017-10-02",51
"2017-10-03",46
"2017-10-04",43
"2017-10-05",49
"2017-10-06",47
"2017-10-07",50
"2017-10-08",69
"2017-10-09",65
"2017-10-10",62
"2017-10-11",55
"2017-10-12",44
"2017-10-13",30
"2017-10-14",39
"2017-10-15",44
"2017-10-16",48
"2017-10-17",40
"2017-10-18",43
"2017-10-19",38
"2017-10-20",40
"2017-10-21",38
"2017-10-22",54
"2017-10-23",52
"2017-10-24",43
"2017-10-25",41
"2017-10-26",41
"2017-10-27",32
"2017-10-28",38
"2017-10-29",41
"2017-10-30",41
"2017-10-31",36
"2017-11-01",38
"2017-11-02",37
"2017-11-03",42
"2017-11-04",32
"2017-11-05",52
"2017-11-06",52
"2017-11-07",44
"2017-11-08",44
"2017-11-09",39
"2017-11-10",33
"2017-11-11",39
"2017-11-12",58
"2017-11-13",43
"2017-11-14",46
"2017-11-15",44
"2017-11-16",32
"2017-11-17",27
"2017-11-18",34
"2017-11-19",45
"2017-11-20",38
"2017-11-21",37
"2017-11-22",36
"2017-11-23",31
"2017-11-24",37
"2017-11-25",23
"2017-11-26",38
"2017-11-27",39
"2017-11-28",46
"2017-11-29",42
"2017-11-30",37
"2017-12-01",33
"2017-12-02",37
"2017-12-03",62
"2017-12-04",54
"2017-12-05",42
"2017-12-06",40
"2017-12-07",44
"2017-12-08",37
"2017-12-09",39
"2017-12-10",51
"2017-12-11",51
"2017-12-12",43
"2017-12-13",46
"2017-12-14",52
"2017-12-15",39
"2017-12-16",43
"2017-12-17",55
"2017-12-18",53
"2017-12-19",47
"2017-12-20",44
"2017-12-21",36
"2017-12-22",29
"2017-12-23",39
"2017-12-24",40
"2017-12-25",45
"2017-12-26",57
"2017-12-27",44
"2017-12-28",42
"2017-12-29",40
"2017-12-30",39
"2017-12-31",36
"2018-01-01",45
"2018-01-02",49
"2018-01-03",56
"2018-01-04",53
"2018-01-05",46
"2018-01-06",53
"2018-01-07",60
"2018-01-08",60
"2018-01-09",61
"2018-01-10",54
"2018-01-11",49
"2018-01-12",46
"2018-01-13",53
"2018-01-14",60
"2018-01-15",62
"2018-01-16",57
"2018-01-17",58
"2018-01-18",52
"2018-01-19",46
"2018-01-20",54
"2018-01-21",67
"2018-01-22",66
"2018-01-23",64
"2018-01-24",61
"2018-01-25",47
"2018-01-26",48
"2018-01-27",64
"2018-01-28",74
"2018-01-29",65
"2018-01-30",77
"2018-01-31",60
"2018-02-01",64
"2018-02-02",53
"2018-02-03",59
"2018-02-04",73
"2018-02-05",76
"2018-02-06",72
"2018-02-07",70
"2018-02-08",66
"2018-02-09",53
"2018-02-10",57
"2018-02-11",70
"2018-02-12",61
"2018-02-13",47
"2018-02-14",47
"2018-02-15",53
"2018-02-16",56
"2018-02-17",62
"2018-02-18",82
"2018-02-19",65
"2018-02-20",74
"2018-02-21",75
"2018-02-22",73
"2018-02-23",64
"2018-02-24",65
"2018-02-25",78
"2018-02-26",76
"2018-02-27",74
"2018-02-28",71
"2018-03-01",87
"2018-03-02",65
"2018-03-03",65
"2018-03-04",80
"2018-03-05",76
"2018-03-06",77
"2018-03-07",71
"2018-03-08",78
"2018-03-09",55
"2018-03-10",64
"2018-03-11",78
"2018-03-12",73
"2018-03-13",71
"2018-03-14",63
"2018-03-15",67
"2018-03-16",60
"2018-03-17",69
"2018-03-18",93
"2018-03-19",73
"2018-03-20",72
"2018-03-21",71
"2018-03-22",68
"2018-03-23",56
"2018-03-24",62
"2018-03-25",92
"2018-03-26",75
"2018-03-27",73
"2018-03-28",67
"2018-03-29",74
"2018-03-30",65
"2018-03-31",78
"2018-04-01",90
"2018-04-02",80
"2018-04-03",90
"2018-04-04",69
"2018-04-05",75
"2018-04-06",72
"2018-04-07",68
"2018-04-08",78
"2018-04-09",77
"2018-04-10",96
"2018-04-11",78
"2018-04-12",63
"2018-04-13",61
"2018-04-14",67
"2018-04-15",82
"2018-04-16",66
"2018-04-17",73
"2018-04-18",66
"2018-04-19",66
