네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","롱스커트"
"2017-08-01",42
"2017-08-02",39
"2017-08-03",36
"2017-08-04",36
"2017-08-05",38
"2017-08-06",46
"2017-08-07",48
"2017-08-08",44
"2017-08-09",40
"2017-08-10",40
"2017-08-11",34
"2017-08-12",37
"2017-08-13",44
"2017-08-14",39
"2017-08-15",46
"2017-08-16",44
"2017-08-17",41
"2017-08-18",44
"2017-08-19",42
"2017-08-20",49
"2017-08-21",51
"2017-08-22",45
"2017-08-23",49
"2017-08-24",43
"2017-08-25",40
"2017-08-26",44
"2017-08-27",58
"2017-08-28",47
"2017-08-29",54
"2017-08-30",53
"2017-08-31",57
"2017-09-01",50
"2017-09-02",58
"2017-09-03",68
"2017-09-04",60
"2017-09-05",63
"2017-09-06",57
"2017-09-07",62
"2017-09-08",57
"2017-09-09",59
"2017-09-10",72
"2017-09-11",72
"2017-09-12",66
"2017-09-13",70
"2017-09-14",71
"2017-09-15",55
"2017-09-16",66
"2017-09-17",74
"2017-09-18",73
"2017-09-19",74
"2017-09-20",70
"2017-09-21",67
"2017-09-22",53
"2017-09-23",58
"2017-09-24",73
"2017-09-25",72
"2017-09-26",66
"2017-09-27",57
"2017-09-28",51
"2017-09-29",39
"2017-09-30",41
"2017-10-01",48
"2017-10-02",48
"2017-10-03",44
"2017-10-04",41
"2017-10-05",42
"2017-10-06",54
"2017-10-07",62
"2017-10-08",73
"2017-10-09",71
"2017-10-10",63
"2017-10-11",61
"2017-10-12",58
"2017-10-13",49
"2017-10-14",58
"2017-10-15",63
"2017-10-16",69
"2017-10-17",60
"2017-10-18",63
"2017-10-19",59
"2017-10-20",53
"2017-10-21",55
"2017-10-22",68
"2017-10-23",66
"2017-10-24",70
"2017-10-25",64
"2017-10-26",67
"2017-10-27",61
"2017-10-28",52
"2017-10-29",67
"2017-10-30",61
"2017-10-31",54
"2017-11-01",55
"2017-11-02",54
"2017-11-03",46
"2017-11-04",53
"2017-11-05",60
"2017-11-06",61
"2017-11-07",56
"2017-11-08",50
"2017-11-09",50
"2017-11-10",46
"2017-11-11",43
"2017-11-12",53
"2017-11-13",58
"2017-11-14",50
"2017-11-15",41
"2017-11-16",48
"2017-11-17",40
"2017-11-18",38
"2017-11-19",47
"2017-11-20",44
"2017-11-21",46
"2017-11-22",44
"2017-11-23",38
"2017-11-24",31
"2017-11-25",33
"2017-11-26",44
"2017-11-27",35
"2017-11-28",41
"2017-11-29",40
"2017-11-30",34
"2017-12-01",30
"2017-12-02",36
"2017-12-03",42
"2017-12-04",41
"2017-12-05",42
"2017-12-06",35
"2017-12-07",33
"2017-12-08",33
"2017-12-09",31
"2017-12-10",38
"2017-12-11",39
"2017-12-12",38
"2017-12-13",35
"2017-12-14",33
"2017-12-15",26
"2017-12-16",28
"2017-12-17",36
"2017-12-18",33
"2017-12-19",29
"2017-12-20",26
"2017-12-21",25
"2017-12-22",15
"2017-12-23",22
"2017-12-24",25
"2017-12-25",28
"2017-12-26",30
"2017-12-27",29
"2017-12-28",27
"2017-12-29",17
"2017-12-30",22
"2017-12-31",20
"2018-01-01",25
"2018-01-02",31
"2018-01-03",26
"2018-01-04",26
"2018-01-05",21
"2018-01-06",28
"2018-01-07",30
"2018-01-08",33
"2018-01-09",31
"2018-01-10",27
"2018-01-11",25
"2018-01-12",24
"2018-01-13",28
"2018-01-14",32
"2018-01-15",31
"2018-01-16",33
"2018-01-17",31
"2018-01-18",30
"2018-01-19",31
"2018-01-20",30
"2018-01-21",37
"2018-01-22",35
"2018-01-23",34
"2018-01-24",25
"2018-01-25",29
"2018-01-26",29
"2018-01-27",27
"2018-01-28",33
"2018-01-29",33
"2018-01-30",32
"2018-01-31",33
"2018-02-01",33
"2018-02-02",31
"2018-02-03",33
"2018-02-04",39
"2018-02-05",43
"2018-02-06",39
"2018-02-07",42
"2018-02-08",36
"2018-02-09",30
"2018-02-10",27
"2018-02-11",39
"2018-02-12",33
"2018-02-13",23
"2018-02-14",23
"2018-02-15",27
"2018-02-16",31
"2018-02-17",31
"2018-02-18",48
"2018-02-19",39
"2018-02-20",42
"2018-02-21",45
"2018-02-22",40
"2018-02-23",38
"2018-02-24",40
"2018-02-25",58
"2018-02-26",46
"2018-02-27",46
"2018-02-28",45
"2018-03-01",59
"2018-03-02",50
"2018-03-03",54
"2018-03-04",73
"2018-03-05",60
"2018-03-06",57
"2018-03-07",65
"2018-03-08",58
"2018-03-09",54
"2018-03-10",59
"2018-03-11",69
"2018-03-12",73
"2018-03-13",72
"2018-03-14",79
"2018-03-15",76
"2018-03-16",70
"2018-03-17",68
"2018-03-18",88
"2018-03-19",77
"2018-03-20",64
"2018-03-21",64
"2018-03-22",56
"2018-03-23",59
"2018-03-24",67
"2018-03-25",83
"2018-03-26",78
"2018-03-27",84
"2018-03-28",74
"2018-03-29",78
"2018-03-30",69
"2018-03-31",86
"2018-04-01",100
"2018-04-02",96
"2018-04-03",97
"2018-04-04",83
"2018-04-05",83
"2018-04-06",64
"2018-04-07",66
"2018-04-08",75
"2018-04-09",70
"2018-04-10",76
"2018-04-11",81
"2018-04-12",78
"2018-04-13",59
"2018-04-14",76
"2018-04-15",82
"2018-04-16",80
"2018-04-17",85
"2018-04-18",79
"2018-04-19",76
