네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","톰보이코트"
"2017-08-01",8
"2017-08-02",8
"2017-08-03",7
"2017-08-04",10
"2017-08-05",12
"2017-08-06",22
"2017-08-07",16
"2017-08-08",14
"2017-08-09",13
"2017-08-10",13
"2017-08-11",11
"2017-08-12",14
"2017-08-13",18
"2017-08-14",17
"2017-08-15",25
"2017-08-16",17
"2017-08-17",22
"2017-08-18",23
"2017-08-19",22
"2017-08-20",24
"2017-08-21",18
"2017-08-22",15
"2017-08-23",14
"2017-08-24",12
"2017-08-25",10
"2017-08-26",13
"2017-08-27",14
"2017-08-28",10
"2017-08-29",12
"2017-08-30",13
"2017-08-31",9
"2017-09-01",8
"2017-09-02",10
"2017-09-03",13
"2017-09-04",10
"2017-09-05",9
"2017-09-06",18
"2017-09-07",13
"2017-09-08",10
"2017-09-09",16
"2017-09-10",15
"2017-09-11",11
"2017-09-12",8
"2017-09-13",7
"2017-09-14",9
"2017-09-15",8
"2017-09-16",11
"2017-09-17",12
"2017-09-18",10
"2017-09-19",8
"2017-09-20",9
"2017-09-21",8
"2017-09-22",7
"2017-09-23",7
"2017-09-24",9
"2017-09-25",7
"2017-09-26",10
"2017-09-27",11
"2017-09-28",11
"2017-09-29",11
"2017-09-30",14
"2017-10-01",19
"2017-10-02",19
"2017-10-03",19
"2017-10-04",20
"2017-10-05",24
"2017-10-06",29
"2017-10-07",28
"2017-10-08",27
"2017-10-09",31
"2017-10-10",23
"2017-10-11",24
"2017-10-12",30
"2017-10-13",29
"2017-10-14",38
"2017-10-15",41
"2017-10-16",36
"2017-10-17",33
"2017-10-18",29
"2017-10-19",28
"2017-10-20",26
"2017-10-21",27
"2017-10-22",42
"2017-10-23",34
"2017-10-24",35
"2017-10-25",34
"2017-10-26",35
"2017-10-27",28
"2017-10-28",38
"2017-10-29",60
"2017-10-30",69
"2017-10-31",67
"2017-11-01",63
"2017-11-02",60
"2017-11-03",55
"2017-11-04",76
"2017-11-05",100
"2017-11-06",85
"2017-11-07",71
"2017-11-08",69
"2017-11-09",63
"2017-11-10",54
"2017-11-11",71
"2017-11-12",93
"2017-11-13",94
"2017-11-14",91
"2017-11-15",77
"2017-11-16",75
"2017-11-17",68
"2017-11-18",80
"2017-11-19",94
"2017-11-20",79
"2017-11-21",60
"2017-11-22",61
"2017-11-23",59
"2017-11-24",51
"2017-11-25",68
"2017-11-26",81
"2017-11-27",57
"2017-11-28",56
"2017-11-29",52
"2017-11-30",49
"2017-12-01",48
"2017-12-02",55
"2017-12-03",76
"2017-12-04",59
"2017-12-05",48
"2017-12-06",43
"2017-12-07",42
"2017-12-08",37
"2017-12-09",46
"2017-12-10",61
"2017-12-11",42
"2017-12-12",40
"2017-12-13",35
"2017-12-14",39
"2017-12-15",32
"2017-12-16",42
"2017-12-17",47
"2017-12-18",40
"2017-12-19",35
"2017-12-20",33
"2017-12-21",34
"2017-12-22",32
"2017-12-23",43
"2017-12-24",45
"2017-12-25",54
"2017-12-26",46
"2017-12-27",42
"2017-12-28",41
"2017-12-29",35
"2017-12-30",46
"2017-12-31",43
"2018-01-01",46
"2018-01-02",38
"2018-01-03",35
"2018-01-04",35
"2018-01-05",30
"2018-01-06",46
"2018-01-07",57
"2018-01-08",42
"2018-01-09",38
"2018-01-10",35
"2018-01-11",35
"2018-01-12",29
"2018-01-13",44
"2018-01-14",53
"2018-01-15",37
"2018-01-16",43
"2018-01-17",45
"2018-01-18",36
"2018-01-19",33
"2018-01-20",43
"2018-01-21",52
"2018-01-22",41
"2018-01-23",36
"2018-01-24",32
"2018-01-25",32
"2018-01-26",26
"2018-01-27",30
"2018-01-28",48
"2018-01-29",35
"2018-01-30",38
"2018-01-31",36
"2018-02-01",30
"2018-02-02",27
"2018-02-03",34
"2018-02-04",48
"2018-02-05",33
"2018-02-06",32
"2018-02-07",28
"2018-02-08",29
"2018-02-09",29
"2018-02-10",32
"2018-02-11",36
"2018-02-12",28
"2018-02-13",27
"2018-02-14",23
"2018-02-15",24
"2018-02-16",22
"2018-02-17",30
"2018-02-18",40
"2018-02-19",36
"2018-02-20",26
"2018-02-21",29
"2018-02-22",26
"2018-02-23",21
"2018-02-24",26
"2018-02-25",31
"2018-02-26",28
"2018-02-27",23
"2018-02-28",20
"2018-03-01",24
"2018-03-02",15
"2018-03-03",16
"2018-03-04",18
"2018-03-05",14
"2018-03-06",11
"2018-03-07",11
"2018-03-08",9
"2018-03-09",8
"2018-03-10",10
"2018-03-11",14
"2018-03-12",10
"2018-03-13",9
"2018-03-14",5
"2018-03-15",4
"2018-03-16",5
"2018-03-17",6
"2018-03-18",7
"2018-03-19",6
"2018-03-20",6
"2018-03-21",7
"2018-03-22",6
"2018-03-23",4
"2018-03-24",6
"2018-03-25",4
"2018-03-26",4
"2018-03-27",4
"2018-03-28",4
"2018-03-29",2
"2018-03-30",2
"2018-03-31",3
"2018-04-01",3
"2018-04-02",2
"2018-04-03",2
"2018-04-04",2
"2018-04-05",2
"2018-04-06",2
"2018-04-07",4
"2018-04-08",4
"2018-04-09",2
"2018-04-10",2
"2018-04-11",2
"2018-04-12",2
"2018-04-13",2
"2018-04-14",2
"2018-04-15",3
"2018-04-16",2
"2018-04-17",2
"2018-04-18",2
"2018-04-19",2
