네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","짱구잠옷"
"2017-08-01",6
"2017-08-02",5
"2017-08-03",5
"2017-08-04",4
"2017-08-05",4
"2017-08-06",11
"2017-08-07",13
"2017-08-08",16
"2017-08-09",21
"2017-08-10",30
"2017-08-11",57
"2017-08-12",73
"2017-08-13",82
"2017-08-14",64
"2017-08-15",54
"2017-08-16",36
"2017-08-17",42
"2017-08-18",35
"2017-08-19",45
"2017-08-20",75
"2017-08-21",57
"2017-08-22",53
"2017-08-23",54
"2017-08-24",60
"2017-08-25",38
"2017-08-26",100
"2017-08-27",56
"2017-08-28",34
"2017-08-29",39
"2017-08-30",33
"2017-08-31",27
"2017-09-01",35
"2017-09-02",33
"2017-09-03",35
"2017-09-04",25
"2017-09-05",24
"2017-09-06",23
"2017-09-07",18
"2017-09-08",20
"2017-09-09",20
"2017-09-10",23
"2017-09-11",31
"2017-09-12",31
"2017-09-13",73
"2017-09-14",36
"2017-09-15",31
"2017-09-16",31
"2017-09-17",35
"2017-09-18",22
"2017-09-19",24
"2017-09-20",30
"2017-09-21",23
"2017-09-22",27
"2017-09-23",46
"2017-09-24",47
"2017-09-25",47
"2017-09-26",38
"2017-09-27",27
"2017-09-28",23
"2017-09-29",19
"2017-09-30",23
"2017-10-01",28
"2017-10-02",25
"2017-10-03",24
"2017-10-04",22
"2017-10-05",22
"2017-10-06",24
"2017-10-07",23
"2017-10-08",25
"2017-10-09",27
"2017-10-10",25
"2017-10-11",22
"2017-10-12",24
"2017-10-13",22
"2017-10-14",23
"2017-10-15",27
"2017-10-16",29
"2017-10-17",31
"2017-10-18",24
"2017-10-19",33
"2017-10-20",38
"2017-10-21",50
"2017-10-22",58
"2017-10-23",66
"2017-10-24",51
"2017-10-25",42
"2017-10-26",34
"2017-10-27",32
"2017-10-28",41
"2017-10-29",46
"2017-10-30",46
"2017-10-31",44
"2017-11-01",50
"2017-11-02",56
"2017-11-03",42
"2017-11-04",43
"2017-11-05",47
"2017-11-06",56
"2017-11-07",61
"2017-11-08",40
"2017-11-09",61
"2017-11-10",39
"2017-11-11",38
"2017-11-12",44
"2017-11-13",41
"2017-11-14",35
"2017-11-15",34
"2017-11-16",41
"2017-11-17",39
"2017-11-18",45
"2017-11-19",57
"2017-11-20",84
"2017-11-21",72
"2017-11-22",65
"2017-11-23",57
"2017-11-24",57
"2017-11-25",54
"2017-11-26",70
"2017-11-27",75
"2017-11-28",71
"2017-11-29",65
"2017-11-30",61
"2017-12-01",48
"2017-12-02",58
"2017-12-03",68
"2017-12-04",63
"2017-12-05",57
"2017-12-06",65
"2017-12-07",50
"2017-12-08",41
"2017-12-09",43
"2017-12-10",57
"2017-12-11",56
"2017-12-12",55
"2017-12-13",48
"2017-12-14",46
"2017-12-15",43
"2017-12-16",48
"2017-12-17",71
"2017-12-18",59
"2017-12-19",47
"2017-12-20",45
"2017-12-21",38
"2017-12-22",32
"2017-12-23",27
"2017-12-24",25
"2017-12-25",31
"2017-12-26",29
"2017-12-27",25
"2017-12-28",24
"2017-12-29",22
"2017-12-30",16
"2017-12-31",20
"2018-01-01",24
"2018-01-02",26
"2018-01-03",22
"2018-01-04",28
"2018-01-05",20
"2018-01-06",22
"2018-01-07",29
"2018-01-08",29
"2018-01-09",26
"2018-01-10",25
"2018-01-11",23
"2018-01-12",25
"2018-01-13",25
"2018-01-14",29
"2018-01-15",24
"2018-01-16",27
"2018-01-17",31
"2018-01-18",25
"2018-01-19",20
"2018-01-20",26
"2018-01-21",30
"2018-01-22",32
"2018-01-23",26
"2018-01-24",32
"2018-01-25",28
"2018-01-26",26
"2018-01-27",22
"2018-01-28",24
"2018-01-29",25
"2018-01-30",25
"2018-01-31",22
"2018-02-01",21
"2018-02-02",17
"2018-02-03",20
"2018-02-04",24
"2018-02-05",23
"2018-02-06",25
"2018-02-07",25
"2018-02-08",24
"2018-02-09",26
"2018-02-10",26
"2018-02-11",27
"2018-02-12",22
"2018-02-13",22
"2018-02-14",18
"2018-02-15",21
"2018-02-16",22
"2018-02-17",28
"2018-02-18",26
"2018-02-19",28
"2018-02-20",28
"2018-02-21",25
"2018-02-22",23
"2018-02-23",21
"2018-02-24",18
"2018-02-25",22
"2018-02-26",20
"2018-02-27",19
"2018-02-28",16
"2018-03-01",17
"2018-03-02",12
"2018-03-03",13
"2018-03-04",16
"2018-03-05",14
"2018-03-06",15
"2018-03-07",15
"2018-03-08",17
"2018-03-09",16
"2018-03-10",17
"2018-03-11",21
"2018-03-12",21
"2018-03-13",23
"2018-03-14",22
"2018-03-15",25
"2018-03-16",18
"2018-03-17",20
"2018-03-18",25
"2018-03-19",24
"2018-03-20",26
"2018-03-21",30
"2018-03-22",24
"2018-03-23",23
"2018-03-24",27
"2018-03-25",32
"2018-03-26",25
"2018-03-27",25
"2018-03-28",24
"2018-03-29",21
"2018-03-30",18
"2018-03-31",22
"2018-04-01",21
"2018-04-02",17
"2018-04-03",16
"2018-04-04",17
"2018-04-05",17
"2018-04-06",17
"2018-04-07",11
"2018-04-08",17
"2018-04-09",18
"2018-04-10",22
"2018-04-11",24
"2018-04-12",21
"2018-04-13",17
"2018-04-14",18
"2018-04-15",18
"2018-04-16",21
"2018-04-17",19
"2018-04-18",17
"2018-04-19",18
