네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","에고이스트"
"2017-08-01",36
"2017-08-02",38
"2017-08-03",36
"2017-08-04",31
"2017-08-05",40
"2017-08-06",43
"2017-08-07",31
"2017-08-08",30
"2017-08-09",34
"2017-08-10",27
"2017-08-11",30
"2017-08-12",38
"2017-08-13",47
"2017-08-14",41
"2017-08-15",51
"2017-08-16",47
"2017-08-17",45
"2017-08-18",36
"2017-08-19",39
"2017-08-20",57
"2017-08-21",38
"2017-08-22",43
"2017-08-23",41
"2017-08-24",40
"2017-08-25",42
"2017-08-26",43
"2017-08-27",54
"2017-08-28",43
"2017-08-29",43
"2017-08-30",43
"2017-08-31",35
"2017-09-01",41
"2017-09-02",53
"2017-09-03",57
"2017-09-04",54
"2017-09-05",58
"2017-09-06",49
"2017-09-07",53
"2017-09-08",46
"2017-09-09",58
"2017-09-10",54
"2017-09-11",48
"2017-09-12",42
"2017-09-13",40
"2017-09-14",43
"2017-09-15",46
"2017-09-16",48
"2017-09-17",50
"2017-09-18",48
"2017-09-19",38
"2017-09-20",41
"2017-09-21",39
"2017-09-22",36
"2017-09-23",43
"2017-09-24",50
"2017-09-25",40
"2017-09-26",40
"2017-09-27",48
"2017-09-28",39
"2017-09-29",41
"2017-09-30",38
"2017-10-01",58
"2017-10-02",56
"2017-10-03",40
"2017-10-04",46
"2017-10-05",47
"2017-10-06",53
"2017-10-07",43
"2017-10-08",52
"2017-10-09",53
"2017-10-10",40
"2017-10-11",52
"2017-10-12",60
"2017-10-13",50
"2017-10-14",58
"2017-10-15",62
"2017-10-16",49
"2017-10-17",50
"2017-10-18",55
"2017-10-19",43
"2017-10-20",44
"2017-10-21",41
"2017-10-22",49
"2017-10-23",47
"2017-10-24",40
"2017-10-25",55
"2017-10-26",47
"2017-10-27",54
"2017-10-28",51
"2017-10-29",48
"2017-10-30",56
"2017-10-31",45
"2017-11-01",48
"2017-11-02",54
"2017-11-03",46
"2017-11-04",60
"2017-11-05",72
"2017-11-06",57
"2017-11-07",50
"2017-11-08",58
"2017-11-09",61
"2017-11-10",52
"2017-11-11",57
"2017-11-12",73
"2017-11-13",67
"2017-11-14",61
"2017-11-15",63
"2017-11-16",76
"2017-11-17",70
"2017-11-18",78
"2017-11-19",100
"2017-11-20",88
"2017-11-21",87
"2017-11-22",90
"2017-11-23",85
"2017-11-24",75
"2017-11-25",76
"2017-11-26",77
"2017-11-27",73
"2017-11-28",79
"2017-11-29",73
"2017-11-30",71
"2017-12-01",67
"2017-12-02",84
"2017-12-03",93
"2017-12-04",82
"2017-12-05",72
"2017-12-06",65
"2017-12-07",56
"2017-12-08",57
"2017-12-09",57
"2017-12-10",76
"2017-12-11",63
"2017-12-12",71
"2017-12-13",68
"2017-12-14",64
"2017-12-15",54
"2017-12-16",53
"2017-12-17",61
"2017-12-18",47
"2017-12-19",48
"2017-12-20",48
"2017-12-21",45
"2017-12-22",35
"2017-12-23",48
"2017-12-24",44
"2017-12-25",57
"2017-12-26",43
"2017-12-27",46
"2017-12-28",44
"2017-12-29",32
"2017-12-30",45
"2017-12-31",47
"2018-01-01",46
"2018-01-02",35
"2018-01-03",40
"2018-01-04",42
"2018-01-05",42
"2018-01-06",49
"2018-01-07",49
"2018-01-08",33
"2018-01-09",44
"2018-01-10",42
"2018-01-11",45
"2018-01-12",44
"2018-01-13",53
"2018-01-14",49
"2018-01-15",44
"2018-01-16",42
"2018-01-17",40
"2018-01-18",48
"2018-01-19",41
"2018-01-20",58
"2018-01-21",63
"2018-01-22",49
"2018-01-23",43
"2018-01-24",51
"2018-01-25",50
"2018-01-26",42
"2018-01-27",60
"2018-01-28",63
"2018-01-29",46
"2018-01-30",46
"2018-01-31",48
"2018-02-01",43
"2018-02-02",45
"2018-02-03",48
"2018-02-04",70
"2018-02-05",47
"2018-02-06",48
"2018-02-07",37
"2018-02-08",41
"2018-02-09",39
"2018-02-10",49
"2018-02-11",56
"2018-02-12",47
"2018-02-13",38
"2018-02-14",35
"2018-02-15",37
"2018-02-16",36
"2018-02-17",42
"2018-02-18",62
"2018-02-19",43
"2018-02-20",41
"2018-02-21",42
"2018-02-22",48
"2018-02-23",37
"2018-02-24",52
"2018-02-25",60
"2018-02-26",55
"2018-02-27",59
"2018-02-28",57
"2018-03-01",76
"2018-03-02",64
"2018-03-03",72
"2018-03-04",75
"2018-03-05",59
"2018-03-06",63
"2018-03-07",62
"2018-03-08",61
"2018-03-09",59
"2018-03-10",72
"2018-03-11",77
"2018-03-12",68
"2018-03-13",69
"2018-03-14",51
"2018-03-15",59
"2018-03-16",56
"2018-03-17",83
"2018-03-18",88
"2018-03-19",71
"2018-03-20",56
"2018-03-21",53
"2018-03-22",56
"2018-03-23",56
"2018-03-24",84
"2018-03-25",83
"2018-03-26",59
"2018-03-27",71
"2018-03-28",65
"2018-03-29",59
"2018-03-30",38
"2018-03-31",77
"2018-04-01",70
"2018-04-02",47
"2018-04-03",52
"2018-04-04",66
"2018-04-05",61
"2018-04-06",58
"2018-04-07",75
"2018-04-08",73
"2018-04-09",62
"2018-04-10",54
"2018-04-11",64
"2018-04-12",55
"2018-04-13",44
"2018-04-14",76
"2018-04-15",64
"2018-04-16",57
"2018-04-17",55
"2018-04-18",62
"2018-04-19",49
