네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","트위드자켓"
"2017-08-01",2
"2017-08-02",1
"2017-08-03",2
"2017-08-04",2
"2017-08-05",2
"2017-08-06",3
"2017-08-07",2
"2017-08-08",2
"2017-08-09",2
"2017-08-10",5
"2017-08-11",5
"2017-08-12",4
"2017-08-13",7
"2017-08-14",6
"2017-08-15",10
"2017-08-16",9
"2017-08-17",8
"2017-08-18",6
"2017-08-19",9
"2017-08-20",12
"2017-08-21",10
"2017-08-22",9
"2017-08-23",11
"2017-08-24",12
"2017-08-25",10
"2017-08-26",13
"2017-08-27",17
"2017-08-28",14
"2017-08-29",19
"2017-08-30",25
"2017-08-31",24
"2017-09-01",21
"2017-09-02",25
"2017-09-03",27
"2017-09-04",27
"2017-09-05",26
"2017-09-06",27
"2017-09-07",27
"2017-09-08",20
"2017-09-09",24
"2017-09-10",31
"2017-09-11",34
"2017-09-12",28
"2017-09-13",25
"2017-09-14",31
"2017-09-15",22
"2017-09-16",27
"2017-09-17",37
"2017-09-18",28
"2017-09-19",26
"2017-09-20",29
"2017-09-21",31
"2017-09-22",22
"2017-09-23",25
"2017-09-24",29
"2017-09-25",21
"2017-09-26",26
"2017-09-27",22
"2017-09-28",22
"2017-09-29",23
"2017-09-30",24
"2017-10-01",37
"2017-10-02",27
"2017-10-03",31
"2017-10-04",29
"2017-10-05",31
"2017-10-06",37
"2017-10-07",43
"2017-10-08",44
"2017-10-09",46
"2017-10-10",35
"2017-10-11",36
"2017-10-12",37
"2017-10-13",36
"2017-10-14",38
"2017-10-15",49
"2017-10-16",45
"2017-10-17",40
"2017-10-18",39
"2017-10-19",35
"2017-10-20",36
"2017-10-21",35
"2017-10-22",49
"2017-10-23",43
"2017-10-24",41
"2017-10-25",40
"2017-10-26",35
"2017-10-27",28
"2017-10-28",30
"2017-10-29",38
"2017-10-30",28
"2017-10-31",27
"2017-11-01",25
"2017-11-02",27
"2017-11-03",20
"2017-11-04",22
"2017-11-05",21
"2017-11-06",25
"2017-11-07",22
"2017-11-08",22
"2017-11-09",16
"2017-11-10",15
"2017-11-11",15
"2017-11-12",20
"2017-11-13",16
"2017-11-14",13
"2017-11-15",11
"2017-11-16",11
"2017-11-17",10
"2017-11-18",10
"2017-11-19",12
"2017-11-20",7
"2017-11-21",9
"2017-11-22",10
"2017-11-23",7
"2017-11-24",7
"2017-11-25",10
"2017-11-26",8
"2017-11-27",8
"2017-11-28",9
"2017-11-29",9
"2017-11-30",9
"2017-12-01",7
"2017-12-02",8
"2017-12-03",11
"2017-12-04",7
"2017-12-05",8
"2017-12-06",6
"2017-12-07",6
"2017-12-08",7
"2017-12-09",7
"2017-12-10",9
"2017-12-11",8
"2017-12-12",6
"2017-12-13",8
"2017-12-14",7
"2017-12-15",6
"2017-12-16",6
"2017-12-17",6
"2017-12-18",7
"2017-12-19",5
"2017-12-20",4
"2017-12-21",5
"2017-12-22",4
"2017-12-23",6
"2017-12-24",5
"2017-12-25",7
"2017-12-26",7
"2017-12-27",6
"2017-12-28",8
"2017-12-29",6
"2017-12-30",8
"2017-12-31",6
"2018-01-01",6
"2018-01-02",7
"2018-01-03",7
"2018-01-04",8
"2018-01-05",7
"2018-01-06",9
"2018-01-07",13
"2018-01-08",10
"2018-01-09",11
"2018-01-10",12
"2018-01-11",10
"2018-01-12",10
"2018-01-13",12
"2018-01-14",18
"2018-01-15",16
"2018-01-16",14
"2018-01-17",15
"2018-01-18",17
"2018-01-19",16
"2018-01-20",20
"2018-01-21",26
"2018-01-22",22
"2018-01-23",21
"2018-01-24",19
"2018-01-25",18
"2018-01-26",23
"2018-01-27",26
"2018-01-28",30
"2018-01-29",26
"2018-01-30",25
"2018-01-31",26
"2018-02-01",26
"2018-02-02",25
"2018-02-03",35
"2018-02-04",42
"2018-02-05",33
"2018-02-06",34
"2018-02-07",35
"2018-02-08",31
"2018-02-09",27
"2018-02-10",40
"2018-02-11",42
"2018-02-12",33
"2018-02-13",34
"2018-02-14",35
"2018-02-15",39
"2018-02-16",36
"2018-02-17",42
"2018-02-18",52
"2018-02-19",53
"2018-02-20",57
"2018-02-21",51
"2018-02-22",53
"2018-02-23",49
"2018-02-24",62
"2018-02-25",73
"2018-02-26",73
"2018-02-27",71
"2018-02-28",72
"2018-03-01",80
"2018-03-02",72
"2018-03-03",76
"2018-03-04",100
"2018-03-05",76
"2018-03-06",77
"2018-03-07",76
"2018-03-08",67
"2018-03-09",69
"2018-03-10",88
"2018-03-11",97
"2018-03-12",88
"2018-03-13",85
"2018-03-14",75
"2018-03-15",69
"2018-03-16",63
"2018-03-17",58
"2018-03-18",83
"2018-03-19",63
"2018-03-20",65
"2018-03-21",63
"2018-03-22",40
"2018-03-23",43
"2018-03-24",51
"2018-03-25",55
"2018-03-26",39
"2018-03-27",40
"2018-03-28",41
"2018-03-29",30
"2018-03-30",22
"2018-03-31",24
"2018-04-01",27
"2018-04-02",20
"2018-04-03",18
"2018-04-04",17
"2018-04-05",18
"2018-04-06",17
"2018-04-07",22
"2018-04-08",25
"2018-04-09",17
"2018-04-10",17
"2018-04-11",17
"2018-04-12",17
"2018-04-13",13
"2018-04-14",15
"2018-04-15",17
"2018-04-16",15
"2018-04-17",13
"2018-04-18",13
"2018-04-19",9
