네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","아디다스레깅스"
"2017-08-01",22
"2017-08-02",22
"2017-08-03",19
"2017-08-04",17
"2017-08-05",20
"2017-08-06",24
"2017-08-07",26
"2017-08-08",25
"2017-08-09",23
"2017-08-10",25
"2017-08-11",21
"2017-08-12",25
"2017-08-13",24
"2017-08-14",24
"2017-08-15",33
"2017-08-16",33
"2017-08-17",26
"2017-08-18",24
"2017-08-19",22
"2017-08-20",36
"2017-08-21",35
"2017-08-22",30
"2017-08-23",30
"2017-08-24",25
"2017-08-25",19
"2017-08-26",23
"2017-08-27",33
"2017-08-28",27
"2017-08-29",33
"2017-08-30",38
"2017-08-31",37
"2017-09-01",36
"2017-09-02",38
"2017-09-03",47
"2017-09-04",41
"2017-09-05",42
"2017-09-06",42
"2017-09-07",35
"2017-09-08",34
"2017-09-09",37
"2017-09-10",42
"2017-09-11",44
"2017-09-12",39
"2017-09-13",40
"2017-09-14",35
"2017-09-15",32
"2017-09-16",41
"2017-09-17",48
"2017-09-18",42
"2017-09-19",45
"2017-09-20",36
"2017-09-21",37
"2017-09-22",29
"2017-09-23",32
"2017-09-24",42
"2017-09-25",43
"2017-09-26",48
"2017-09-27",39
"2017-09-28",32
"2017-09-29",30
"2017-09-30",32
"2017-10-01",43
"2017-10-02",44
"2017-10-03",43
"2017-10-04",46
"2017-10-05",55
"2017-10-06",71
"2017-10-07",91
"2017-10-08",100
"2017-10-09",92
"2017-10-10",81
"2017-10-11",78
"2017-10-12",77
"2017-10-13",63
"2017-10-14",64
"2017-10-15",74
"2017-10-16",77
"2017-10-17",73
"2017-10-18",67
"2017-10-19",52
"2017-10-20",47
"2017-10-21",49
"2017-10-22",61
"2017-10-23",56
"2017-10-24",61
"2017-10-25",50
"2017-10-26",50
"2017-10-27",42
"2017-10-28",53
"2017-10-29",61
"2017-10-30",58
"2017-10-31",48
"2017-11-01",54
"2017-11-02",48
"2017-11-03",39
"2017-11-04",43
"2017-11-05",65
"2017-11-06",54
"2017-11-07",52
"2017-11-08",47
"2017-11-09",42
"2017-11-10",42
"2017-11-11",37
"2017-11-12",48
"2017-11-13",48
"2017-11-14",41
"2017-11-15",37
"2017-11-16",42
"2017-11-17",32
"2017-11-18",39
"2017-11-19",40
"2017-11-20",38
"2017-11-21",38
"2017-11-22",39
"2017-11-23",33
"2017-11-24",31
"2017-11-25",30
"2017-11-26",36
"2017-11-27",40
"2017-11-28",37
"2017-11-29",33
"2017-11-30",32
"2017-12-01",29
"2017-12-02",32
"2017-12-03",38
"2017-12-04",40
"2017-12-05",37
"2017-12-06",35
"2017-12-07",33
"2017-12-08",29
"2017-12-09",32
"2017-12-10",35
"2017-12-11",34
"2017-12-12",34
"2017-12-13",33
"2017-12-14",29
"2017-12-15",25
"2017-12-16",25
"2017-12-17",28
"2017-12-18",27
"2017-12-19",25
"2017-12-20",22
"2017-12-21",24
"2017-12-22",20
"2017-12-23",19
"2017-12-24",20
"2017-12-25",24
"2017-12-26",24
"2017-12-27",22
"2017-12-28",20
"2017-12-29",21
"2017-12-30",23
"2017-12-31",25
"2018-01-01",28
"2018-01-02",30
"2018-01-03",34
"2018-01-04",33
"2018-01-05",32
"2018-01-06",34
"2018-01-07",42
"2018-01-08",43
"2018-01-09",41
"2018-01-10",41
"2018-01-11",34
"2018-01-12",31
"2018-01-13",35
"2018-01-14",40
"2018-01-15",39
"2018-01-16",38
"2018-01-17",45
"2018-01-18",38
"2018-01-19",35
"2018-01-20",37
"2018-01-21",44
"2018-01-22",43
"2018-01-23",38
"2018-01-24",43
"2018-01-25",36
"2018-01-26",33
"2018-01-27",37
"2018-01-28",37
"2018-01-29",36
"2018-01-30",40
"2018-01-31",39
"2018-02-01",38
"2018-02-02",32
"2018-02-03",31
"2018-02-04",39
"2018-02-05",35
"2018-02-06",35
"2018-02-07",35
"2018-02-08",32
"2018-02-09",29
"2018-02-10",33
"2018-02-11",37
"2018-02-12",32
"2018-02-13",25
"2018-02-14",22
"2018-02-15",29
"2018-02-16",36
"2018-02-17",46
"2018-02-18",56
"2018-02-19",52
"2018-02-20",48
"2018-02-21",50
"2018-02-22",45
"2018-02-23",41
"2018-02-24",46
"2018-02-25",55
"2018-02-26",50
"2018-02-27",48
"2018-02-28",47
"2018-03-01",53
"2018-03-02",45
"2018-03-03",43
"2018-03-04",60
"2018-03-05",45
"2018-03-06",43
"2018-03-07",42
"2018-03-08",44
"2018-03-09",31
"2018-03-10",41
"2018-03-11",52
"2018-03-12",46
"2018-03-13",38
"2018-03-14",45
"2018-03-15",41
"2018-03-16",38
"2018-03-17",42
"2018-03-18",52
"2018-03-19",41
"2018-03-20",39
"2018-03-21",38
"2018-03-22",35
"2018-03-23",37
"2018-03-24",44
"2018-03-25",49
"2018-03-26",49
"2018-03-27",44
"2018-03-28",47
"2018-03-29",42
"2018-03-30",35
"2018-03-31",37
"2018-04-01",48
"2018-04-02",45
"2018-04-03",44
"2018-04-04",42
"2018-04-05",45
"2018-04-06",37
"2018-04-07",36
"2018-04-08",41
"2018-04-09",47
"2018-04-10",45
"2018-04-11",47
"2018-04-12",39
"2018-04-13",35
"2018-04-14",40
"2018-04-15",48
"2018-04-16",43
"2018-04-17",39
"2018-04-18",38
"2018-04-19",35
