네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","가디건"
"2017-08-01",9
"2017-08-02",9
"2017-08-03",9
"2017-08-04",7
"2017-08-05",7
"2017-08-06",8
"2017-08-07",9
"2017-08-08",8
"2017-08-09",10
"2017-08-10",11
"2017-08-11",9
"2017-08-12",11
"2017-08-13",14
"2017-08-14",19
"2017-08-15",29
"2017-08-16",25
"2017-08-17",23
"2017-08-18",19
"2017-08-19",18
"2017-08-20",28
"2017-08-21",26
"2017-08-22",30
"2017-08-23",25
"2017-08-24",23
"2017-08-25",23
"2017-08-26",30
"2017-08-27",37
"2017-08-28",43
"2017-08-29",71
"2017-08-30",100
"2017-08-31",64
"2017-09-01",57
"2017-09-02",53
"2017-09-03",69
"2017-09-04",61
"2017-09-05",66
"2017-09-06",63
"2017-09-07",56
"2017-09-08",42
"2017-09-09",46
"2017-09-10",53
"2017-09-11",56
"2017-09-12",55
"2017-09-13",56
"2017-09-14",54
"2017-09-15",46
"2017-09-16",54
"2017-09-17",69
"2017-09-18",58
"2017-09-19",61
"2017-09-20",54
"2017-09-21",54
"2017-09-22",44
"2017-09-23",43
"2017-09-24",61
"2017-09-25",55
"2017-09-26",43
"2017-09-27",46
"2017-09-28",42
"2017-09-29",38
"2017-09-30",38
"2017-10-01",48
"2017-10-02",38
"2017-10-03",41
"2017-10-04",49
"2017-10-05",47
"2017-10-06",58
"2017-10-07",60
"2017-10-08",61
"2017-10-09",65
"2017-10-10",53
"2017-10-11",64
"2017-10-12",74
"2017-10-13",60
"2017-10-14",62
"2017-10-15",78
"2017-10-16",71
"2017-10-17",67
"2017-10-18",70
"2017-10-19",59
"2017-10-20",47
"2017-10-21",47
"2017-10-22",68
"2017-10-23",66
"2017-10-24",70
"2017-10-25",61
"2017-10-26",52
"2017-10-27",44
"2017-10-28",48
"2017-10-29",55
"2017-10-30",48
"2017-10-31",40
"2017-11-01",39
"2017-11-02",42
"2017-11-03",35
"2017-11-04",35
"2017-11-05",39
"2017-11-06",37
"2017-11-07",41
"2017-11-08",37
"2017-11-09",34
"2017-11-10",25
"2017-11-11",28
"2017-11-12",31
"2017-11-13",32
"2017-11-14",32
"2017-11-15",31
"2017-11-16",27
"2017-11-17",23
"2017-11-18",25
"2017-11-19",33
"2017-11-20",26
"2017-11-21",24
"2017-11-22",30
"2017-11-23",29
"2017-11-24",22
"2017-11-25",25
"2017-11-26",32
"2017-11-27",26
"2017-11-28",26
"2017-11-29",22
"2017-11-30",23
"2017-12-01",21
"2017-12-02",23
"2017-12-03",29
"2017-12-04",28
"2017-12-05",29
"2017-12-06",23
"2017-12-07",22
"2017-12-08",23
"2017-12-09",20
"2017-12-10",36
"2017-12-11",32
"2017-12-12",30
"2017-12-13",28
"2017-12-14",24
"2017-12-15",24
"2017-12-16",25
"2017-12-17",36
"2017-12-18",32
"2017-12-19",30
"2017-12-20",25
"2017-12-21",16
"2017-12-22",19
"2017-12-23",20
"2017-12-24",21
"2017-12-25",24
"2017-12-26",23
"2017-12-27",23
"2017-12-28",22
"2017-12-29",16
"2017-12-30",23
"2017-12-31",19
"2018-01-01",24
"2018-01-02",26
"2018-01-03",26
"2018-01-04",21
"2018-01-05",22
"2018-01-06",24
"2018-01-07",31
"2018-01-08",29
"2018-01-09",26
"2018-01-10",27
"2018-01-11",24
"2018-01-12",26
"2018-01-13",32
"2018-01-14",36
"2018-01-15",30
"2018-01-16",31
"2018-01-17",31
"2018-01-18",28
"2018-01-19",30
"2018-01-20",32
"2018-01-21",42
"2018-01-22",37
"2018-01-23",35
"2018-01-24",36
"2018-01-25",31
"2018-01-26",31
"2018-01-27",36
"2018-01-28",40
"2018-01-29",34
"2018-01-30",39
"2018-01-31",39
"2018-02-01",30
"2018-02-02",27
"2018-02-03",35
"2018-02-04",47
"2018-02-05",39
"2018-02-06",39
"2018-02-07",36
"2018-02-08",35
"2018-02-09",29
"2018-02-10",33
"2018-02-11",41
"2018-02-12",31
"2018-02-13",29
"2018-02-14",25
"2018-02-15",27
"2018-02-16",29
"2018-02-17",34
"2018-02-18",45
"2018-02-19",43
"2018-02-20",41
"2018-02-21",39
"2018-02-22",39
"2018-02-23",34
"2018-02-24",38
"2018-02-25",50
"2018-02-26",46
"2018-02-27",51
"2018-02-28",43
"2018-03-01",57
"2018-03-02",43
"2018-03-03",51
"2018-03-04",75
"2018-03-05",61
"2018-03-06",60
"2018-03-07",61
"2018-03-08",48
"2018-03-09",45
"2018-03-10",56
"2018-03-11",74
"2018-03-12",65
"2018-03-13",71
"2018-03-14",65
"2018-03-15",58
"2018-03-16",48
"2018-03-17",46
"2018-03-18",72
"2018-03-19",56
"2018-03-20",46
"2018-03-21",53
"2018-03-22",45
"2018-03-23",43
"2018-03-24",55
"2018-03-25",65
"2018-03-26",56
"2018-03-27",58
"2018-03-28",56
"2018-03-29",47
"2018-03-30",39
"2018-03-31",51
"2018-04-01",62
"2018-04-02",52
"2018-04-03",48
"2018-04-04",47
"2018-04-05",39
"2018-04-06",32
"2018-04-07",36
"2018-04-08",47
"2018-04-09",42
"2018-04-10",47
"2018-04-11",41
"2018-04-12",37
"2018-04-13",34
"2018-04-14",42
"2018-04-15",51
"2018-04-16",45
"2018-04-17",47
"2018-04-18",39
"2018-04-19",41
