네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","여성경량패딩"
"2017-08-01",1
"2017-08-02",2
"2017-08-03",1
"2017-08-04",1
"2017-08-05",2
"2017-08-06",1
"2017-08-07",2
"2017-08-08",2
"2017-08-09",2
"2017-08-10",2
"2017-08-11",2
"2017-08-12",2
"2017-08-13",3
"2017-08-14",3
"2017-08-15",4
"2017-08-16",4
"2017-08-17",4
"2017-08-18",3
"2017-08-19",4
"2017-08-20",5
"2017-08-21",3
"2017-08-22",3
"2017-08-23",3
"2017-08-24",3
"2017-08-25",5
"2017-08-26",5
"2017-08-27",4
"2017-08-28",6
"2017-08-29",5
"2017-08-30",7
"2017-08-31",6
"2017-09-01",5
"2017-09-02",5
"2017-09-03",5
"2017-09-04",3
"2017-09-05",4
"2017-09-06",5
"2017-09-07",6
"2017-09-08",4
"2017-09-09",5
"2017-09-10",4
"2017-09-11",6
"2017-09-12",4
"2017-09-13",4
"2017-09-14",6
"2017-09-15",6
"2017-09-16",7
"2017-09-17",8
"2017-09-18",6
"2017-09-19",7
"2017-09-20",7
"2017-09-21",5
"2017-09-22",5
"2017-09-23",6
"2017-09-24",5
"2017-09-25",4
"2017-09-26",5
"2017-09-27",5
"2017-09-28",5
"2017-09-29",7
"2017-09-30",8
"2017-10-01",11
"2017-10-02",9
"2017-10-03",7
"2017-10-04",8
"2017-10-05",12
"2017-10-06",16
"2017-10-07",13
"2017-10-08",13
"2017-10-09",10
"2017-10-10",10
"2017-10-11",18
"2017-10-12",38
"2017-10-13",48
"2017-10-14",42
"2017-10-15",52
"2017-10-16",46
"2017-10-17",44
"2017-10-18",47
"2017-10-19",34
"2017-10-20",27
"2017-10-21",25
"2017-10-22",33
"2017-10-23",39
"2017-10-24",42
"2017-10-25",42
"2017-10-26",39
"2017-10-27",31
"2017-10-28",33
"2017-10-29",56
"2017-10-30",100
"2017-10-31",86
"2017-11-01",72
"2017-11-02",67
"2017-11-03",64
"2017-11-04",73
"2017-11-05",88
"2017-11-06",88
"2017-11-07",69
"2017-11-08",64
"2017-11-09",64
"2017-11-10",56
"2017-11-11",60
"2017-11-12",74
"2017-11-13",75
"2017-11-14",65
"2017-11-15",63
"2017-11-16",64
"2017-11-17",49
"2017-11-18",50
"2017-11-19",47
"2017-11-20",45
"2017-11-21",39
"2017-11-22",39
"2017-11-23",36
"2017-11-24",30
"2017-11-25",30
"2017-11-26",32
"2017-11-27",31
"2017-11-28",30
"2017-11-29",29
"2017-11-30",27
"2017-12-01",23
"2017-12-02",24
"2017-12-03",28
"2017-12-04",29
"2017-12-05",28
"2017-12-06",23
"2017-12-07",22
"2017-12-08",20
"2017-12-09",19
"2017-12-10",24
"2017-12-11",23
"2017-12-12",24
"2017-12-13",26
"2017-12-14",23
"2017-12-15",18
"2017-12-16",19
"2017-12-17",25
"2017-12-18",19
"2017-12-19",19
"2017-12-20",16
"2017-12-21",15
"2017-12-22",12
"2017-12-23",13
"2017-12-24",14
"2017-12-25",17
"2017-12-26",16
"2017-12-27",17
"2017-12-28",14
"2017-12-29",14
"2017-12-30",15
"2017-12-31",16
"2018-01-01",16
"2018-01-02",18
"2018-01-03",18
"2018-01-04",21
"2018-01-05",21
"2018-01-06",19
"2018-01-07",22
"2018-01-08",20
"2018-01-09",20
"2018-01-10",20
"2018-01-11",21
"2018-01-12",16
"2018-01-13",19
"2018-01-14",22
"2018-01-15",21
"2018-01-16",24
"2018-01-17",22
"2018-01-18",20
"2018-01-19",20
"2018-01-20",23
"2018-01-21",25
"2018-01-22",25
"2018-01-23",21
"2018-01-24",26
"2018-01-25",22
"2018-01-26",24
"2018-01-27",23
"2018-01-28",29
"2018-01-29",22
"2018-01-30",22
"2018-01-31",24
"2018-02-01",22
"2018-02-02",19
"2018-02-03",20
"2018-02-04",24
"2018-02-05",23
"2018-02-06",24
"2018-02-07",20
"2018-02-08",25
"2018-02-09",21
"2018-02-10",22
"2018-02-11",28
"2018-02-12",18
"2018-02-13",18
"2018-02-14",20
"2018-02-15",18
"2018-02-16",20
"2018-02-17",19
"2018-02-18",33
"2018-02-19",33
"2018-02-20",31
"2018-02-21",30
"2018-02-22",29
"2018-02-23",28
"2018-02-24",31
"2018-02-25",38
"2018-02-26",40
"2018-02-27",38
"2018-02-28",36
"2018-03-01",38
"2018-03-02",30
"2018-03-03",33
"2018-03-04",38
"2018-03-05",35
"2018-03-06",34
"2018-03-07",35
"2018-03-08",32
"2018-03-09",29
"2018-03-10",29
"2018-03-11",36
"2018-03-12",31
"2018-03-13",21
"2018-03-14",14
"2018-03-15",12
"2018-03-16",14
"2018-03-17",16
"2018-03-18",18
"2018-03-19",17
"2018-03-20",18
"2018-03-21",19
"2018-03-22",16
"2018-03-23",15
"2018-03-24",15
"2018-03-25",12
"2018-03-26",7
"2018-03-27",5
"2018-03-28",4
"2018-03-29",3
"2018-03-30",3
"2018-03-31",2
"2018-04-01",3
"2018-04-02",1
"2018-04-03",2
"2018-04-04",2
"2018-04-05",4
"2018-04-06",4
"2018-04-07",7
"2018-04-08",8
"2018-04-09",5
"2018-04-10",3
"2018-04-11",3
"2018-04-12",2
"2018-04-13",2
"2018-04-14",4
"2018-04-15",5
"2018-04-16",3
"2018-04-17",2
"2018-04-18",2
"2018-04-19",2
