네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","쉬폰원피스"
"2017-08-01",18
"2017-08-02",21
"2017-08-03",18
"2017-08-04",15
"2017-08-05",17
"2017-08-06",20
"2017-08-07",18
"2017-08-08",15
"2017-08-09",15
"2017-08-10",13
"2017-08-11",12
"2017-08-12",12
"2017-08-13",16
"2017-08-14",12
"2017-08-15",14
"2017-08-16",14
"2017-08-17",13
"2017-08-18",12
"2017-08-19",13
"2017-08-20",15
"2017-08-21",16
"2017-08-22",13
"2017-08-23",14
"2017-08-24",13
"2017-08-25",13
"2017-08-26",13
"2017-08-27",18
"2017-08-28",13
"2017-08-29",18
"2017-08-30",15
"2017-08-31",15
"2017-09-01",13
"2017-09-02",17
"2017-09-03",21
"2017-09-04",18
"2017-09-05",18
"2017-09-06",14
"2017-09-07",16
"2017-09-08",18
"2017-09-09",16
"2017-09-10",22
"2017-09-11",19
"2017-09-12",18
"2017-09-13",21
"2017-09-14",23
"2017-09-15",16
"2017-09-16",21
"2017-09-17",29
"2017-09-18",25
"2017-09-19",30
"2017-09-20",25
"2017-09-21",22
"2017-09-22",16
"2017-09-23",20
"2017-09-24",26
"2017-09-25",24
"2017-09-26",24
"2017-09-27",19
"2017-09-28",13
"2017-09-29",13
"2017-09-30",11
"2017-10-01",13
"2017-10-02",15
"2017-10-03",13
"2017-10-04",15
"2017-10-05",11
"2017-10-06",15
"2017-10-07",18
"2017-10-08",21
"2017-10-09",22
"2017-10-10",18
"2017-10-11",16
"2017-10-12",13
"2017-10-13",14
"2017-10-14",12
"2017-10-15",17
"2017-10-16",11
"2017-10-17",12
"2017-10-18",13
"2017-10-19",11
"2017-10-20",10
"2017-10-21",14
"2017-10-22",14
"2017-10-23",9
"2017-10-24",13
"2017-10-25",13
"2017-10-26",14
"2017-10-27",9
"2017-10-28",13
"2017-10-29",13
"2017-10-30",9
"2017-10-31",9
"2017-11-01",9
"2017-11-02",9
"2017-11-03",9
"2017-11-04",8
"2017-11-05",10
"2017-11-06",10
"2017-11-07",9
"2017-11-08",11
"2017-11-09",10
"2017-11-10",8
"2017-11-11",7
"2017-11-12",10
"2017-11-13",9
"2017-11-14",10
"2017-11-15",7
"2017-11-16",7
"2017-11-17",6
"2017-11-18",6
"2017-11-19",9
"2017-11-20",6
"2017-11-21",10
"2017-11-22",9
"2017-11-23",8
"2017-11-24",6
"2017-11-25",6
"2017-11-26",7
"2017-11-27",8
"2017-11-28",11
"2017-11-29",9
"2017-11-30",7
"2017-12-01",7
"2017-12-02",11
"2017-12-03",12
"2017-12-04",10
"2017-12-05",10
"2017-12-06",9
"2017-12-07",10
"2017-12-08",9
"2017-12-09",12
"2017-12-10",16
"2017-12-11",10
"2017-12-12",10
"2017-12-13",10
"2017-12-14",10
"2017-12-15",8
"2017-12-16",9
"2017-12-17",11
"2017-12-18",12
"2017-12-19",9
"2017-12-20",10
"2017-12-21",9
"2017-12-22",9
"2017-12-23",9
"2017-12-24",10
"2017-12-25",13
"2017-12-26",11
"2017-12-27",12
"2017-12-28",11
"2017-12-29",12
"2017-12-30",15
"2017-12-31",14
"2018-01-01",15
"2018-01-02",15
"2018-01-03",17
"2018-01-04",21
"2018-01-05",15
"2018-01-06",21
"2018-01-07",29
"2018-01-08",24
"2018-01-09",23
"2018-01-10",18
"2018-01-11",17
"2018-01-12",19
"2018-01-13",19
"2018-01-14",27
"2018-01-15",24
"2018-01-16",30
"2018-01-17",24
"2018-01-18",26
"2018-01-19",20
"2018-01-20",26
"2018-01-21",34
"2018-01-22",30
"2018-01-23",28
"2018-01-24",25
"2018-01-25",21
"2018-01-26",17
"2018-01-27",23
"2018-01-28",27
"2018-01-29",23
"2018-01-30",26
"2018-01-31",25
"2018-02-01",26
"2018-02-02",22
"2018-02-03",27
"2018-02-04",37
"2018-02-05",26
"2018-02-06",24
"2018-02-07",30
"2018-02-08",24
"2018-02-09",24
"2018-02-10",28
"2018-02-11",33
"2018-02-12",22
"2018-02-13",22
"2018-02-14",17
"2018-02-15",31
"2018-02-16",27
"2018-02-17",30
"2018-02-18",38
"2018-02-19",36
"2018-02-20",33
"2018-02-21",36
"2018-02-22",32
"2018-02-23",31
"2018-02-24",38
"2018-02-25",47
"2018-02-26",41
"2018-02-27",42
"2018-02-28",39
"2018-03-01",42
"2018-03-02",40
"2018-03-03",50
"2018-03-04",63
"2018-03-05",47
"2018-03-06",46
"2018-03-07",40
"2018-03-08",40
"2018-03-09",38
"2018-03-10",44
"2018-03-11",67
"2018-03-12",57
"2018-03-13",55
"2018-03-14",61
"2018-03-15",56
"2018-03-16",44
"2018-03-17",53
"2018-03-18",86
"2018-03-19",63
"2018-03-20",63
"2018-03-21",51
"2018-03-22",53
"2018-03-23",49
"2018-03-24",68
"2018-03-25",80
"2018-03-26",68
"2018-03-27",66
"2018-03-28",67
"2018-03-29",65
"2018-03-30",58
"2018-03-31",78
"2018-04-01",100
"2018-04-02",81
"2018-04-03",75
"2018-04-04",67
"2018-04-05",58
"2018-04-06",51
"2018-04-07",52
"2018-04-08",67
"2018-04-09",54
"2018-04-10",58
"2018-04-11",58
"2018-04-12",50
"2018-04-13",49
"2018-04-14",57
"2018-04-15",64
"2018-04-16",54
"2018-04-17",47
"2018-04-18",53
"2018-04-19",46
