네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","니트"
"2017-08-01",2
"2017-08-02",3
"2017-08-03",2
"2017-08-04",2
"2017-08-05",2
"2017-08-06",2
"2017-08-07",2
"2017-08-08",3
"2017-08-09",3
"2017-08-10",3
"2017-08-11",2
"2017-08-12",3
"2017-08-13",4
"2017-08-14",5
"2017-08-15",5
"2017-08-16",5
"2017-08-17",6
"2017-08-18",5
"2017-08-19",5
"2017-08-20",10
"2017-08-21",10
"2017-08-22",7
"2017-08-23",5
"2017-08-24",8
"2017-08-25",6
"2017-08-26",8
"2017-08-27",10
"2017-08-28",10
"2017-08-29",16
"2017-08-30",19
"2017-08-31",17
"2017-09-01",14
"2017-09-02",19
"2017-09-03",23
"2017-09-04",19
"2017-09-05",24
"2017-09-06",22
"2017-09-07",23
"2017-09-08",17
"2017-09-09",20
"2017-09-10",23
"2017-09-11",24
"2017-09-12",22
"2017-09-13",24
"2017-09-14",23
"2017-09-15",22
"2017-09-16",28
"2017-09-17",29
"2017-09-18",28
"2017-09-19",35
"2017-09-20",29
"2017-09-21",33
"2017-09-22",27
"2017-09-23",30
"2017-09-24",37
"2017-09-25",31
"2017-09-26",27
"2017-09-27",27
"2017-09-28",24
"2017-09-29",25
"2017-09-30",28
"2017-10-01",33
"2017-10-02",29
"2017-10-03",33
"2017-10-04",34
"2017-10-05",35
"2017-10-06",46
"2017-10-07",46
"2017-10-08",52
"2017-10-09",52
"2017-10-10",45
"2017-10-11",57
"2017-10-12",55
"2017-10-13",50
"2017-10-14",55
"2017-10-15",80
"2017-10-16",64
"2017-10-17",65
"2017-10-18",65
"2017-10-19",59
"2017-10-20",46
"2017-10-21",52
"2017-10-22",66
"2017-10-23",67
"2017-10-24",69
"2017-10-25",65
"2017-10-26",63
"2017-10-27",52
"2017-10-28",56
"2017-10-29",79
"2017-10-30",81
"2017-10-31",69
"2017-11-01",64
"2017-11-02",64
"2017-11-03",59
"2017-11-04",69
"2017-11-05",87
"2017-11-06",77
"2017-11-07",73
"2017-11-08",69
"2017-11-09",69
"2017-11-10",60
"2017-11-11",69
"2017-11-12",93
"2017-11-13",82
"2017-11-14",71
"2017-11-15",68
"2017-11-16",71
"2017-11-17",60
"2017-11-18",68
"2017-11-19",100
"2017-11-20",81
"2017-11-21",71
"2017-11-22",73
"2017-11-23",69
"2017-11-24",56
"2017-11-25",63
"2017-11-26",88
"2017-11-27",62
"2017-11-28",64
"2017-11-29",61
"2017-11-30",58
"2017-12-01",56
"2017-12-02",62
"2017-12-03",84
"2017-12-04",75
"2017-12-05",69
"2017-12-06",67
"2017-12-07",58
"2017-12-08",55
"2017-12-09",59
"2017-12-10",83
"2017-12-11",67
"2017-12-12",63
"2017-12-13",63
"2017-12-14",57
"2017-12-15",47
"2017-12-16",54
"2017-12-17",66
"2017-12-18",57
"2017-12-19",55
"2017-12-20",55
"2017-12-21",40
"2017-12-22",34
"2017-12-23",37
"2017-12-24",36
"2017-12-25",47
"2017-12-26",41
"2017-12-27",42
"2017-12-28",31
"2017-12-29",26
"2017-12-30",30
"2017-12-31",33
"2018-01-01",37
"2018-01-02",36
"2018-01-03",38
"2018-01-04",38
"2018-01-05",27
"2018-01-06",40
"2018-01-07",50
"2018-01-08",41
"2018-01-09",44
"2018-01-10",37
"2018-01-11",38
"2018-01-12",32
"2018-01-13",36
"2018-01-14",41
"2018-01-15",33
"2018-01-16",37
"2018-01-17",27
"2018-01-18",29
"2018-01-19",24
"2018-01-20",29
"2018-01-21",40
"2018-01-22",35
"2018-01-23",37
"2018-01-24",34
"2018-01-25",31
"2018-01-26",28
"2018-01-27",33
"2018-01-28",36
"2018-01-29",35
"2018-01-30",31
"2018-01-31",29
"2018-02-01",26
"2018-02-02",19
"2018-02-03",29
"2018-02-04",37
"2018-02-05",32
"2018-02-06",30
"2018-02-07",30
"2018-02-08",25
"2018-02-09",17
"2018-02-10",20
"2018-02-11",26
"2018-02-12",20
"2018-02-13",15
"2018-02-14",12
"2018-02-15",13
"2018-02-16",17
"2018-02-17",17
"2018-02-18",22
"2018-02-19",23
"2018-02-20",20
"2018-02-21",20
"2018-02-22",19
"2018-02-23",17
"2018-02-24",12
"2018-02-25",27
"2018-02-26",18
"2018-02-27",19
"2018-02-28",15
"2018-03-01",20
"2018-03-02",16
"2018-03-03",16
"2018-03-04",22
"2018-03-05",15
"2018-03-06",16
"2018-03-07",16
"2018-03-08",16
"2018-03-09",11
"2018-03-10",17
"2018-03-11",21
"2018-03-12",17
"2018-03-13",15
"2018-03-14",16
"2018-03-15",13
"2018-03-16",11
"2018-03-17",12
"2018-03-18",17
"2018-03-19",15
"2018-03-20",14
"2018-03-21",15
"2018-03-22",9
"2018-03-23",9
"2018-03-24",11
"2018-03-25",13
"2018-03-26",10
"2018-03-27",11
"2018-03-28",8
"2018-03-29",9
"2018-03-30",7
"2018-03-31",7
"2018-04-01",11
"2018-04-02",7
"2018-04-03",6
"2018-04-04",6
"2018-04-05",5
"2018-04-06",4
"2018-04-07",6
"2018-04-08",8
"2018-04-09",7
"2018-04-10",5
"2018-04-11",7
"2018-04-12",6
"2018-04-13",4
"2018-04-14",6
"2018-04-15",7
"2018-04-16",6
"2018-04-17",6
"2018-04-18",6
"2018-04-19",4
