네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","앙고라니트"
"2017-08-01",
"2017-08-02",
"2017-08-03",1
"2017-08-04",
"2017-08-05",
"2017-08-06",1
"2017-08-07",
"2017-08-08",
"2017-08-09",
"2017-08-10",
"2017-08-11",1
"2017-08-12",
"2017-08-13",1
"2017-08-14",1
"2017-08-15",1
"2017-08-16",1
"2017-08-17",1
"2017-08-18",
"2017-08-19",1
"2017-08-20",1
"2017-08-21",1
"2017-08-22",1
"2017-08-23",1
"2017-08-24",1
"2017-08-25",2
"2017-08-26",1
"2017-08-27",1
"2017-08-28",1
"2017-08-29",1
"2017-08-30",1
"2017-08-31",2
"2017-09-01",2
"2017-09-02",1
"2017-09-03",3
"2017-09-04",1
"2017-09-05",1
"2017-09-06",1
"2017-09-07",2
"2017-09-08",1
"2017-09-09",2
"2017-09-10",1
"2017-09-11",2
"2017-09-12",2
"2017-09-13",1
"2017-09-14",2
"2017-09-15",2
"2017-09-16",3
"2017-09-17",3
"2017-09-18",3
"2017-09-19",3
"2017-09-20",4
"2017-09-21",2
"2017-09-22",3
"2017-09-23",3
"2017-09-24",4
"2017-09-25",4
"2017-09-26",2
"2017-09-27",3
"2017-09-28",4
"2017-09-29",3
"2017-09-30",4
"2017-10-01",8
"2017-10-02",5
"2017-10-03",6
"2017-10-04",6
"2017-10-05",8
"2017-10-06",10
"2017-10-07",10
"2017-10-08",10
"2017-10-09",9
"2017-10-10",7
"2017-10-11",13
"2017-10-12",16
"2017-10-13",14
"2017-10-14",19
"2017-10-15",23
"2017-10-16",21
"2017-10-17",23
"2017-10-18",23
"2017-10-19",22
"2017-10-20",22
"2017-10-21",17
"2017-10-22",30
"2017-10-23",33
"2017-10-24",35
"2017-10-25",37
"2017-10-26",36
"2017-10-27",30
"2017-10-28",31
"2017-10-29",39
"2017-10-30",46
"2017-10-31",46
"2017-11-01",56
"2017-11-02",51
"2017-11-03",49
"2017-11-04",54
"2017-11-05",66
"2017-11-06",63
"2017-11-07",62
"2017-11-08",62
"2017-11-09",58
"2017-11-10",50
"2017-11-11",60
"2017-11-12",72
"2017-11-13",74
"2017-11-14",72
"2017-11-15",70
"2017-11-16",62
"2017-11-17",69
"2017-11-18",66
"2017-11-19",91
"2017-11-20",81
"2017-11-21",78
"2017-11-22",78
"2017-11-23",70
"2017-11-24",58
"2017-11-25",65
"2017-11-26",76
"2017-11-27",70
"2017-11-28",77
"2017-11-29",67
"2017-11-30",66
"2017-12-01",62
"2017-12-02",65
"2017-12-03",80
"2017-12-04",79
"2017-12-05",79
"2017-12-06",73
"2017-12-07",66
"2017-12-08",59
"2017-12-09",70
"2017-12-10",100
"2017-12-11",83
"2017-12-12",77
"2017-12-13",65
"2017-12-14",67
"2017-12-15",55
"2017-12-16",65
"2017-12-17",81
"2017-12-18",70
"2017-12-19",57
"2017-12-20",58
"2017-12-21",55
"2017-12-22",45
"2017-12-23",43
"2017-12-24",44
"2017-12-25",53
"2017-12-26",53
"2017-12-27",50
"2017-12-28",45
"2017-12-29",35
"2017-12-30",34
"2017-12-31",29
"2018-01-01",42
"2018-01-02",41
"2018-01-03",38
"2018-01-04",38
"2018-01-05",30
"2018-01-06",34
"2018-01-07",39
"2018-01-08",34
"2018-01-09",38
"2018-01-10",34
"2018-01-11",35
"2018-01-12",30
"2018-01-13",28
"2018-01-14",30
"2018-01-15",30
"2018-01-16",26
"2018-01-17",29
"2018-01-18",24
"2018-01-19",18
"2018-01-20",16
"2018-01-21",22
"2018-01-22",20
"2018-01-23",26
"2018-01-24",25
"2018-01-25",20
"2018-01-26",16
"2018-01-27",22
"2018-01-28",22
"2018-01-29",22
"2018-01-30",23
"2018-01-31",16
"2018-02-01",15
"2018-02-02",14
"2018-02-03",14
"2018-02-04",23
"2018-02-05",18
"2018-02-06",19
"2018-02-07",17
"2018-02-08",12
"2018-02-09",11
"2018-02-10",9
"2018-02-11",13
"2018-02-12",10
"2018-02-13",6
"2018-02-14",5
"2018-02-15",5
"2018-02-16",6
"2018-02-17",6
"2018-02-18",7
"2018-02-19",6
"2018-02-20",6
"2018-02-21",7
"2018-02-22",6
"2018-02-23",4
"2018-02-24",4
"2018-02-25",6
"2018-02-26",4
"2018-02-27",5
"2018-02-28",3
"2018-03-01",3
"2018-03-02",2
"2018-03-03",2
"2018-03-04",3
"2018-03-05",2
"2018-03-06",1
"2018-03-07",2
"2018-03-08",2
"2018-03-09",1
"2018-03-10",1
"2018-03-11",1
"2018-03-12",1
"2018-03-13",1
"2018-03-14",1
"2018-03-15",1
"2018-03-16",1
"2018-03-17",1
"2018-03-18",1
"2018-03-19",1
"2018-03-20",1
"2018-03-21",1
"2018-03-22",1
"2018-03-23",
"2018-03-24",1
"2018-03-25",1
"2018-03-26",1
"2018-03-27",
"2018-03-28",1
"2018-03-29",
"2018-03-30",1
"2018-03-31",
"2018-04-01",
"2018-04-02",
"2018-04-03",1
"2018-04-04",
"2018-04-05",
"2018-04-06",1
"2018-04-07",
"2018-04-08",1
"2018-04-09",
"2018-04-10",
"2018-04-11",
"2018-04-12",
"2018-04-13",
"2018-04-14",
"2018-04-15",
"2018-04-16",
"2018-04-17",
"2018-04-18",
"2018-04-19",
