네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","커튼"
"2017-08-01",36
"2017-08-02",36
"2017-08-03",33
"2017-08-04",34
"2017-08-05",37
"2017-08-06",41
"2017-08-07",41
"2017-08-08",45
"2017-08-09",36
"2017-08-10",37
"2017-08-11",27
"2017-08-12",30
"2017-08-13",39
"2017-08-14",44
"2017-08-15",43
"2017-08-16",36
"2017-08-17",34
"2017-08-18",32
"2017-08-19",30
"2017-08-20",45
"2017-08-21",40
"2017-08-22",35
"2017-08-23",36
"2017-08-24",34
"2017-08-25",32
"2017-08-26",32
"2017-08-27",47
"2017-08-28",46
"2017-08-29",41
"2017-08-30",40
"2017-08-31",41
"2017-09-01",32
"2017-09-02",39
"2017-09-03",44
"2017-09-04",46
"2017-09-05",38
"2017-09-06",37
"2017-09-07",33
"2017-09-08",33
"2017-09-09",32
"2017-09-10",42
"2017-09-11",41
"2017-09-12",44
"2017-09-13",39
"2017-09-14",38
"2017-09-15",28
"2017-09-16",34
"2017-09-17",46
"2017-09-18",44
"2017-09-19",40
"2017-09-20",41
"2017-09-21",41
"2017-09-22",34
"2017-09-23",36
"2017-09-24",40
"2017-09-25",47
"2017-09-26",40
"2017-09-27",31
"2017-09-28",27
"2017-09-29",23
"2017-09-30",25
"2017-10-01",36
"2017-10-02",33
"2017-10-03",32
"2017-10-04",33
"2017-10-05",35
"2017-10-06",44
"2017-10-07",46
"2017-10-08",52
"2017-10-09",63
"2017-10-10",45
"2017-10-11",52
"2017-10-12",50
"2017-10-13",45
"2017-10-14",52
"2017-10-15",63
"2017-10-16",60
"2017-10-17",54
"2017-10-18",55
"2017-10-19",53
"2017-10-20",46
"2017-10-21",43
"2017-10-22",67
"2017-10-23",63
"2017-10-24",62
"2017-10-25",57
"2017-10-26",58
"2017-10-27",51
"2017-10-28",53
"2017-10-29",73
"2017-10-30",81
"2017-10-31",70
"2017-11-01",65
"2017-11-02",69
"2017-11-03",56
"2017-11-04",58
"2017-11-05",79
"2017-11-06",81
"2017-11-07",69
"2017-11-08",64
"2017-11-09",64
"2017-11-10",53
"2017-11-11",61
"2017-11-12",73
"2017-11-13",82
"2017-11-14",71
"2017-11-15",72
"2017-11-16",75
"2017-11-17",64
"2017-11-18",80
"2017-11-19",100
"2017-11-20",99
"2017-11-21",97
"2017-11-22",87
"2017-11-23",76
"2017-11-24",65
"2017-11-25",69
"2017-11-26",88
"2017-11-27",86
"2017-11-28",79
"2017-11-29",69
"2017-11-30",62
"2017-12-01",63
"2017-12-02",53
"2017-12-03",65
"2017-12-04",70
"2017-12-05",72
"2017-12-06",67
"2017-12-07",66
"2017-12-08",53
"2017-12-09",57
"2017-12-10",72
"2017-12-11",79
"2017-12-12",78
"2017-12-13",72
"2017-12-14",71
"2017-12-15",60
"2017-12-16",59
"2017-12-17",75
"2017-12-18",75
"2017-12-19",61
"2017-12-20",64
"2017-12-21",53
"2017-12-22",49
"2017-12-23",47
"2017-12-24",45
"2017-12-25",68
"2017-12-26",70
"2017-12-27",58
"2017-12-28",61
"2017-12-29",48
"2017-12-30",47
"2017-12-31",53
"2018-01-01",65
"2018-01-02",63
"2018-01-03",66
"2018-01-04",63
"2018-01-05",54
"2018-01-06",65
"2018-01-07",79
"2018-01-08",75
"2018-01-09",68
"2018-01-10",70
"2018-01-11",68
"2018-01-12",60
"2018-01-13",60
"2018-01-14",74
"2018-01-15",69
"2018-01-16",67
"2018-01-17",67
"2018-01-18",56
"2018-01-19",54
"2018-01-20",63
"2018-01-21",75
"2018-01-22",82
"2018-01-23",72
"2018-01-24",85
"2018-01-25",67
"2018-01-26",62
"2018-01-27",80
"2018-01-28",89
"2018-01-29",82
"2018-01-30",79
"2018-01-31",67
"2018-02-01",65
"2018-02-02",54
"2018-02-03",61
"2018-02-04",82
"2018-02-05",80
"2018-02-06",77
"2018-02-07",67
"2018-02-08",58
"2018-02-09",45
"2018-02-10",48
"2018-02-11",67
"2018-02-12",52
"2018-02-13",46
"2018-02-14",33
"2018-02-15",34
"2018-02-16",39
"2018-02-17",52
"2018-02-18",70
"2018-02-19",71
"2018-02-20",59
"2018-02-21",64
"2018-02-22",60
"2018-02-23",50
"2018-02-24",60
"2018-02-25",82
"2018-02-26",83
"2018-02-27",67
"2018-02-28",66
"2018-03-01",76
"2018-03-02",63
"2018-03-03",60
"2018-03-04",79
"2018-03-05",71
"2018-03-06",62
"2018-03-07",61
"2018-03-08",58
"2018-03-09",43
"2018-03-10",55
"2018-03-11",77
"2018-03-12",65
"2018-03-13",62
"2018-03-14",55
"2018-03-15",53
"2018-03-16",45
"2018-03-17",55
"2018-03-18",75
"2018-03-19",66
"2018-03-20",62
"2018-03-21",58
"2018-03-22",53
"2018-03-23",47
"2018-03-24",50
"2018-03-25",67
"2018-03-26",66
"2018-03-27",58
"2018-03-28",61
"2018-03-29",59
"2018-03-30",49
"2018-03-31",44
"2018-04-01",62
"2018-04-02",55
"2018-04-03",53
"2018-04-04",54
"2018-04-05",56
"2018-04-06",46
"2018-04-07",48
"2018-04-08",66
"2018-04-09",63
"2018-04-10",60
"2018-04-11",47
"2018-04-12",52
"2018-04-13",42
"2018-04-14",44
"2018-04-15",59
"2018-04-16",60
"2018-04-17",50
"2018-04-18",59
"2018-04-19",48
