네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","1인용쇼파"
"2017-08-01",36
"2017-08-02",34
"2017-08-03",35
"2017-08-04",36
"2017-08-05",39
"2017-08-06",58
"2017-08-07",48
"2017-08-08",44
"2017-08-09",43
"2017-08-10",43
"2017-08-11",39
"2017-08-12",44
"2017-08-13",59
"2017-08-14",49
"2017-08-15",61
"2017-08-16",40
"2017-08-17",36
"2017-08-18",34
"2017-08-19",46
"2017-08-20",55
"2017-08-21",43
"2017-08-22",38
"2017-08-23",40
"2017-08-24",40
"2017-08-25",29
"2017-08-26",37
"2017-08-27",42
"2017-08-28",41
"2017-08-29",34
"2017-08-30",34
"2017-08-31",32
"2017-09-01",30
"2017-09-02",34
"2017-09-03",47
"2017-09-04",31
"2017-09-05",33
"2017-09-06",33
"2017-09-07",31
"2017-09-08",26
"2017-09-09",31
"2017-09-10",41
"2017-09-11",36
"2017-09-12",32
"2017-09-13",30
"2017-09-14",29
"2017-09-15",24
"2017-09-16",31
"2017-09-17",40
"2017-09-18",35
"2017-09-19",34
"2017-09-20",29
"2017-09-21",29
"2017-09-22",31
"2017-09-23",29
"2017-09-24",38
"2017-09-25",32
"2017-09-26",28
"2017-09-27",25
"2017-09-28",28
"2017-09-29",28
"2017-09-30",20
"2017-10-01",33
"2017-10-02",33
"2017-10-03",34
"2017-10-04",34
"2017-10-05",40
"2017-10-06",49
"2017-10-07",41
"2017-10-08",54
"2017-10-09",52
"2017-10-10",41
"2017-10-11",37
"2017-10-12",38
"2017-10-13",29
"2017-10-14",35
"2017-10-15",44
"2017-10-16",39
"2017-10-17",41
"2017-10-18",38
"2017-10-19",32
"2017-10-20",34
"2017-10-21",35
"2017-10-22",57
"2017-10-23",39
"2017-10-24",40
"2017-10-25",38
"2017-10-26",39
"2017-10-27",37
"2017-10-28",45
"2017-10-29",53
"2017-10-30",39
"2017-10-31",35
"2017-11-01",37
"2017-11-02",47
"2017-11-03",34
"2017-11-04",46
"2017-11-05",59
"2017-11-06",47
"2017-11-07",44
"2017-11-08",40
"2017-11-09",46
"2017-11-10",40
"2017-11-11",44
"2017-11-12",70
"2017-11-13",52
"2017-11-14",48
"2017-11-15",39
"2017-11-16",37
"2017-11-17",39
"2017-11-18",42
"2017-11-19",60
"2017-11-20",42
"2017-11-21",39
"2017-11-22",40
"2017-11-23",39
"2017-11-24",38
"2017-11-25",45
"2017-11-26",64
"2017-11-27",44
"2017-11-28",43
"2017-11-29",41
"2017-11-30",39
"2017-12-01",36
"2017-12-02",41
"2017-12-03",51
"2017-12-04",48
"2017-12-05",46
"2017-12-06",38
"2017-12-07",41
"2017-12-08",32
"2017-12-09",46
"2017-12-10",62
"2017-12-11",45
"2017-12-12",38
"2017-12-13",33
"2017-12-14",38
"2017-12-15",32
"2017-12-16",40
"2017-12-17",56
"2017-12-18",45
"2017-12-19",39
"2017-12-20",36
"2017-12-21",33
"2017-12-22",30
"2017-12-23",44
"2017-12-24",55
"2017-12-25",61
"2017-12-26",48
"2017-12-27",45
"2017-12-28",43
"2017-12-29",38
"2017-12-30",49
"2017-12-31",51
"2018-01-01",62
"2018-01-02",52
"2018-01-03",55
"2018-01-04",46
"2018-01-05",43
"2018-01-06",58
"2018-01-07",70
"2018-01-08",60
"2018-01-09",49
"2018-01-10",58
"2018-01-11",48
"2018-01-12",45
"2018-01-13",63
"2018-01-14",74
"2018-01-15",61
"2018-01-16",54
"2018-01-17",55
"2018-01-18",52
"2018-01-19",51
"2018-01-20",58
"2018-01-21",72
"2018-01-22",59
"2018-01-23",50
"2018-01-24",52
"2018-01-25",47
"2018-01-26",45
"2018-01-27",56
"2018-01-28",70
"2018-01-29",64
"2018-01-30",58
"2018-01-31",53
"2018-02-01",53
"2018-02-02",50
"2018-02-03",63
"2018-02-04",85
"2018-02-05",68
"2018-02-06",58
"2018-02-07",56
"2018-02-08",54
"2018-02-09",39
"2018-02-10",60
"2018-02-11",81
"2018-02-12",61
"2018-02-13",47
"2018-02-14",49
"2018-02-15",55
"2018-02-16",63
"2018-02-17",63
"2018-02-18",78
"2018-02-19",61
"2018-02-20",52
"2018-02-21",45
"2018-02-22",56
"2018-02-23",46
"2018-02-24",58
"2018-02-25",84
"2018-02-26",78
"2018-02-27",62
"2018-02-28",66
"2018-03-01",81
"2018-03-02",61
"2018-03-03",64
"2018-03-04",100
"2018-03-05",62
"2018-03-06",50
"2018-03-07",59
"2018-03-08",61
"2018-03-09",48
"2018-03-10",65
"2018-03-11",81
"2018-03-12",66
"2018-03-13",62
"2018-03-14",54
"2018-03-15",56
"2018-03-16",45
"2018-03-17",64
"2018-03-18",88
"2018-03-19",69
"2018-03-20",63
"2018-03-21",56
"2018-03-22",55
"2018-03-23",50
"2018-03-24",59
"2018-03-25",86
"2018-03-26",61
"2018-03-27",54
"2018-03-28",45
"2018-03-29",53
"2018-03-30",46
"2018-03-31",57
"2018-04-01",76
"2018-04-02",56
"2018-04-03",49
"2018-04-04",52
"2018-04-05",48
"2018-04-06",44
"2018-04-07",59
"2018-04-08",67
"2018-04-09",53
"2018-04-10",47
"2018-04-11",52
"2018-04-12",49
"2018-04-13",44
"2018-04-14",69
"2018-04-15",72
"2018-04-16",50
"2018-04-17",48
"2018-04-18",49
"2018-04-19",49
