네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","tv거실장"
"2017-08-01",40
"2017-08-02",48
"2017-08-03",35
"2017-08-04",29
"2017-08-05",34
"2017-08-06",49
"2017-08-07",37
"2017-08-08",37
"2017-08-09",38
"2017-08-10",34
"2017-08-11",34
"2017-08-12",44
"2017-08-13",56
"2017-08-14",38
"2017-08-15",58
"2017-08-16",44
"2017-08-17",48
"2017-08-18",34
"2017-08-19",32
"2017-08-20",48
"2017-08-21",40
"2017-08-22",37
"2017-08-23",31
"2017-08-24",43
"2017-08-25",26
"2017-08-26",43
"2017-08-27",43
"2017-08-28",36
"2017-08-29",37
"2017-08-30",36
"2017-08-31",39
"2017-09-01",25
"2017-09-02",36
"2017-09-03",53
"2017-09-04",43
"2017-09-05",38
"2017-09-06",33
"2017-09-07",33
"2017-09-08",31
"2017-09-09",37
"2017-09-10",51
"2017-09-11",39
"2017-09-12",42
"2017-09-13",31
"2017-09-14",28
"2017-09-15",20
"2017-09-16",29
"2017-09-17",48
"2017-09-18",49
"2017-09-19",40
"2017-09-20",37
"2017-09-21",29
"2017-09-22",27
"2017-09-23",33
"2017-09-24",37
"2017-09-25",32
"2017-09-26",32
"2017-09-27",31
"2017-09-28",20
"2017-09-29",20
"2017-09-30",21
"2017-10-01",27
"2017-10-02",27
"2017-10-03",22
"2017-10-04",23
"2017-10-05",36
"2017-10-06",27
"2017-10-07",38
"2017-10-08",45
"2017-10-09",52
"2017-10-10",38
"2017-10-11",32
"2017-10-12",37
"2017-10-13",26
"2017-10-14",32
"2017-10-15",37
"2017-10-16",37
"2017-10-17",33
"2017-10-18",41
"2017-10-19",25
"2017-10-20",30
"2017-10-21",39
"2017-10-22",46
"2017-10-23",46
"2017-10-24",43
"2017-10-25",39
"2017-10-26",49
"2017-10-27",37
"2017-10-28",50
"2017-10-29",57
"2017-10-30",42
"2017-10-31",51
"2017-11-01",44
"2017-11-02",45
"2017-11-03",56
"2017-11-04",49
"2017-11-05",56
"2017-11-06",57
"2017-11-07",54
"2017-11-08",48
"2017-11-09",43
"2017-11-10",45
"2017-11-11",44
"2017-11-12",62
"2017-11-13",49
"2017-11-14",50
"2017-11-15",43
"2017-11-16",43
"2017-11-17",38
"2017-11-18",49
"2017-11-19",57
"2017-11-20",63
"2017-11-21",55
"2017-11-22",44
"2017-11-23",44
"2017-11-24",38
"2017-11-25",45
"2017-11-26",67
"2017-11-27",57
"2017-11-28",63
"2017-11-29",56
"2017-11-30",42
"2017-12-01",40
"2017-12-02",45
"2017-12-03",67
"2017-12-04",63
"2017-12-05",50
"2017-12-06",47
"2017-12-07",44
"2017-12-08",47
"2017-12-09",54
"2017-12-10",67
"2017-12-11",60
"2017-12-12",52
"2017-12-13",40
"2017-12-14",40
"2017-12-15",34
"2017-12-16",40
"2017-12-17",61
"2017-12-18",50
"2017-12-19",50
"2017-12-20",41
"2017-12-21",37
"2017-12-22",33
"2017-12-23",43
"2017-12-24",45
"2017-12-25",65
"2017-12-26",47
"2017-12-27",45
"2017-12-28",45
"2017-12-29",55
"2017-12-30",42
"2017-12-31",58
"2018-01-01",67
"2018-01-02",62
"2018-01-03",49
"2018-01-04",42
"2018-01-05",37
"2018-01-06",53
"2018-01-07",79
"2018-01-08",64
"2018-01-09",53
"2018-01-10",48
"2018-01-11",47
"2018-01-12",41
"2018-01-13",58
"2018-01-14",75
"2018-01-15",57
"2018-01-16",45
"2018-01-17",56
"2018-01-18",52
"2018-01-19",39
"2018-01-20",62
"2018-01-21",81
"2018-01-22",57
"2018-01-23",52
"2018-01-24",47
"2018-01-25",48
"2018-01-26",34
"2018-01-27",51
"2018-01-28",73
"2018-01-29",67
"2018-01-30",54
"2018-01-31",55
"2018-02-01",60
"2018-02-02",53
"2018-02-03",68
"2018-02-04",96
"2018-02-05",83
"2018-02-06",77
"2018-02-07",65
"2018-02-08",55
"2018-02-09",46
"2018-02-10",64
"2018-02-11",93
"2018-02-12",58
"2018-02-13",54
"2018-02-14",50
"2018-02-15",62
"2018-02-16",49
"2018-02-17",65
"2018-02-18",74
"2018-02-19",71
"2018-02-20",57
"2018-02-21",51
"2018-02-22",50
"2018-02-23",44
"2018-02-24",59
"2018-02-25",77
"2018-02-26",69
"2018-02-27",58
"2018-02-28",60
"2018-03-01",100
"2018-03-02",66
"2018-03-03",77
"2018-03-04",99
"2018-03-05",78
"2018-03-06",63
"2018-03-07",57
"2018-03-08",73
"2018-03-09",50
"2018-03-10",73
"2018-03-11",90
"2018-03-12",83
"2018-03-13",66
"2018-03-14",57
"2018-03-15",63
"2018-03-16",61
"2018-03-17",64
"2018-03-18",90
"2018-03-19",78
"2018-03-20",57
"2018-03-21",60
"2018-03-22",57
"2018-03-23",50
"2018-03-24",72
"2018-03-25",91
"2018-03-26",80
"2018-03-27",60
"2018-03-28",51
"2018-03-29",51
"2018-03-30",45
"2018-03-31",64
"2018-04-01",73
"2018-04-02",70
"2018-04-03",59
"2018-04-04",59
"2018-04-05",68
"2018-04-06",60
"2018-04-07",59
"2018-04-08",93
"2018-04-09",73
"2018-04-10",62
"2018-04-11",57
"2018-04-12",54
"2018-04-13",53
"2018-04-14",73
"2018-04-15",93
"2018-04-16",71
"2018-04-17",60
"2018-04-18",63
"2018-04-19",46
