네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","컴퓨터의자"
"2017-08-01",58
"2017-08-02",55
"2017-08-03",57
"2017-08-04",50
"2017-08-05",44
"2017-08-06",52
"2017-08-07",63
"2017-08-08",68
"2017-08-09",62
"2017-08-10",56
"2017-08-11",47
"2017-08-12",40
"2017-08-13",48
"2017-08-14",54
"2017-08-15",62
"2017-08-16",64
"2017-08-17",90
"2017-08-18",57
"2017-08-19",61
"2017-08-20",76
"2017-08-21",79
"2017-08-22",84
"2017-08-23",66
"2017-08-24",70
"2017-08-25",57
"2017-08-26",57
"2017-08-27",70
"2017-08-28",78
"2017-08-29",72
"2017-08-30",70
"2017-08-31",68
"2017-09-01",46
"2017-09-02",41
"2017-09-03",56
"2017-09-04",60
"2017-09-05",54
"2017-09-06",57
"2017-09-07",50
"2017-09-08",50
"2017-09-09",43
"2017-09-10",56
"2017-09-11",62
"2017-09-12",51
"2017-09-13",55
"2017-09-14",48
"2017-09-15",37
"2017-09-16",38
"2017-09-17",49
"2017-09-18",53
"2017-09-19",55
"2017-09-20",50
"2017-09-21",45
"2017-09-22",31
"2017-09-23",31
"2017-09-24",44
"2017-09-25",50
"2017-09-26",47
"2017-09-27",42
"2017-09-28",30
"2017-09-29",26
"2017-09-30",24
"2017-10-01",39
"2017-10-02",35
"2017-10-03",30
"2017-10-04",32
"2017-10-05",38
"2017-10-06",45
"2017-10-07",44
"2017-10-08",54
"2017-10-09",67
"2017-10-10",75
"2017-10-11",66
"2017-10-12",53
"2017-10-13",41
"2017-10-14",46
"2017-10-15",57
"2017-10-16",67
"2017-10-17",65
"2017-10-18",61
"2017-10-19",46
"2017-10-20",43
"2017-10-21",34
"2017-10-22",56
"2017-10-23",61
"2017-10-24",51
"2017-10-25",53
"2017-10-26",45
"2017-10-27",41
"2017-10-28",37
"2017-10-29",53
"2017-10-30",63
"2017-10-31",58
"2017-11-01",65
"2017-11-02",58
"2017-11-03",47
"2017-11-04",38
"2017-11-05",58
"2017-11-06",66
"2017-11-07",54
"2017-11-08",49
"2017-11-09",50
"2017-11-10",47
"2017-11-11",38
"2017-11-12",56
"2017-11-13",64
"2017-11-14",61
"2017-11-15",51
"2017-11-16",55
"2017-11-17",41
"2017-11-18",36
"2017-11-19",54
"2017-11-20",65
"2017-11-21",61
"2017-11-22",52
"2017-11-23",57
"2017-11-24",43
"2017-11-25",45
"2017-11-26",52
"2017-11-27",62
"2017-11-28",67
"2017-11-29",60
"2017-11-30",55
"2017-12-01",45
"2017-12-02",52
"2017-12-03",60
"2017-12-04",65
"2017-12-05",68
"2017-12-06",60
"2017-12-07",48
"2017-12-08",46
"2017-12-09",46
"2017-12-10",56
"2017-12-11",61
"2017-12-12",58
"2017-12-13",53
"2017-12-14",48
"2017-12-15",43
"2017-12-16",39
"2017-12-17",62
"2017-12-18",61
"2017-12-19",65
"2017-12-20",60
"2017-12-21",45
"2017-12-22",44
"2017-12-23",37
"2017-12-24",45
"2017-12-25",50
"2017-12-26",66
"2017-12-27",57
"2017-12-28",53
"2017-12-29",46
"2017-12-30",41
"2017-12-31",53
"2018-01-01",66
"2018-01-02",75
"2018-01-03",67
"2018-01-04",61
"2018-01-05",56
"2018-01-06",52
"2018-01-07",64
"2018-01-08",75
"2018-01-09",70
"2018-01-10",73
"2018-01-11",70
"2018-01-12",48
"2018-01-13",48
"2018-01-14",73
"2018-01-15",67
"2018-01-16",73
"2018-01-17",66
"2018-01-18",67
"2018-01-19",51
"2018-01-20",52
"2018-01-21",71
"2018-01-22",82
"2018-01-23",76
"2018-01-24",64
"2018-01-25",53
"2018-01-26",48
"2018-01-27",54
"2018-01-28",61
"2018-01-29",79
"2018-01-30",71
"2018-01-31",66
"2018-02-01",83
"2018-02-02",77
"2018-02-03",66
"2018-02-04",86
"2018-02-05",100
"2018-02-06",94
"2018-02-07",80
"2018-02-08",81
"2018-02-09",58
"2018-02-10",57
"2018-02-11",77
"2018-02-12",79
"2018-02-13",66
"2018-02-14",54
"2018-02-15",68
"2018-02-16",66
"2018-02-17",78
"2018-02-18",85
"2018-02-19",98
"2018-02-20",83
"2018-02-21",87
"2018-02-22",80
"2018-02-23",73
"2018-02-24",69
"2018-02-25",88
"2018-02-26",90
"2018-02-27",87
"2018-02-28",87
"2018-03-01",81
"2018-03-02",82
"2018-03-03",66
"2018-03-04",92
"2018-03-05",93
"2018-03-06",76
"2018-03-07",74
"2018-03-08",89
"2018-03-09",62
"2018-03-10",59
"2018-03-11",83
"2018-03-12",75
"2018-03-13",54
"2018-03-14",81
"2018-03-15",68
"2018-03-16",58
"2018-03-17",50
"2018-03-18",79
"2018-03-19",92
"2018-03-20",79
"2018-03-21",74
"2018-03-22",64
"2018-03-23",55
"2018-03-24",53
"2018-03-25",68
"2018-03-26",77
"2018-03-27",69
"2018-03-28",65
"2018-03-29",57
"2018-03-30",44
"2018-03-31",52
"2018-04-01",70
"2018-04-02",89
"2018-04-03",75
"2018-04-04",68
"2018-04-05",74
"2018-04-06",60
"2018-04-07",56
"2018-04-08",78
"2018-04-09",81
"2018-04-10",71
"2018-04-11",70
"2018-04-12",68
"2018-04-13",52
"2018-04-14",63
"2018-04-15",81
"2018-04-16",77
"2018-04-17",67
"2018-04-18",58
"2018-04-19",52
