네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","쇼파베드"
"2017-08-01",36
"2017-08-02",40
"2017-08-03",40
"2017-08-04",33
"2017-08-05",44
"2017-08-06",46
"2017-08-07",49
"2017-08-08",44
"2017-08-09",39
"2017-08-10",49
"2017-08-11",45
"2017-08-12",43
"2017-08-13",58
"2017-08-14",52
"2017-08-15",59
"2017-08-16",47
"2017-08-17",44
"2017-08-18",34
"2017-08-19",36
"2017-08-20",59
"2017-08-21",47
"2017-08-22",51
"2017-08-23",39
"2017-08-24",48
"2017-08-25",35
"2017-08-26",36
"2017-08-27",53
"2017-08-28",47
"2017-08-29",44
"2017-08-30",47
"2017-08-31",41
"2017-09-01",40
"2017-09-02",38
"2017-09-03",52
"2017-09-04",49
"2017-09-05",50
"2017-09-06",45
"2017-09-07",43
"2017-09-08",38
"2017-09-09",43
"2017-09-10",58
"2017-09-11",53
"2017-09-12",39
"2017-09-13",39
"2017-09-14",40
"2017-09-15",33
"2017-09-16",31
"2017-09-17",40
"2017-09-18",42
"2017-09-19",44
"2017-09-20",42
"2017-09-21",31
"2017-09-22",31
"2017-09-23",29
"2017-09-24",46
"2017-09-25",39
"2017-09-26",37
"2017-09-27",45
"2017-09-28",34
"2017-09-29",27
"2017-09-30",31
"2017-10-01",34
"2017-10-02",33
"2017-10-03",31
"2017-10-04",31
"2017-10-05",34
"2017-10-06",40
"2017-10-07",39
"2017-10-08",49
"2017-10-09",54
"2017-10-10",47
"2017-10-11",40
"2017-10-12",35
"2017-10-13",29
"2017-10-14",37
"2017-10-15",49
"2017-10-16",47
"2017-10-17",43
"2017-10-18",44
"2017-10-19",41
"2017-10-20",36
"2017-10-21",33
"2017-10-22",45
"2017-10-23",45
"2017-10-24",40
"2017-10-25",37
"2017-10-26",47
"2017-10-27",35
"2017-10-28",38
"2017-10-29",50
"2017-10-30",51
"2017-10-31",41
"2017-11-01",49
"2017-11-02",55
"2017-11-03",50
"2017-11-04",48
"2017-11-05",66
"2017-11-06",54
"2017-11-07",56
"2017-11-08",56
"2017-11-09",59
"2017-11-10",48
"2017-11-11",44
"2017-11-12",70
"2017-11-13",65
"2017-11-14",66
"2017-11-15",47
"2017-11-16",37
"2017-11-17",37
"2017-11-18",41
"2017-11-19",51
"2017-11-20",46
"2017-11-21",47
"2017-11-22",44
"2017-11-23",36
"2017-11-24",34
"2017-11-25",34
"2017-11-26",46
"2017-11-27",56
"2017-11-28",43
"2017-11-29",40
"2017-11-30",36
"2017-12-01",34
"2017-12-02",43
"2017-12-03",67
"2017-12-04",51
"2017-12-05",56
"2017-12-06",41
"2017-12-07",39
"2017-12-08",41
"2017-12-09",43
"2017-12-10",60
"2017-12-11",47
"2017-12-12",54
"2017-12-13",46
"2017-12-14",46
"2017-12-15",38
"2017-12-16",36
"2017-12-17",47
"2017-12-18",42
"2017-12-19",46
"2017-12-20",37
"2017-12-21",31
"2017-12-22",35
"2017-12-23",38
"2017-12-24",47
"2017-12-25",50
"2017-12-26",49
"2017-12-27",44
"2017-12-28",39
"2017-12-29",35
"2017-12-30",39
"2017-12-31",41
"2018-01-01",60
"2018-01-02",43
"2018-01-03",35
"2018-01-04",42
"2018-01-05",40
"2018-01-06",41
"2018-01-07",57
"2018-01-08",50
"2018-01-09",50
"2018-01-10",52
"2018-01-11",48
"2018-01-12",47
"2018-01-13",56
"2018-01-14",71
"2018-01-15",66
"2018-01-16",45
"2018-01-17",40
"2018-01-18",42
"2018-01-19",40
"2018-01-20",50
"2018-01-21",53
"2018-01-22",60
"2018-01-23",52
"2018-01-24",55
"2018-01-25",47
"2018-01-26",54
"2018-01-27",49
"2018-01-28",54
"2018-01-29",53
"2018-01-30",44
"2018-01-31",47
"2018-02-01",48
"2018-02-02",46
"2018-02-03",54
"2018-02-04",77
"2018-02-05",62
"2018-02-06",66
"2018-02-07",56
"2018-02-08",60
"2018-02-09",45
"2018-02-10",47
"2018-02-11",74
"2018-02-12",56
"2018-02-13",52
"2018-02-14",44
"2018-02-15",49
"2018-02-16",49
"2018-02-17",57
"2018-02-18",60
"2018-02-19",63
"2018-02-20",61
"2018-02-21",51
"2018-02-22",54
"2018-02-23",52
"2018-02-24",54
"2018-02-25",65
"2018-02-26",63
"2018-02-27",67
"2018-02-28",56
"2018-03-01",90
"2018-03-02",81
"2018-03-03",72
"2018-03-04",100
"2018-03-05",88
"2018-03-06",62
"2018-03-07",67
"2018-03-08",80
"2018-03-09",64
"2018-03-10",70
"2018-03-11",96
"2018-03-12",84
"2018-03-13",77
"2018-03-14",61
"2018-03-15",67
"2018-03-16",49
"2018-03-17",47
"2018-03-18",60
"2018-03-19",54
"2018-03-20",47
"2018-03-21",59
"2018-03-22",46
"2018-03-23",40
"2018-03-24",50
"2018-03-25",61
"2018-03-26",56
"2018-03-27",54
"2018-03-28",51
"2018-03-29",43
"2018-03-30",37
"2018-03-31",43
"2018-04-01",63
"2018-04-02",59
"2018-04-03",51
"2018-04-04",47
"2018-04-05",49
"2018-04-06",50
"2018-04-07",54
"2018-04-08",68
"2018-04-09",54
"2018-04-10",56
"2018-04-11",53
"2018-04-12",50
"2018-04-13",48
"2018-04-14",56
"2018-04-15",76
"2018-04-16",59
"2018-04-17",44
"2018-04-18",42
"2018-04-19",40
