네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","소파"
"2017-08-01",45
"2017-08-02",39
"2017-08-03",44
"2017-08-04",40
"2017-08-05",47
"2017-08-06",60
"2017-08-07",51
"2017-08-08",42
"2017-08-09",42
"2017-08-10",42
"2017-08-11",37
"2017-08-12",38
"2017-08-13",60
"2017-08-14",48
"2017-08-15",66
"2017-08-16",48
"2017-08-17",43
"2017-08-18",37
"2017-08-19",48
"2017-08-20",60
"2017-08-21",54
"2017-08-22",51
"2017-08-23",48
"2017-08-24",49
"2017-08-25",34
"2017-08-26",47
"2017-08-27",51
"2017-08-28",47
"2017-08-29",45
"2017-08-30",39
"2017-08-31",41
"2017-09-01",36
"2017-09-02",41
"2017-09-03",54
"2017-09-04",46
"2017-09-05",35
"2017-09-06",36
"2017-09-07",40
"2017-09-08",29
"2017-09-09",38
"2017-09-10",60
"2017-09-11",50
"2017-09-12",40
"2017-09-13",36
"2017-09-14",33
"2017-09-15",31
"2017-09-16",38
"2017-09-17",57
"2017-09-18",43
"2017-09-19",39
"2017-09-20",36
"2017-09-21",30
"2017-09-22",33
"2017-09-23",37
"2017-09-24",50
"2017-09-25",40
"2017-09-26",38
"2017-09-27",34
"2017-09-28",38
"2017-09-29",26
"2017-09-30",32
"2017-10-01",47
"2017-10-02",41
"2017-10-03",44
"2017-10-04",42
"2017-10-05",46
"2017-10-06",47
"2017-10-07",47
"2017-10-08",51
"2017-10-09",58
"2017-10-10",46
"2017-10-11",43
"2017-10-12",41
"2017-10-13",32
"2017-10-14",37
"2017-10-15",57
"2017-10-16",47
"2017-10-17",44
"2017-10-18",43
"2017-10-19",43
"2017-10-20",43
"2017-10-21",42
"2017-10-22",56
"2017-10-23",51
"2017-10-24",50
"2017-10-25",38
"2017-10-26",52
"2017-10-27",41
"2017-10-28",47
"2017-10-29",61
"2017-10-30",56
"2017-10-31",48
"2017-11-01",45
"2017-11-02",43
"2017-11-03",39
"2017-11-04",48
"2017-11-05",57
"2017-11-06",53
"2017-11-07",50
"2017-11-08",48
"2017-11-09",46
"2017-11-10",42
"2017-11-11",47
"2017-11-12",66
"2017-11-13",55
"2017-11-14",40
"2017-11-15",40
"2017-11-16",43
"2017-11-17",41
"2017-11-18",48
"2017-11-19",68
"2017-11-20",51
"2017-11-21",51
"2017-11-22",50
"2017-11-23",43
"2017-11-24",38
"2017-11-25",42
"2017-11-26",67
"2017-11-27",50
"2017-11-28",47
"2017-11-29",52
"2017-11-30",41
"2017-12-01",39
"2017-12-02",46
"2017-12-03",65
"2017-12-04",51
"2017-12-05",47
"2017-12-06",49
"2017-12-07",41
"2017-12-08",36
"2017-12-09",39
"2017-12-10",57
"2017-12-11",55
"2017-12-12",47
"2017-12-13",44
"2017-12-14",38
"2017-12-15",38
"2017-12-16",49
"2017-12-17",54
"2017-12-18",53
"2017-12-19",39
"2017-12-20",37
"2017-12-21",41
"2017-12-22",37
"2017-12-23",47
"2017-12-24",57
"2017-12-25",67
"2017-12-26",57
"2017-12-27",55
"2017-12-28",48
"2017-12-29",44
"2017-12-30",53
"2017-12-31",63
"2018-01-01",66
"2018-01-02",61
"2018-01-03",55
"2018-01-04",53
"2018-01-05",42
"2018-01-06",55
"2018-01-07",70
"2018-01-08",59
"2018-01-09",61
"2018-01-10",50
"2018-01-11",54
"2018-01-12",54
"2018-01-13",62
"2018-01-14",82
"2018-01-15",56
"2018-01-16",58
"2018-01-17",55
"2018-01-18",51
"2018-01-19",53
"2018-01-20",64
"2018-01-21",79
"2018-01-22",74
"2018-01-23",62
"2018-01-24",63
"2018-01-25",58
"2018-01-26",54
"2018-01-27",67
"2018-01-28",78
"2018-01-29",66
"2018-01-30",58
"2018-01-31",59
"2018-02-01",57
"2018-02-02",50
"2018-02-03",57
"2018-02-04",84
"2018-02-05",67
"2018-02-06",65
"2018-02-07",60
"2018-02-08",50
"2018-02-09",47
"2018-02-10",56
"2018-02-11",75
"2018-02-12",62
"2018-02-13",52
"2018-02-14",44
"2018-02-15",41
"2018-02-16",50
"2018-02-17",61
"2018-02-18",64
"2018-02-19",61
"2018-02-20",48
"2018-02-21",53
"2018-02-22",55
"2018-02-23",53
"2018-02-24",66
"2018-02-25",75
"2018-02-26",65
"2018-02-27",62
"2018-02-28",58
"2018-03-01",75
"2018-03-02",62
"2018-03-03",72
"2018-03-04",100
"2018-03-05",64
"2018-03-06",56
"2018-03-07",56
"2018-03-08",54
"2018-03-09",42
"2018-03-10",63
"2018-03-11",76
"2018-03-12",64
"2018-03-13",54
"2018-03-14",50
"2018-03-15",53
"2018-03-16",47
"2018-03-17",60
"2018-03-18",74
"2018-03-19",60
"2018-03-20",57
"2018-03-21",66
"2018-03-22",48
"2018-03-23",46
"2018-03-24",69
"2018-03-25",80
"2018-03-26",60
"2018-03-27",56
"2018-03-28",47
"2018-03-29",53
"2018-03-30",45
"2018-03-31",58
"2018-04-01",78
"2018-04-02",65
"2018-04-03",52
"2018-04-04",54
"2018-04-05",47
"2018-04-06",47
"2018-04-07",58
"2018-04-08",77
"2018-04-09",63
"2018-04-10",55
"2018-04-11",53
"2018-04-12",50
"2018-04-13",47
"2018-04-14",63
"2018-04-15",75
"2018-04-16",60
"2018-04-17",55
"2018-04-18",52
"2018-04-19",60
