네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","행거"
"2017-08-01",24
"2017-08-02",26
"2017-08-03",22
"2017-08-04",18
"2017-08-05",19
"2017-08-06",24
"2017-08-07",26
"2017-08-08",21
"2017-08-09",23
"2017-08-10",23
"2017-08-11",19
"2017-08-12",21
"2017-08-13",29
"2017-08-14",24
"2017-08-15",32
"2017-08-16",29
"2017-08-17",29
"2017-08-18",26
"2017-08-19",27
"2017-08-20",36
"2017-08-21",36
"2017-08-22",33
"2017-08-23",29
"2017-08-24",28
"2017-08-25",24
"2017-08-26",26
"2017-08-27",36
"2017-08-28",30
"2017-08-29",32
"2017-08-30",34
"2017-08-31",31
"2017-09-01",27
"2017-09-02",28
"2017-09-03",41
"2017-09-04",34
"2017-09-05",35
"2017-09-06",31
"2017-09-07",29
"2017-09-08",24
"2017-09-09",29
"2017-09-10",40
"2017-09-11",37
"2017-09-12",30
"2017-09-13",30
"2017-09-14",28
"2017-09-15",23
"2017-09-16",27
"2017-09-17",40
"2017-09-18",38
"2017-09-19",34
"2017-09-20",31
"2017-09-21",29
"2017-09-22",29
"2017-09-23",27
"2017-09-24",36
"2017-09-25",38
"2017-09-26",34
"2017-09-27",28
"2017-09-28",23
"2017-09-29",20
"2017-09-30",23
"2017-10-01",30
"2017-10-02",26
"2017-10-03",24
"2017-10-04",26
"2017-10-05",33
"2017-10-06",40
"2017-10-07",42
"2017-10-08",49
"2017-10-09",61
"2017-10-10",52
"2017-10-11",46
"2017-10-12",43
"2017-10-13",36
"2017-10-14",40
"2017-10-15",60
"2017-10-16",53
"2017-10-17",49
"2017-10-18",49
"2017-10-19",40
"2017-10-20",39
"2017-10-21",40
"2017-10-22",59
"2017-10-23",54
"2017-10-24",48
"2017-10-25",46
"2017-10-26",41
"2017-10-27",38
"2017-10-28",43
"2017-10-29",67
"2017-10-30",70
"2017-10-31",55
"2017-11-01",57
"2017-11-02",52
"2017-11-03",45
"2017-11-04",50
"2017-11-05",70
"2017-11-06",68
"2017-11-07",57
"2017-11-08",55
"2017-11-09",52
"2017-11-10",42
"2017-11-11",47
"2017-11-12",72
"2017-11-13",64
"2017-11-14",57
"2017-11-15",58
"2017-11-16",56
"2017-11-17",45
"2017-11-18",47
"2017-11-19",69
"2017-11-20",65
"2017-11-21",60
"2017-11-22",52
"2017-11-23",49
"2017-11-24",40
"2017-11-25",46
"2017-11-26",64
"2017-11-27",61
"2017-11-28",57
"2017-11-29",50
"2017-11-30",47
"2017-12-01",44
"2017-12-02",44
"2017-12-03",74
"2017-12-04",69
"2017-12-05",60
"2017-12-06",57
"2017-12-07",49
"2017-12-08",44
"2017-12-09",45
"2017-12-10",66
"2017-12-11",60
"2017-12-12",53
"2017-12-13",50
"2017-12-14",48
"2017-12-15",38
"2017-12-16",41
"2017-12-17",64
"2017-12-18",52
"2017-12-19",47
"2017-12-20",45
"2017-12-21",40
"2017-12-22",29
"2017-12-23",36
"2017-12-24",43
"2017-12-25",59
"2017-12-26",55
"2017-12-27",50
"2017-12-28",46
"2017-12-29",41
"2017-12-30",41
"2017-12-31",45
"2018-01-01",55
"2018-01-02",61
"2018-01-03",62
"2018-01-04",58
"2018-01-05",47
"2018-01-06",49
"2018-01-07",66
"2018-01-08",60
"2018-01-09",59
"2018-01-10",52
"2018-01-11",47
"2018-01-12",43
"2018-01-13",41
"2018-01-14",63
"2018-01-15",58
"2018-01-16",53
"2018-01-17",51
"2018-01-18",50
"2018-01-19",46
"2018-01-20",50
"2018-01-21",70
"2018-01-22",65
"2018-01-23",61
"2018-01-24",57
"2018-01-25",50
"2018-01-26",45
"2018-01-27",50
"2018-01-28",71
"2018-01-29",61
"2018-01-30",54
"2018-01-31",53
"2018-02-01",52
"2018-02-02",41
"2018-02-03",45
"2018-02-04",64
"2018-02-05",58
"2018-02-06",51
"2018-02-07",50
"2018-02-08",42
"2018-02-09",36
"2018-02-10",39
"2018-02-11",56
"2018-02-12",44
"2018-02-13",37
"2018-02-14",35
"2018-02-15",39
"2018-02-16",43
"2018-02-17",58
"2018-02-18",84
"2018-02-19",80
"2018-02-20",73
"2018-02-21",65
"2018-02-22",70
"2018-02-23",57
"2018-02-24",68
"2018-02-25",100
"2018-02-26",88
"2018-02-27",86
"2018-02-28",71
"2018-03-01",95
"2018-03-02",69
"2018-03-03",78
"2018-03-04",100
"2018-03-05",91
"2018-03-06",67
"2018-03-07",66
"2018-03-08",60
"2018-03-09",51
"2018-03-10",53
"2018-03-11",84
"2018-03-12",72
"2018-03-13",65
"2018-03-14",56
"2018-03-15",54
"2018-03-16",49
"2018-03-17",57
"2018-03-18",77
"2018-03-19",67
"2018-03-20",59
"2018-03-21",56
"2018-03-22",48
"2018-03-23",43
"2018-03-24",49
"2018-03-25",70
"2018-03-26",64
"2018-03-27",55
"2018-03-28",54
"2018-03-29",47
"2018-03-30",42
"2018-03-31",48
"2018-04-01",78
"2018-04-02",66
"2018-04-03",55
"2018-04-04",51
"2018-04-05",52
"2018-04-06",43
"2018-04-07",49
"2018-04-08",69
"2018-04-09",59
"2018-04-10",52
"2018-04-11",46
"2018-04-12",44
"2018-04-13",38
"2018-04-14",46
"2018-04-15",60
"2018-04-16",48
"2018-04-17",51
"2018-04-18",43
"2018-04-19",39
