네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","서랍장"
"2017-08-01",39
"2017-08-02",37
"2017-08-03",33
"2017-08-04",33
"2017-08-05",31
"2017-08-06",44
"2017-08-07",40
"2017-08-08",37
"2017-08-09",39
"2017-08-10",37
"2017-08-11",36
"2017-08-12",32
"2017-08-13",47
"2017-08-14",45
"2017-08-15",56
"2017-08-16",45
"2017-08-17",39
"2017-08-18",35
"2017-08-19",37
"2017-08-20",53
"2017-08-21",43
"2017-08-22",44
"2017-08-23",44
"2017-08-24",37
"2017-08-25",32
"2017-08-26",33
"2017-08-27",48
"2017-08-28",40
"2017-08-29",41
"2017-08-30",41
"2017-08-31",42
"2017-09-01",34
"2017-09-02",42
"2017-09-03",56
"2017-09-04",48
"2017-09-05",46
"2017-09-06",43
"2017-09-07",37
"2017-09-08",32
"2017-09-09",40
"2017-09-10",52
"2017-09-11",49
"2017-09-12",41
"2017-09-13",37
"2017-09-14",38
"2017-09-15",35
"2017-09-16",34
"2017-09-17",53
"2017-09-18",47
"2017-09-19",43
"2017-09-20",39
"2017-09-21",35
"2017-09-22",35
"2017-09-23",35
"2017-09-24",48
"2017-09-25",45
"2017-09-26",39
"2017-09-27",44
"2017-09-28",33
"2017-09-29",25
"2017-09-30",33
"2017-10-01",41
"2017-10-02",36
"2017-10-03",30
"2017-10-04",30
"2017-10-05",41
"2017-10-06",45
"2017-10-07",50
"2017-10-08",56
"2017-10-09",70
"2017-10-10",51
"2017-10-11",45
"2017-10-12",45
"2017-10-13",39
"2017-10-14",42
"2017-10-15",65
"2017-10-16",59
"2017-10-17",51
"2017-10-18",52
"2017-10-19",47
"2017-10-20",40
"2017-10-21",53
"2017-10-22",66
"2017-10-23",59
"2017-10-24",51
"2017-10-25",50
"2017-10-26",52
"2017-10-27",46
"2017-10-28",50
"2017-10-29",70
"2017-10-30",67
"2017-10-31",52
"2017-11-01",60
"2017-11-02",62
"2017-11-03",52
"2017-11-04",57
"2017-11-05",73
"2017-11-06",75
"2017-11-07",71
"2017-11-08",62
"2017-11-09",60
"2017-11-10",47
"2017-11-11",49
"2017-11-12",77
"2017-11-13",68
"2017-11-14",62
"2017-11-15",53
"2017-11-16",55
"2017-11-17",48
"2017-11-18",53
"2017-11-19",71
"2017-11-20",69
"2017-11-21",55
"2017-11-22",54
"2017-11-23",49
"2017-11-24",48
"2017-11-25",54
"2017-11-26",73
"2017-11-27",67
"2017-11-28",57
"2017-11-29",55
"2017-11-30",51
"2017-12-01",43
"2017-12-02",51
"2017-12-03",70
"2017-12-04",62
"2017-12-05",56
"2017-12-06",52
"2017-12-07",57
"2017-12-08",42
"2017-12-09",52
"2017-12-10",66
"2017-12-11",58
"2017-12-12",51
"2017-12-13",44
"2017-12-14",46
"2017-12-15",40
"2017-12-16",44
"2017-12-17",61
"2017-12-18",59
"2017-12-19",53
"2017-12-20",47
"2017-12-21",40
"2017-12-22",35
"2017-12-23",40
"2017-12-24",50
"2017-12-25",62
"2017-12-26",53
"2017-12-27",52
"2017-12-28",50
"2017-12-29",45
"2017-12-30",49
"2017-12-31",54
"2018-01-01",66
"2018-01-02",71
"2018-01-03",57
"2018-01-04",53
"2018-01-05",49
"2018-01-06",61
"2018-01-07",78
"2018-01-08",65
"2018-01-09",63
"2018-01-10",56
"2018-01-11",55
"2018-01-12",47
"2018-01-13",50
"2018-01-14",75
"2018-01-15",58
"2018-01-16",63
"2018-01-17",57
"2018-01-18",52
"2018-01-19",46
"2018-01-20",52
"2018-01-21",70
"2018-01-22",67
"2018-01-23",60
"2018-01-24",57
"2018-01-25",53
"2018-01-26",46
"2018-01-27",63
"2018-01-28",78
"2018-01-29",65
"2018-01-30",60
"2018-01-31",57
"2018-02-01",47
"2018-02-02",42
"2018-02-03",54
"2018-02-04",67
"2018-02-05",56
"2018-02-06",56
"2018-02-07",50
"2018-02-08",46
"2018-02-09",36
"2018-02-10",44
"2018-02-11",60
"2018-02-12",48
"2018-02-13",39
"2018-02-14",37
"2018-02-15",39
"2018-02-16",43
"2018-02-17",58
"2018-02-18",83
"2018-02-19",74
"2018-02-20",61
"2018-02-21",64
"2018-02-22",67
"2018-02-23",56
"2018-02-24",64
"2018-02-25",86
"2018-02-26",85
"2018-02-27",76
"2018-02-28",67
"2018-03-01",86
"2018-03-02",68
"2018-03-03",85
"2018-03-04",100
"2018-03-05",81
"2018-03-06",67
"2018-03-07",67
"2018-03-08",64
"2018-03-09",55
"2018-03-10",62
"2018-03-11",85
"2018-03-12",73
"2018-03-13",65
"2018-03-14",61
"2018-03-15",60
"2018-03-16",50
"2018-03-17",59
"2018-03-18",83
"2018-03-19",76
"2018-03-20",63
"2018-03-21",62
"2018-03-22",53
"2018-03-23",46
"2018-03-24",57
"2018-03-25",74
"2018-03-26",65
"2018-03-27",62
"2018-03-28",56
"2018-03-29",56
"2018-03-30",44
"2018-03-31",54
"2018-04-01",79
"2018-04-02",70
"2018-04-03",59
"2018-04-04",54
"2018-04-05",55
"2018-04-06",49
"2018-04-07",58
"2018-04-08",72
"2018-04-09",64
"2018-04-10",59
"2018-04-11",53
"2018-04-12",47
"2018-04-13",47
"2018-04-14",51
"2018-04-15",68
"2018-04-16",61
"2018-04-17",52
"2018-04-18",52
"2018-04-19",46
