네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","무드등"
"2017-08-01",28
"2017-08-02",27
"2017-08-03",27
"2017-08-04",24
"2017-08-05",20
"2017-08-06",27
"2017-08-07",29
"2017-08-08",27
"2017-08-09",26
"2017-08-10",28
"2017-08-11",25
"2017-08-12",20
"2017-08-13",24
"2017-08-14",32
"2017-08-15",32
"2017-08-16",32
"2017-08-17",25
"2017-08-18",25
"2017-08-19",25
"2017-08-20",32
"2017-08-21",33
"2017-08-22",31
"2017-08-23",34
"2017-08-24",30
"2017-08-25",22
"2017-08-26",25
"2017-08-27",32
"2017-08-28",30
"2017-08-29",32
"2017-08-30",25
"2017-08-31",27
"2017-09-01",23
"2017-09-02",24
"2017-09-03",31
"2017-09-04",27
"2017-09-05",30
"2017-09-06",28
"2017-09-07",27
"2017-09-08",20
"2017-09-09",21
"2017-09-10",29
"2017-09-11",35
"2017-09-12",29
"2017-09-13",29
"2017-09-14",24
"2017-09-15",22
"2017-09-16",25
"2017-09-17",32
"2017-09-18",36
"2017-09-19",30
"2017-09-20",27
"2017-09-21",28
"2017-09-22",28
"2017-09-23",23
"2017-09-24",31
"2017-09-25",34
"2017-09-26",29
"2017-09-27",24
"2017-09-28",23
"2017-09-29",20
"2017-09-30",19
"2017-10-01",25
"2017-10-02",24
"2017-10-03",22
"2017-10-04",22
"2017-10-05",25
"2017-10-06",26
"2017-10-07",27
"2017-10-08",32
"2017-10-09",36
"2017-10-10",37
"2017-10-11",38
"2017-10-12",37
"2017-10-13",37
"2017-10-14",34
"2017-10-15",42
"2017-10-16",46
"2017-10-17",44
"2017-10-18",39
"2017-10-19",32
"2017-10-20",31
"2017-10-21",33
"2017-10-22",41
"2017-10-23",44
"2017-10-24",37
"2017-10-25",41
"2017-10-26",36
"2017-10-27",34
"2017-10-28",28
"2017-10-29",47
"2017-10-30",48
"2017-10-31",39
"2017-11-01",42
"2017-11-02",44
"2017-11-03",39
"2017-11-04",37
"2017-11-05",47
"2017-11-06",53
"2017-11-07",56
"2017-11-08",48
"2017-11-09",49
"2017-11-10",42
"2017-11-11",42
"2017-11-12",51
"2017-11-13",60
"2017-11-14",52
"2017-11-15",46
"2017-11-16",45
"2017-11-17",41
"2017-11-18",33
"2017-11-19",49
"2017-11-20",60
"2017-11-21",52
"2017-11-22",49
"2017-11-23",51
"2017-11-24",35
"2017-11-25",40
"2017-11-26",45
"2017-11-27",54
"2017-11-28",53
"2017-11-29",44
"2017-11-30",42
"2017-12-01",38
"2017-12-02",41
"2017-12-03",60
"2017-12-04",81
"2017-12-05",67
"2017-12-06",66
"2017-12-07",60
"2017-12-08",54
"2017-12-09",61
"2017-12-10",72
"2017-12-11",76
"2017-12-12",83
"2017-12-13",86
"2017-12-14",72
"2017-12-15",65
"2017-12-16",63
"2017-12-17",98
"2017-12-18",100
"2017-12-19",95
"2017-12-20",90
"2017-12-21",79
"2017-12-22",57
"2017-12-23",57
"2017-12-24",70
"2017-12-25",73
"2017-12-26",70
"2017-12-27",57
"2017-12-28",47
"2017-12-29",42
"2017-12-30",43
"2017-12-31",48
"2018-01-01",60
"2018-01-02",64
"2018-01-03",69
"2018-01-04",59
"2018-01-05",51
"2018-01-06",55
"2018-01-07",64
"2018-01-08",64
"2018-01-09",62
"2018-01-10",63
"2018-01-11",58
"2018-01-12",50
"2018-01-13",50
"2018-01-14",62
"2018-01-15",62
"2018-01-16",61
"2018-01-17",53
"2018-01-18",52
"2018-01-19",49
"2018-01-20",47
"2018-01-21",61
"2018-01-22",64
"2018-01-23",69
"2018-01-24",61
"2018-01-25",57
"2018-01-26",48
"2018-01-27",52
"2018-01-28",66
"2018-01-29",68
"2018-01-30",65
"2018-01-31",55
"2018-02-01",59
"2018-02-02",51
"2018-02-03",51
"2018-02-04",63
"2018-02-05",66
"2018-02-06",61
"2018-02-07",55
"2018-02-08",54
"2018-02-09",47
"2018-02-10",42
"2018-02-11",57
"2018-02-12",50
"2018-02-13",48
"2018-02-14",45
"2018-02-15",42
"2018-02-16",43
"2018-02-17",43
"2018-02-18",58
"2018-02-19",72
"2018-02-20",68
"2018-02-21",64
"2018-02-22",57
"2018-02-23",52
"2018-02-24",47
"2018-02-25",77
"2018-02-26",74
"2018-02-27",78
"2018-02-28",68
"2018-03-01",81
"2018-03-02",59
"2018-03-03",54
"2018-03-04",71
"2018-03-05",66
"2018-03-06",61
"2018-03-07",57
"2018-03-08",52
"2018-03-09",47
"2018-03-10",51
"2018-03-11",63
"2018-03-12",65
"2018-03-13",54
"2018-03-14",45
"2018-03-15",45
"2018-03-16",37
"2018-03-17",42
"2018-03-18",61
"2018-03-19",56
"2018-03-20",48
"2018-03-21",49
"2018-03-22",43
"2018-03-23",39
"2018-03-24",43
"2018-03-25",46
"2018-03-26",44
"2018-03-27",42
"2018-03-28",36
"2018-03-29",35
"2018-03-30",27
"2018-03-31",35
"2018-04-01",48
"2018-04-02",38
"2018-04-03",41
"2018-04-04",43
"2018-04-05",33
"2018-04-06",36
"2018-04-07",32
"2018-04-08",49
"2018-04-09",45
"2018-04-10",40
"2018-04-11",36
"2018-04-12",38
"2018-04-13",33
"2018-04-14",36
"2018-04-15",46
"2018-04-16",49
"2018-04-17",45
"2018-04-18",41
"2018-04-19",33
