네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","게이밍의자"
"2017-08-01",21
"2017-08-02",19
"2017-08-03",20
"2017-08-04",25
"2017-08-05",16
"2017-08-06",20
"2017-08-07",24
"2017-08-08",24
"2017-08-09",20
"2017-08-10",17
"2017-08-11",21
"2017-08-12",18
"2017-08-13",27
"2017-08-14",23
"2017-08-15",22
"2017-08-16",24
"2017-08-17",30
"2017-08-18",23
"2017-08-19",22
"2017-08-20",25
"2017-08-21",23
"2017-08-22",25
"2017-08-23",20
"2017-08-24",19
"2017-08-25",24
"2017-08-26",20
"2017-08-27",22
"2017-08-28",22
"2017-08-29",23
"2017-08-30",20
"2017-08-31",22
"2017-09-01",20
"2017-09-02",23
"2017-09-03",26
"2017-09-04",24
"2017-09-05",22
"2017-09-06",24
"2017-09-07",25
"2017-09-08",23
"2017-09-09",20
"2017-09-10",27
"2017-09-11",29
"2017-09-12",20
"2017-09-13",30
"2017-09-14",25
"2017-09-15",20
"2017-09-16",22
"2017-09-17",25
"2017-09-18",27
"2017-09-19",24
"2017-09-20",24
"2017-09-21",22
"2017-09-22",20
"2017-09-23",18
"2017-09-24",26
"2017-09-25",27
"2017-09-26",24
"2017-09-27",33
"2017-09-28",26
"2017-09-29",19
"2017-09-30",22
"2017-10-01",29
"2017-10-02",25
"2017-10-03",30
"2017-10-04",35
"2017-10-05",36
"2017-10-06",35
"2017-10-07",31
"2017-10-08",41
"2017-10-09",42
"2017-10-10",64
"2017-10-11",44
"2017-10-12",40
"2017-10-13",33
"2017-10-14",32
"2017-10-15",42
"2017-10-16",41
"2017-10-17",53
"2017-10-18",41
"2017-10-19",36
"2017-10-20",31
"2017-10-21",27
"2017-10-22",37
"2017-10-23",40
"2017-10-24",40
"2017-10-25",37
"2017-10-26",33
"2017-10-27",32
"2017-10-28",31
"2017-10-29",39
"2017-10-30",42
"2017-10-31",39
"2017-11-01",37
"2017-11-02",37
"2017-11-03",30
"2017-11-04",30
"2017-11-05",37
"2017-11-06",35
"2017-11-07",34
"2017-11-08",34
"2017-11-09",29
"2017-11-10",30
"2017-11-11",31
"2017-11-12",36
"2017-11-13",34
"2017-11-14",32
"2017-11-15",34
"2017-11-16",31
"2017-11-17",26
"2017-11-18",28
"2017-11-19",32
"2017-11-20",31
"2017-11-21",29
"2017-11-22",31
"2017-11-23",30
"2017-11-24",28
"2017-11-25",28
"2017-11-26",35
"2017-11-27",40
"2017-11-28",36
"2017-11-29",44
"2017-11-30",30
"2017-12-01",36
"2017-12-02",33
"2017-12-03",48
"2017-12-04",47
"2017-12-05",45
"2017-12-06",42
"2017-12-07",38
"2017-12-08",36
"2017-12-09",38
"2017-12-10",51
"2017-12-11",46
"2017-12-12",47
"2017-12-13",44
"2017-12-14",40
"2017-12-15",34
"2017-12-16",34
"2017-12-17",41
"2017-12-18",40
"2017-12-19",42
"2017-12-20",39
"2017-12-21",39
"2017-12-22",31
"2017-12-23",34
"2017-12-24",40
"2017-12-25",47
"2017-12-26",49
"2017-12-27",40
"2017-12-28",39
"2017-12-29",37
"2017-12-30",38
"2017-12-31",41
"2018-01-01",50
"2018-01-02",54
"2018-01-03",46
"2018-01-04",48
"2018-01-05",41
"2018-01-06",45
"2018-01-07",54
"2018-01-08",61
"2018-01-09",59
"2018-01-10",58
"2018-01-11",52
"2018-01-12",48
"2018-01-13",49
"2018-01-14",78
"2018-01-15",90
"2018-01-16",82
"2018-01-17",76
"2018-01-18",62
"2018-01-19",68
"2018-01-20",56
"2018-01-21",82
"2018-01-22",74
"2018-01-23",71
"2018-01-24",67
"2018-01-25",58
"2018-01-26",54
"2018-01-27",49
"2018-01-28",69
"2018-01-29",70
"2018-01-30",68
"2018-01-31",64
"2018-02-01",61
"2018-02-02",54
"2018-02-03",51
"2018-02-04",61
"2018-02-05",69
"2018-02-06",63
"2018-02-07",60
"2018-02-08",55
"2018-02-09",46
"2018-02-10",42
"2018-02-11",50
"2018-02-12",66
"2018-02-13",56
"2018-02-14",48
"2018-02-15",53
"2018-02-16",80
"2018-02-17",89
"2018-02-18",82
"2018-02-19",100
"2018-02-20",90
"2018-02-21",93
"2018-02-22",84
"2018-02-23",75
"2018-02-24",65
"2018-02-25",66
"2018-02-26",77
"2018-02-27",80
"2018-02-28",70
"2018-03-01",72
"2018-03-02",74
"2018-03-03",57
"2018-03-04",78
"2018-03-05",89
"2018-03-06",69
"2018-03-07",69
"2018-03-08",85
"2018-03-09",68
"2018-03-10",57
"2018-03-11",68
"2018-03-12",76
"2018-03-13",71
"2018-03-14",68
"2018-03-15",60
"2018-03-16",58
"2018-03-17",58
"2018-03-18",65
"2018-03-19",83
"2018-03-20",72
"2018-03-21",66
"2018-03-22",61
"2018-03-23",50
"2018-03-24",54
"2018-03-25",67
"2018-03-26",68
"2018-03-27",56
"2018-03-28",61
"2018-03-29",61
"2018-03-30",51
"2018-03-31",44
"2018-04-01",63
"2018-04-02",57
"2018-04-03",58
"2018-04-04",66
"2018-04-05",63
"2018-04-06",65
"2018-04-07",53
"2018-04-08",70
"2018-04-09",67
"2018-04-10",69
"2018-04-11",67
"2018-04-12",54
"2018-04-13",48
"2018-04-14",59
"2018-04-15",68
"2018-04-16",68
"2018-04-17",70
"2018-04-18",74
"2018-04-19",60
