네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","에어컨커버"
"2017-08-01",5
"2017-08-02",5
"2017-08-03",7
"2017-08-04",4
"2017-08-05",5
"2017-08-06",5
"2017-08-07",8
"2017-08-08",7
"2017-08-09",9
"2017-08-10",12
"2017-08-11",11
"2017-08-12",19
"2017-08-13",35
"2017-08-14",30
"2017-08-15",54
"2017-08-16",43
"2017-08-17",37
"2017-08-18",30
"2017-08-19",30
"2017-08-20",43
"2017-08-21",34
"2017-08-22",48
"2017-08-23",38
"2017-08-24",24
"2017-08-25",20
"2017-08-26",30
"2017-08-27",58
"2017-08-28",57
"2017-08-29",79
"2017-08-30",74
"2017-08-31",92
"2017-09-01",72
"2017-09-02",64
"2017-09-03",91
"2017-09-04",81
"2017-09-05",76
"2017-09-06",76
"2017-09-07",72
"2017-09-08",51
"2017-09-09",55
"2017-09-10",62
"2017-09-11",64
"2017-09-12",63
"2017-09-13",57
"2017-09-14",58
"2017-09-15",44
"2017-09-16",55
"2017-09-17",73
"2017-09-18",74
"2017-09-19",59
"2017-09-20",52
"2017-09-21",48
"2017-09-22",43
"2017-09-23",40
"2017-09-24",54
"2017-09-25",53
"2017-09-26",52
"2017-09-27",45
"2017-09-28",44
"2017-09-29",34
"2017-09-30",32
"2017-10-01",46
"2017-10-02",42
"2017-10-03",33
"2017-10-04",39
"2017-10-05",51
"2017-10-06",66
"2017-10-07",56
"2017-10-08",75
"2017-10-09",93
"2017-10-10",75
"2017-10-11",64
"2017-10-12",100
"2017-10-13",54
"2017-10-14",50
"2017-10-15",68
"2017-10-16",79
"2017-10-17",65
"2017-10-18",60
"2017-10-19",57
"2017-10-20",49
"2017-10-21",50
"2017-10-22",58
"2017-10-23",65
"2017-10-24",55
"2017-10-25",56
"2017-10-26",55
"2017-10-27",43
"2017-10-28",43
"2017-10-29",57
"2017-10-30",54
"2017-10-31",48
"2017-11-01",46
"2017-11-02",42
"2017-11-03",39
"2017-11-04",37
"2017-11-05",47
"2017-11-06",45
"2017-11-07",45
"2017-11-08",46
"2017-11-09",41
"2017-11-10",36
"2017-11-11",35
"2017-11-12",48
"2017-11-13",50
"2017-11-14",41
"2017-11-15",34
"2017-11-16",39
"2017-11-17",31
"2017-11-18",43
"2017-11-19",46
"2017-11-20",49
"2017-11-21",47
"2017-11-22",36
"2017-11-23",36
"2017-11-24",34
"2017-11-25",34
"2017-11-26",45
"2017-11-27",48
"2017-11-28",41
"2017-11-29",43
"2017-11-30",38
"2017-12-01",28
"2017-12-02",34
"2017-12-03",41
"2017-12-04",44
"2017-12-05",43
"2017-12-06",34
"2017-12-07",35
"2017-12-08",29
"2017-12-09",25
"2017-12-10",36
"2017-12-11",35
"2017-12-12",39
"2017-12-13",31
"2017-12-14",28
"2017-12-15",23
"2017-12-16",27
"2017-12-17",31
"2017-12-18",30
"2017-12-19",26
"2017-12-20",25
"2017-12-21",23
"2017-12-22",17
"2017-12-23",21
"2017-12-24",23
"2017-12-25",32
"2017-12-26",26
"2017-12-27",35
"2017-12-28",23
"2017-12-29",23
"2017-12-30",27
"2017-12-31",22
"2018-01-01",28
"2018-01-02",28
"2018-01-03",28
"2018-01-04",33
"2018-01-05",20
"2018-01-06",22
"2018-01-07",30
"2018-01-08",26
"2018-01-09",28
"2018-01-10",28
"2018-01-11",28
"2018-01-12",24
"2018-01-13",18
"2018-01-14",24
"2018-01-15",30
"2018-01-16",24
"2018-01-17",20
"2018-01-18",23
"2018-01-19",20
"2018-01-20",24
"2018-01-21",26
"2018-01-22",26
"2018-01-23",26
"2018-01-24",27
"2018-01-25",20
"2018-01-26",16
"2018-01-27",20
"2018-01-28",26
"2018-01-29",23
"2018-01-30",21
"2018-01-31",24
"2018-02-01",20
"2018-02-02",17
"2018-02-03",19
"2018-02-04",25
"2018-02-05",22
"2018-02-06",18
"2018-02-07",20
"2018-02-08",16
"2018-02-09",12
"2018-02-10",16
"2018-02-11",19
"2018-02-12",16
"2018-02-13",14
"2018-02-14",11
"2018-02-15",14
"2018-02-16",14
"2018-02-17",16
"2018-02-18",22
"2018-02-19",21
"2018-02-20",20
"2018-02-21",19
"2018-02-22",19
"2018-02-23",16
"2018-02-24",20
"2018-02-25",20
"2018-02-26",23
"2018-02-27",20
"2018-02-28",18
"2018-03-01",21
"2018-03-02",18
"2018-03-03",18
"2018-03-04",23
"2018-03-05",20
"2018-03-06",18
"2018-03-07",17
"2018-03-08",19
"2018-03-09",15
"2018-03-10",19
"2018-03-11",20
"2018-03-12",18
"2018-03-13",18
"2018-03-14",17
"2018-03-15",17
"2018-03-16",15
"2018-03-17",19
"2018-03-18",19
"2018-03-19",19
"2018-03-20",20
"2018-03-21",16
"2018-03-22",16
"2018-03-23",13
"2018-03-24",16
"2018-03-25",25
"2018-03-26",19
"2018-03-27",20
"2018-03-28",19
"2018-03-29",15
"2018-03-30",14
"2018-03-31",15
"2018-04-01",21
"2018-04-02",14
"2018-04-03",18
"2018-04-04",17
"2018-04-05",15
"2018-04-06",15
"2018-04-07",17
"2018-04-08",18
"2018-04-09",17
"2018-04-10",19
"2018-04-11",20
"2018-04-12",15
"2018-04-13",16
"2018-04-14",18
"2018-04-15",19
"2018-04-16",20
"2018-04-17",16
"2018-04-18",13
"2018-04-19",17
