네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","퀸침대"
"2017-08-01",44
"2017-08-02",39
"2017-08-03",37
"2017-08-04",32
"2017-08-05",33
"2017-08-06",39
"2017-08-07",43
"2017-08-08",35
"2017-08-09",39
"2017-08-10",36
"2017-08-11",37
"2017-08-12",35
"2017-08-13",39
"2017-08-14",43
"2017-08-15",45
"2017-08-16",49
"2017-08-17",41
"2017-08-18",37
"2017-08-19",41
"2017-08-20",58
"2017-08-21",54
"2017-08-22",45
"2017-08-23",43
"2017-08-24",40
"2017-08-25",33
"2017-08-26",39
"2017-08-27",45
"2017-08-28",51
"2017-08-29",41
"2017-08-30",41
"2017-08-31",39
"2017-09-01",45
"2017-09-02",48
"2017-09-03",67
"2017-09-04",56
"2017-09-05",65
"2017-09-06",55
"2017-09-07",59
"2017-09-08",52
"2017-09-09",53
"2017-09-10",64
"2017-09-11",73
"2017-09-12",56
"2017-09-13",56
"2017-09-14",51
"2017-09-15",35
"2017-09-16",43
"2017-09-17",57
"2017-09-18",55
"2017-09-19",52
"2017-09-20",52
"2017-09-21",50
"2017-09-22",44
"2017-09-23",42
"2017-09-24",55
"2017-09-25",51
"2017-09-26",44
"2017-09-27",36
"2017-09-28",31
"2017-09-29",30
"2017-09-30",33
"2017-10-01",36
"2017-10-02",34
"2017-10-03",27
"2017-10-04",37
"2017-10-05",38
"2017-10-06",42
"2017-10-07",47
"2017-10-08",50
"2017-10-09",58
"2017-10-10",52
"2017-10-11",40
"2017-10-12",37
"2017-10-13",32
"2017-10-14",35
"2017-10-15",48
"2017-10-16",44
"2017-10-17",38
"2017-10-18",37
"2017-10-19",40
"2017-10-20",37
"2017-10-21",39
"2017-10-22",55
"2017-10-23",50
"2017-10-24",41
"2017-10-25",40
"2017-10-26",38
"2017-10-27",33
"2017-10-28",39
"2017-10-29",51
"2017-10-30",51
"2017-10-31",41
"2017-11-01",41
"2017-11-02",43
"2017-11-03",40
"2017-11-04",42
"2017-11-05",50
"2017-11-06",57
"2017-11-07",46
"2017-11-08",46
"2017-11-09",37
"2017-11-10",37
"2017-11-11",40
"2017-11-12",57
"2017-11-13",58
"2017-11-14",40
"2017-11-15",35
"2017-11-16",44
"2017-11-17",48
"2017-11-18",52
"2017-11-19",70
"2017-11-20",66
"2017-11-21",57
"2017-11-22",54
"2017-11-23",48
"2017-11-24",41
"2017-11-25",41
"2017-11-26",64
"2017-11-27",55
"2017-11-28",56
"2017-11-29",43
"2017-11-30",50
"2017-12-01",41
"2017-12-02",62
"2017-12-03",73
"2017-12-04",68
"2017-12-05",52
"2017-12-06",50
"2017-12-07",46
"2017-12-08",50
"2017-12-09",62
"2017-12-10",76
"2017-12-11",72
"2017-12-12",63
"2017-12-13",45
"2017-12-14",46
"2017-12-15",46
"2017-12-16",59
"2017-12-17",73
"2017-12-18",64
"2017-12-19",63
"2017-12-20",61
"2017-12-21",52
"2017-12-22",49
"2017-12-23",53
"2017-12-24",67
"2017-12-25",68
"2017-12-26",73
"2017-12-27",66
"2017-12-28",55
"2017-12-29",60
"2017-12-30",63
"2017-12-31",61
"2018-01-01",86
"2018-01-02",79
"2018-01-03",81
"2018-01-04",67
"2018-01-05",64
"2018-01-06",69
"2018-01-07",92
"2018-01-08",78
"2018-01-09",74
"2018-01-10",80
"2018-01-11",66
"2018-01-12",58
"2018-01-13",76
"2018-01-14",100
"2018-01-15",75
"2018-01-16",64
"2018-01-17",51
"2018-01-18",60
"2018-01-19",50
"2018-01-20",64
"2018-01-21",70
"2018-01-22",70
"2018-01-23",59
"2018-01-24",54
"2018-01-25",62
"2018-01-26",43
"2018-01-27",52
"2018-01-28",82
"2018-01-29",65
"2018-01-30",48
"2018-01-31",45
"2018-02-01",43
"2018-02-02",44
"2018-02-03",45
"2018-02-04",65
"2018-02-05",61
"2018-02-06",47
"2018-02-07",40
"2018-02-08",45
"2018-02-09",42
"2018-02-10",44
"2018-02-11",56
"2018-02-12",42
"2018-02-13",39
"2018-02-14",40
"2018-02-15",36
"2018-02-16",55
"2018-02-17",66
"2018-02-18",79
"2018-02-19",71
"2018-02-20",59
"2018-02-21",66
"2018-02-22",55
"2018-02-23",49
"2018-02-24",59
"2018-02-25",88
"2018-02-26",71
"2018-02-27",62
"2018-02-28",56
"2018-03-01",82
"2018-03-02",69
"2018-03-03",80
"2018-03-04",95
"2018-03-05",82
"2018-03-06",72
"2018-03-07",65
"2018-03-08",63
"2018-03-09",59
"2018-03-10",62
"2018-03-11",87
"2018-03-12",80
"2018-03-13",64
"2018-03-14",59
"2018-03-15",73
"2018-03-16",54
"2018-03-17",49
"2018-03-18",70
"2018-03-19",61
"2018-03-20",59
"2018-03-21",59
"2018-03-22",51
"2018-03-23",42
"2018-03-24",51
"2018-03-25",65
"2018-03-26",54
"2018-03-27",46
"2018-03-28",54
"2018-03-29",41
"2018-03-30",46
"2018-03-31",58
"2018-04-01",74
"2018-04-02",66
"2018-04-03",57
"2018-04-04",59
"2018-04-05",58
"2018-04-06",49
"2018-04-07",59
"2018-04-08",84
"2018-04-09",71
"2018-04-10",73
"2018-04-11",60
"2018-04-12",60
"2018-04-13",63
"2018-04-14",66
"2018-04-15",87
"2018-04-16",56
"2018-04-17",51
"2018-04-18",39
"2018-04-19",39
