네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","좌식의자"
"2017-08-01",38
"2017-08-02",40
"2017-08-03",33
"2017-08-04",34
"2017-08-05",33
"2017-08-06",45
"2017-08-07",40
"2017-08-08",40
"2017-08-09",41
"2017-08-10",40
"2017-08-11",34
"2017-08-12",35
"2017-08-13",51
"2017-08-14",43
"2017-08-15",52
"2017-08-16",44
"2017-08-17",40
"2017-08-18",30
"2017-08-19",41
"2017-08-20",55
"2017-08-21",52
"2017-08-22",45
"2017-08-23",41
"2017-08-24",41
"2017-08-25",41
"2017-08-26",37
"2017-08-27",49
"2017-08-28",44
"2017-08-29",42
"2017-08-30",42
"2017-08-31",42
"2017-09-01",30
"2017-09-02",33
"2017-09-03",49
"2017-09-04",44
"2017-09-05",46
"2017-09-06",37
"2017-09-07",44
"2017-09-08",33
"2017-09-09",36
"2017-09-10",50
"2017-09-11",47
"2017-09-12",45
"2017-09-13",48
"2017-09-14",34
"2017-09-15",33
"2017-09-16",35
"2017-09-17",51
"2017-09-18",39
"2017-09-19",40
"2017-09-20",32
"2017-09-21",33
"2017-09-22",28
"2017-09-23",29
"2017-09-24",39
"2017-09-25",33
"2017-09-26",38
"2017-09-27",29
"2017-09-28",24
"2017-09-29",20
"2017-09-30",23
"2017-10-01",31
"2017-10-02",29
"2017-10-03",32
"2017-10-04",36
"2017-10-05",41
"2017-10-06",44
"2017-10-07",40
"2017-10-08",46
"2017-10-09",63
"2017-10-10",53
"2017-10-11",53
"2017-10-12",46
"2017-10-13",38
"2017-10-14",40
"2017-10-15",50
"2017-10-16",56
"2017-10-17",39
"2017-10-18",45
"2017-10-19",41
"2017-10-20",30
"2017-10-21",37
"2017-10-22",47
"2017-10-23",56
"2017-10-24",46
"2017-10-25",44
"2017-10-26",39
"2017-10-27",33
"2017-10-28",35
"2017-10-29",53
"2017-10-30",52
"2017-10-31",43
"2017-11-01",39
"2017-11-02",45
"2017-11-03",37
"2017-11-04",42
"2017-11-05",63
"2017-11-06",52
"2017-11-07",41
"2017-11-08",45
"2017-11-09",42
"2017-11-10",33
"2017-11-11",37
"2017-11-12",58
"2017-11-13",53
"2017-11-14",45
"2017-11-15",43
"2017-11-16",42
"2017-11-17",35
"2017-11-18",38
"2017-11-19",48
"2017-11-20",55
"2017-11-21",49
"2017-11-22",45
"2017-11-23",38
"2017-11-24",35
"2017-11-25",41
"2017-11-26",61
"2017-11-27",50
"2017-11-28",47
"2017-11-29",48
"2017-11-30",42
"2017-12-01",42
"2017-12-02",49
"2017-12-03",63
"2017-12-04",53
"2017-12-05",52
"2017-12-06",50
"2017-12-07",42
"2017-12-08",40
"2017-12-09",48
"2017-12-10",62
"2017-12-11",60
"2017-12-12",54
"2017-12-13",51
"2017-12-14",46
"2017-12-15",34
"2017-12-16",39
"2017-12-17",53
"2017-12-18",50
"2017-12-19",49
"2017-12-20",45
"2017-12-21",44
"2017-12-22",38
"2017-12-23",39
"2017-12-24",47
"2017-12-25",59
"2017-12-26",49
"2017-12-27",43
"2017-12-28",46
"2017-12-29",38
"2017-12-30",48
"2017-12-31",52
"2018-01-01",75
"2018-01-02",60
"2018-01-03",64
"2018-01-04",56
"2018-01-05",48
"2018-01-06",53
"2018-01-07",73
"2018-01-08",74
"2018-01-09",61
"2018-01-10",57
"2018-01-11",57
"2018-01-12",55
"2018-01-13",56
"2018-01-14",78
"2018-01-15",67
"2018-01-16",68
"2018-01-17",58
"2018-01-18",61
"2018-01-19",54
"2018-01-20",56
"2018-01-21",80
"2018-01-22",76
"2018-01-23",63
"2018-01-24",60
"2018-01-25",57
"2018-01-26",55
"2018-01-27",61
"2018-01-28",63
"2018-01-29",78
"2018-01-30",63
"2018-01-31",60
"2018-02-01",55
"2018-02-02",53
"2018-02-03",46
"2018-02-04",74
"2018-02-05",71
"2018-02-06",69
"2018-02-07",60
"2018-02-08",56
"2018-02-09",51
"2018-02-10",51
"2018-02-11",61
"2018-02-12",60
"2018-02-13",48
"2018-02-14",37
"2018-02-15",50
"2018-02-16",63
"2018-02-17",65
"2018-02-18",85
"2018-02-19",91
"2018-02-20",76
"2018-02-21",69
"2018-02-22",68
"2018-02-23",51
"2018-02-24",61
"2018-02-25",80
"2018-02-26",80
"2018-02-27",70
"2018-02-28",67
"2018-03-01",93
"2018-03-02",69
"2018-03-03",77
"2018-03-04",100
"2018-03-05",80
"2018-03-06",75
"2018-03-07",77
"2018-03-08",72
"2018-03-09",58
"2018-03-10",62
"2018-03-11",86
"2018-03-12",85
"2018-03-13",74
"2018-03-14",60
"2018-03-15",62
"2018-03-16",48
"2018-03-17",54
"2018-03-18",79
"2018-03-19",83
"2018-03-20",63
"2018-03-21",69
"2018-03-22",58
"2018-03-23",50
"2018-03-24",61
"2018-03-25",79
"2018-03-26",72
"2018-03-27",54
"2018-03-28",53
"2018-03-29",55
"2018-03-30",48
"2018-03-31",57
"2018-04-01",80
"2018-04-02",72
"2018-04-03",60
"2018-04-04",56
"2018-04-05",57
"2018-04-06",55
"2018-04-07",60
"2018-04-08",75
"2018-04-09",64
"2018-04-10",64
"2018-04-11",56
"2018-04-12",50
"2018-04-13",49
"2018-04-14",63
"2018-04-15",75
"2018-04-16",75
"2018-04-17",63
"2018-04-18",53
"2018-04-19",51
