네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","4인용쇼파"
"2017-08-01",42
"2017-08-02",45
"2017-08-03",38
"2017-08-04",42
"2017-08-05",50
"2017-08-06",56
"2017-08-07",57
"2017-08-08",47
"2017-08-09",51
"2017-08-10",49
"2017-08-11",47
"2017-08-12",51
"2017-08-13",68
"2017-08-14",63
"2017-08-15",82
"2017-08-16",50
"2017-08-17",49
"2017-08-18",44
"2017-08-19",54
"2017-08-20",79
"2017-08-21",66
"2017-08-22",54
"2017-08-23",55
"2017-08-24",59
"2017-08-25",43
"2017-08-26",44
"2017-08-27",60
"2017-08-28",56
"2017-08-29",45
"2017-08-30",51
"2017-08-31",42
"2017-09-01",39
"2017-09-02",46
"2017-09-03",65
"2017-09-04",50
"2017-09-05",43
"2017-09-06",47
"2017-09-07",41
"2017-09-08",41
"2017-09-09",43
"2017-09-10",68
"2017-09-11",58
"2017-09-12",53
"2017-09-13",43
"2017-09-14",48
"2017-09-15",33
"2017-09-16",41
"2017-09-17",61
"2017-09-18",52
"2017-09-19",49
"2017-09-20",40
"2017-09-21",40
"2017-09-22",34
"2017-09-23",43
"2017-09-24",55
"2017-09-25",48
"2017-09-26",40
"2017-09-27",42
"2017-09-28",40
"2017-09-29",32
"2017-09-30",46
"2017-10-01",53
"2017-10-02",48
"2017-10-03",44
"2017-10-04",44
"2017-10-05",47
"2017-10-06",56
"2017-10-07",63
"2017-10-08",67
"2017-10-09",63
"2017-10-10",50
"2017-10-11",45
"2017-10-12",42
"2017-10-13",41
"2017-10-14",43
"2017-10-15",60
"2017-10-16",50
"2017-10-17",50
"2017-10-18",38
"2017-10-19",42
"2017-10-20",46
"2017-10-21",42
"2017-10-22",65
"2017-10-23",55
"2017-10-24",44
"2017-10-25",50
"2017-10-26",40
"2017-10-27",40
"2017-10-28",42
"2017-10-29",63
"2017-10-30",48
"2017-10-31",36
"2017-11-01",47
"2017-11-02",48
"2017-11-03",47
"2017-11-04",45
"2017-11-05",75
"2017-11-06",50
"2017-11-07",54
"2017-11-08",59
"2017-11-09",44
"2017-11-10",39
"2017-11-11",52
"2017-11-12",69
"2017-11-13",54
"2017-11-14",49
"2017-11-15",41
"2017-11-16",40
"2017-11-17",41
"2017-11-18",43
"2017-11-19",54
"2017-11-20",56
"2017-11-21",48
"2017-11-22",43
"2017-11-23",47
"2017-11-24",34
"2017-11-25",39
"2017-11-26",62
"2017-11-27",47
"2017-11-28",46
"2017-11-29",44
"2017-11-30",45
"2017-12-01",39
"2017-12-02",56
"2017-12-03",72
"2017-12-04",51
"2017-12-05",55
"2017-12-06",44
"2017-12-07",45
"2017-12-08",39
"2017-12-09",48
"2017-12-10",76
"2017-12-11",65
"2017-12-12",52
"2017-12-13",43
"2017-12-14",43
"2017-12-15",49
"2017-12-16",49
"2017-12-17",60
"2017-12-18",53
"2017-12-19",51
"2017-12-20",44
"2017-12-21",39
"2017-12-22",43
"2017-12-23",37
"2017-12-24",56
"2017-12-25",59
"2017-12-26",54
"2017-12-27",50
"2017-12-28",45
"2017-12-29",42
"2017-12-30",55
"2017-12-31",65
"2018-01-01",65
"2018-01-02",60
"2018-01-03",54
"2018-01-04",56
"2018-01-05",43
"2018-01-06",62
"2018-01-07",85
"2018-01-08",61
"2018-01-09",45
"2018-01-10",53
"2018-01-11",51
"2018-01-12",46
"2018-01-13",62
"2018-01-14",94
"2018-01-15",59
"2018-01-16",52
"2018-01-17",60
"2018-01-18",48
"2018-01-19",51
"2018-01-20",55
"2018-01-21",84
"2018-01-22",78
"2018-01-23",63
"2018-01-24",57
"2018-01-25",53
"2018-01-26",46
"2018-01-27",70
"2018-01-28",86
"2018-01-29",70
"2018-01-30",49
"2018-01-31",53
"2018-02-01",68
"2018-02-02",55
"2018-02-03",70
"2018-02-04",100
"2018-02-05",78
"2018-02-06",75
"2018-02-07",67
"2018-02-08",62
"2018-02-09",44
"2018-02-10",65
"2018-02-11",93
"2018-02-12",69
"2018-02-13",63
"2018-02-14",51
"2018-02-15",55
"2018-02-16",55
"2018-02-17",54
"2018-02-18",72
"2018-02-19",64
"2018-02-20",56
"2018-02-21",57
"2018-02-22",47
"2018-02-23",44
"2018-02-24",58
"2018-02-25",93
"2018-02-26",65
"2018-02-27",61
"2018-02-28",63
"2018-03-01",89
"2018-03-02",63
"2018-03-03",75
"2018-03-04",92
"2018-03-05",65
"2018-03-06",60
"2018-03-07",68
"2018-03-08",65
"2018-03-09",52
"2018-03-10",68
"2018-03-11",98
"2018-03-12",68
"2018-03-13",65
"2018-03-14",55
"2018-03-15",64
"2018-03-16",51
"2018-03-17",65
"2018-03-18",83
"2018-03-19",70
"2018-03-20",53
"2018-03-21",54
"2018-03-22",50
"2018-03-23",47
"2018-03-24",62
"2018-03-25",87
"2018-03-26",62
"2018-03-27",59
"2018-03-28",41
"2018-03-29",51
"2018-03-30",40
"2018-03-31",58
"2018-04-01",74
"2018-04-02",64
"2018-04-03",56
"2018-04-04",47
"2018-04-05",47
"2018-04-06",46
"2018-04-07",60
"2018-04-08",82
"2018-04-09",63
"2018-04-10",57
"2018-04-11",47
"2018-04-12",43
"2018-04-13",45
"2018-04-14",60
"2018-04-15",71
"2018-04-16",72
"2018-04-17",53
"2018-04-18",48
"2018-04-19",53
