네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","3단서랍장"
"2017-08-01",37
"2017-08-02",36
"2017-08-03",30
"2017-08-04",26
"2017-08-05",33
"2017-08-06",41
"2017-08-07",40
"2017-08-08",37
"2017-08-09",34
"2017-08-10",34
"2017-08-11",30
"2017-08-12",34
"2017-08-13",33
"2017-08-14",39
"2017-08-15",47
"2017-08-16",40
"2017-08-17",40
"2017-08-18",30
"2017-08-19",41
"2017-08-20",42
"2017-08-21",40
"2017-08-22",44
"2017-08-23",31
"2017-08-24",35
"2017-08-25",23
"2017-08-26",31
"2017-08-27",47
"2017-08-28",45
"2017-08-29",40
"2017-08-30",40
"2017-08-31",33
"2017-09-01",35
"2017-09-02",39
"2017-09-03",56
"2017-09-04",55
"2017-09-05",41
"2017-09-06",46
"2017-09-07",38
"2017-09-08",30
"2017-09-09",37
"2017-09-10",48
"2017-09-11",41
"2017-09-12",43
"2017-09-13",51
"2017-09-14",37
"2017-09-15",34
"2017-09-16",37
"2017-09-17",57
"2017-09-18",49
"2017-09-19",48
"2017-09-20",38
"2017-09-21",37
"2017-09-22",32
"2017-09-23",32
"2017-09-24",46
"2017-09-25",51
"2017-09-26",33
"2017-09-27",32
"2017-09-28",28
"2017-09-29",25
"2017-09-30",28
"2017-10-01",34
"2017-10-02",35
"2017-10-03",23
"2017-10-04",26
"2017-10-05",36
"2017-10-06",43
"2017-10-07",44
"2017-10-08",56
"2017-10-09",66
"2017-10-10",46
"2017-10-11",44
"2017-10-12",39
"2017-10-13",42
"2017-10-14",37
"2017-10-15",62
"2017-10-16",50
"2017-10-17",40
"2017-10-18",39
"2017-10-19",41
"2017-10-20",36
"2017-10-21",46
"2017-10-22",61
"2017-10-23",54
"2017-10-24",43
"2017-10-25",48
"2017-10-26",46
"2017-10-27",43
"2017-10-28",49
"2017-10-29",68
"2017-10-30",63
"2017-10-31",45
"2017-11-01",41
"2017-11-02",44
"2017-11-03",40
"2017-11-04",38
"2017-11-05",58
"2017-11-06",54
"2017-11-07",54
"2017-11-08",52
"2017-11-09",35
"2017-11-10",30
"2017-11-11",43
"2017-11-12",77
"2017-11-13",52
"2017-11-14",55
"2017-11-15",52
"2017-11-16",41
"2017-11-17",35
"2017-11-18",38
"2017-11-19",65
"2017-11-20",57
"2017-11-21",51
"2017-11-22",43
"2017-11-23",41
"2017-11-24",42
"2017-11-25",45
"2017-11-26",56
"2017-11-27",53
"2017-11-28",45
"2017-11-29",46
"2017-11-30",36
"2017-12-01",43
"2017-12-02",49
"2017-12-03",72
"2017-12-04",62
"2017-12-05",57
"2017-12-06",51
"2017-12-07",53
"2017-12-08",37
"2017-12-09",48
"2017-12-10",66
"2017-12-11",75
"2017-12-12",50
"2017-12-13",44
"2017-12-14",46
"2017-12-15",48
"2017-12-16",50
"2017-12-17",53
"2017-12-18",50
"2017-12-19",49
"2017-12-20",52
"2017-12-21",40
"2017-12-22",35
"2017-12-23",39
"2017-12-24",50
"2017-12-25",58
"2017-12-26",55
"2017-12-27",53
"2017-12-28",49
"2017-12-29",38
"2017-12-30",48
"2017-12-31",50
"2018-01-01",68
"2018-01-02",63
"2018-01-03",65
"2018-01-04",44
"2018-01-05",47
"2018-01-06",53
"2018-01-07",79
"2018-01-08",56
"2018-01-09",51
"2018-01-10",55
"2018-01-11",46
"2018-01-12",37
"2018-01-13",55
"2018-01-14",78
"2018-01-15",60
"2018-01-16",50
"2018-01-17",54
"2018-01-18",52
"2018-01-19",49
"2018-01-20",50
"2018-01-21",82
"2018-01-22",60
"2018-01-23",46
"2018-01-24",55
"2018-01-25",47
"2018-01-26",46
"2018-01-27",48
"2018-01-28",68
"2018-01-29",59
"2018-01-30",55
"2018-01-31",47
"2018-02-01",60
"2018-02-02",51
"2018-02-03",54
"2018-02-04",82
"2018-02-05",66
"2018-02-06",61
"2018-02-07",59
"2018-02-08",53
"2018-02-09",40
"2018-02-10",52
"2018-02-11",74
"2018-02-12",55
"2018-02-13",48
"2018-02-14",42
"2018-02-15",40
"2018-02-16",35
"2018-02-17",50
"2018-02-18",69
"2018-02-19",59
"2018-02-20",63
"2018-02-21",59
"2018-02-22",50
"2018-02-23",43
"2018-02-24",57
"2018-02-25",83
"2018-02-26",72
"2018-02-27",61
"2018-02-28",66
"2018-03-01",83
"2018-03-02",69
"2018-03-03",75
"2018-03-04",100
"2018-03-05",71
"2018-03-06",62
"2018-03-07",68
"2018-03-08",58
"2018-03-09",49
"2018-03-10",59
"2018-03-11",80
"2018-03-12",63
"2018-03-13",54
"2018-03-14",51
"2018-03-15",58
"2018-03-16",49
"2018-03-17",58
"2018-03-18",81
"2018-03-19",65
"2018-03-20",59
"2018-03-21",60
"2018-03-22",58
"2018-03-23",50
"2018-03-24",58
"2018-03-25",73
"2018-03-26",75
"2018-03-27",60
"2018-03-28",51
"2018-03-29",59
"2018-03-30",48
"2018-03-31",63
"2018-04-01",82
"2018-04-02",65
"2018-04-03",63
"2018-04-04",60
"2018-04-05",50
"2018-04-06",55
"2018-04-07",57
"2018-04-08",79
"2018-04-09",62
"2018-04-10",58
"2018-04-11",57
"2018-04-12",50
"2018-04-13",42
"2018-04-14",55
"2018-04-15",71
"2018-04-16",62
"2018-04-17",64
"2018-04-18",61
"2018-04-19",50
