네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","키플링백팩"
"2017-08-01",49
"2017-08-02",56
"2017-08-03",43
"2017-08-04",45
"2017-08-05",43
"2017-08-06",56
"2017-08-07",49
"2017-08-08",43
"2017-08-09",52
"2017-08-10",61
"2017-08-11",52
"2017-08-12",63
"2017-08-13",62
"2017-08-14",55
"2017-08-15",77
"2017-08-16",66
"2017-08-17",65
"2017-08-18",62
"2017-08-19",65
"2017-08-20",78
"2017-08-21",67
"2017-08-22",64
"2017-08-23",69
"2017-08-24",67
"2017-08-25",55
"2017-08-26",71
"2017-08-27",81
"2017-08-28",54
"2017-08-29",67
"2017-08-30",64
"2017-08-31",55
"2017-09-01",57
"2017-09-02",63
"2017-09-03",80
"2017-09-04",51
"2017-09-05",54
"2017-09-06",64
"2017-09-07",53
"2017-09-08",52
"2017-09-09",60
"2017-09-10",75
"2017-09-11",61
"2017-09-12",72
"2017-09-13",74
"2017-09-14",57
"2017-09-15",53
"2017-09-16",61
"2017-09-17",84
"2017-09-18",64
"2017-09-19",72
"2017-09-20",67
"2017-09-21",57
"2017-09-22",60
"2017-09-23",58
"2017-09-24",71
"2017-09-25",63
"2017-09-26",68
"2017-09-27",58
"2017-09-28",58
"2017-09-29",49
"2017-09-30",61
"2017-10-01",59
"2017-10-02",43
"2017-10-03",33
"2017-10-04",43
"2017-10-05",62
"2017-10-06",68
"2017-10-07",62
"2017-10-08",80
"2017-10-09",86
"2017-10-10",79
"2017-10-11",70
"2017-10-12",81
"2017-10-13",72
"2017-10-14",59
"2017-10-15",82
"2017-10-16",72
"2017-10-17",70
"2017-10-18",71
"2017-10-19",70
"2017-10-20",67
"2017-10-21",60
"2017-10-22",74
"2017-10-23",67
"2017-10-24",76
"2017-10-25",66
"2017-10-26",72
"2017-10-27",65
"2017-10-28",72
"2017-10-29",73
"2017-10-30",70
"2017-10-31",57
"2017-11-01",62
"2017-11-02",55
"2017-11-03",58
"2017-11-04",56
"2017-11-05",68
"2017-11-06",62
"2017-11-07",63
"2017-11-08",48
"2017-11-09",63
"2017-11-10",50
"2017-11-11",57
"2017-11-12",61
"2017-11-13",64
"2017-11-14",56
"2017-11-15",51
"2017-11-16",57
"2017-11-17",49
"2017-11-18",66
"2017-11-19",73
"2017-11-20",59
"2017-11-21",54
"2017-11-22",40
"2017-11-23",57
"2017-11-24",57
"2017-11-25",57
"2017-11-26",65
"2017-11-27",48
"2017-11-28",47
"2017-11-29",48
"2017-11-30",46
"2017-12-01",46
"2017-12-02",55
"2017-12-03",64
"2017-12-04",61
"2017-12-05",59
"2017-12-06",53
"2017-12-07",48
"2017-12-08",55
"2017-12-09",56
"2017-12-10",61
"2017-12-11",57
"2017-12-12",56
"2017-12-13",61
"2017-12-14",53
"2017-12-15",50
"2017-12-16",57
"2017-12-17",61
"2017-12-18",53
"2017-12-19",59
"2017-12-20",55
"2017-12-21",53
"2017-12-22",65
"2017-12-23",68
"2017-12-24",63
"2017-12-25",68
"2017-12-26",75
"2017-12-27",75
"2017-12-28",55
"2017-12-29",57
"2017-12-30",68
"2017-12-31",69
"2018-01-01",81
"2018-01-02",80
"2018-01-03",81
"2018-01-04",76
"2018-01-05",73
"2018-01-06",88
"2018-01-07",81
"2018-01-08",80
"2018-01-09",74
"2018-01-10",76
"2018-01-11",64
"2018-01-12",70
"2018-01-13",70
"2018-01-14",76
"2018-01-15",89
"2018-01-16",73
"2018-01-17",77
"2018-01-18",70
"2018-01-19",61
"2018-01-20",80
"2018-01-21",86
"2018-01-22",83
"2018-01-23",63
"2018-01-24",75
"2018-01-25",65
"2018-01-26",49
"2018-01-27",71
"2018-01-28",79
"2018-01-29",78
"2018-01-30",69
"2018-01-31",81
"2018-02-01",63
"2018-02-02",68
"2018-02-03",66
"2018-02-04",88
"2018-02-05",74
"2018-02-06",68
"2018-02-07",59
"2018-02-08",77
"2018-02-09",59
"2018-02-10",67
"2018-02-11",75
"2018-02-12",60
"2018-02-13",49
"2018-02-14",49
"2018-02-15",45
"2018-02-16",55
"2018-02-17",93
"2018-02-18",100
"2018-02-19",85
"2018-02-20",80
"2018-02-21",79
"2018-02-22",84
"2018-02-23",74
"2018-02-24",84
"2018-02-25",86
"2018-02-26",86
"2018-02-27",81
"2018-02-28",59
"2018-03-01",85
"2018-03-02",63
"2018-03-03",68
"2018-03-04",63
"2018-03-05",58
"2018-03-06",53
"2018-03-07",52
"2018-03-08",49
"2018-03-09",42
"2018-03-10",40
"2018-03-11",54
"2018-03-12",47
"2018-03-13",46
"2018-03-14",48
"2018-03-15",49
"2018-03-16",49
"2018-03-17",55
"2018-03-18",57
"2018-03-19",56
"2018-03-20",51
"2018-03-21",38
"2018-03-22",43
"2018-03-23",51
"2018-03-24",57
"2018-03-25",66
"2018-03-26",55
"2018-03-27",58
"2018-03-28",46
"2018-03-29",58
"2018-03-30",55
"2018-03-31",76
"2018-04-01",73
"2018-04-02",64
"2018-04-03",63
"2018-04-04",71
"2018-04-05",76
"2018-04-06",65
"2018-04-07",69
"2018-04-08",87
"2018-04-09",88
"2018-04-10",85
"2018-04-11",86
"2018-04-12",72
"2018-04-13",70
"2018-04-14",86
"2018-04-15",81
"2018-04-16",78
"2018-04-17",76
"2018-04-18",82
"2018-04-19",64
