네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","질스튜어트지갑"
"2017-08-01",16
"2017-08-02",14
"2017-08-03",12
"2017-08-04",13
"2017-08-05",14
"2017-08-06",18
"2017-08-07",18
"2017-08-08",18
"2017-08-09",15
"2017-08-10",15
"2017-08-11",16
"2017-08-12",12
"2017-08-13",15
"2017-08-14",17
"2017-08-15",21
"2017-08-16",16
"2017-08-17",17
"2017-08-18",13
"2017-08-19",16
"2017-08-20",18
"2017-08-21",19
"2017-08-22",17
"2017-08-23",17
"2017-08-24",14
"2017-08-25",14
"2017-08-26",16
"2017-08-27",20
"2017-08-28",18
"2017-08-29",13
"2017-08-30",13
"2017-08-31",13
"2017-09-01",10
"2017-09-02",14
"2017-09-03",19
"2017-09-04",14
"2017-09-05",11
"2017-09-06",14
"2017-09-07",14
"2017-09-08",12
"2017-09-09",12
"2017-09-10",17
"2017-09-11",12
"2017-09-12",14
"2017-09-13",13
"2017-09-14",11
"2017-09-15",11
"2017-09-16",16
"2017-09-17",19
"2017-09-18",16
"2017-09-19",15
"2017-09-20",13
"2017-09-21",10
"2017-09-22",11
"2017-09-23",13
"2017-09-24",15
"2017-09-25",16
"2017-09-26",16
"2017-09-27",18
"2017-09-28",13
"2017-09-29",11
"2017-09-30",17
"2017-10-01",23
"2017-10-02",20
"2017-10-03",21
"2017-10-04",24
"2017-10-05",27
"2017-10-06",31
"2017-10-07",27
"2017-10-08",31
"2017-10-09",30
"2017-10-10",24
"2017-10-11",23
"2017-10-12",20
"2017-10-13",18
"2017-10-14",20
"2017-10-15",23
"2017-10-16",20
"2017-10-17",17
"2017-10-18",15
"2017-10-19",10
"2017-10-20",12
"2017-10-21",15
"2017-10-22",20
"2017-10-23",18
"2017-10-24",14
"2017-10-25",15
"2017-10-26",14
"2017-10-27",15
"2017-10-28",18
"2017-10-29",20
"2017-10-30",17
"2017-10-31",16
"2017-11-01",18
"2017-11-02",16
"2017-11-03",14
"2017-11-04",18
"2017-11-05",24
"2017-11-06",20
"2017-11-07",19
"2017-11-08",19
"2017-11-09",20
"2017-11-10",18
"2017-11-11",21
"2017-11-12",29
"2017-11-13",20
"2017-11-14",21
"2017-11-15",14
"2017-11-16",16
"2017-11-17",17
"2017-11-18",16
"2017-11-19",25
"2017-11-20",22
"2017-11-21",19
"2017-11-22",17
"2017-11-23",21
"2017-11-24",19
"2017-11-25",22
"2017-11-26",24
"2017-11-27",23
"2017-11-28",24
"2017-11-29",18
"2017-11-30",20
"2017-12-01",22
"2017-12-02",24
"2017-12-03",30
"2017-12-04",25
"2017-12-05",22
"2017-12-06",25
"2017-12-07",24
"2017-12-08",20
"2017-12-09",23
"2017-12-10",30
"2017-12-11",28
"2017-12-12",28
"2017-12-13",25
"2017-12-14",24
"2017-12-15",19
"2017-12-16",18
"2017-12-17",26
"2017-12-18",19
"2017-12-19",20
"2017-12-20",18
"2017-12-21",19
"2017-12-22",15
"2017-12-23",21
"2017-12-24",23
"2017-12-25",23
"2017-12-26",24
"2017-12-27",25
"2017-12-28",22
"2017-12-29",21
"2017-12-30",24
"2017-12-31",24
"2018-01-01",30
"2018-01-02",32
"2018-01-03",27
"2018-01-04",30
"2018-01-05",29
"2018-01-06",31
"2018-01-07",37
"2018-01-08",32
"2018-01-09",34
"2018-01-10",30
"2018-01-11",38
"2018-01-12",34
"2018-01-13",35
"2018-01-14",37
"2018-01-15",39
"2018-01-16",41
"2018-01-17",43
"2018-01-18",33
"2018-01-19",32
"2018-01-20",35
"2018-01-21",40
"2018-01-22",40
"2018-01-23",32
"2018-01-24",37
"2018-01-25",31
"2018-01-26",37
"2018-01-27",50
"2018-01-28",59
"2018-01-29",50
"2018-01-30",49
"2018-01-31",46
"2018-02-01",52
"2018-02-02",44
"2018-02-03",59
"2018-02-04",75
"2018-02-05",80
"2018-02-06",67
"2018-02-07",62
"2018-02-08",65
"2018-02-09",60
"2018-02-10",57
"2018-02-11",64
"2018-02-12",50
"2018-02-13",49
"2018-02-14",46
"2018-02-15",54
"2018-02-16",82
"2018-02-17",94
"2018-02-18",100
"2018-02-19",89
"2018-02-20",71
"2018-02-21",71
"2018-02-22",60
"2018-02-23",50
"2018-02-24",58
"2018-02-25",59
"2018-02-26",51
"2018-02-27",46
"2018-02-28",47
"2018-03-01",51
"2018-03-02",36
"2018-03-03",38
"2018-03-04",43
"2018-03-05",36
"2018-03-06",32
"2018-03-07",34
"2018-03-08",32
"2018-03-09",26
"2018-03-10",30
"2018-03-11",36
"2018-03-12",24
"2018-03-13",23
"2018-03-14",19
"2018-03-15",20
"2018-03-16",19
"2018-03-17",25
"2018-03-18",28
"2018-03-19",22
"2018-03-20",18
"2018-03-21",19
"2018-03-22",17
"2018-03-23",15
"2018-03-24",23
"2018-03-25",29
"2018-03-26",24
"2018-03-27",20
"2018-03-28",22
"2018-03-29",19
"2018-03-30",15
"2018-03-31",19
"2018-04-01",23
"2018-04-02",16
"2018-04-03",15
"2018-04-04",12
"2018-04-05",14
"2018-04-06",15
"2018-04-07",20
"2018-04-08",24
"2018-04-09",18
"2018-04-10",21
"2018-04-11",17
"2018-04-12",14
"2018-04-13",12
"2018-04-14",28
"2018-04-15",34
"2018-04-16",20
"2018-04-17",15
"2018-04-18",16
"2018-04-19",14
