네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","미니백"
"2017-08-01",49
"2017-08-02",57
"2017-08-03",52
"2017-08-04",41
"2017-08-05",46
"2017-08-06",58
"2017-08-07",59
"2017-08-08",52
"2017-08-09",44
"2017-08-10",47
"2017-08-11",42
"2017-08-12",39
"2017-08-13",43
"2017-08-14",46
"2017-08-15",53
"2017-08-16",43
"2017-08-17",49
"2017-08-18",47
"2017-08-19",57
"2017-08-20",62
"2017-08-21",59
"2017-08-22",48
"2017-08-23",59
"2017-08-24",56
"2017-08-25",45
"2017-08-26",48
"2017-08-27",53
"2017-08-28",49
"2017-08-29",54
"2017-08-30",59
"2017-08-31",46
"2017-09-01",43
"2017-09-02",40
"2017-09-03",60
"2017-09-04",60
"2017-09-05",63
"2017-09-06",56
"2017-09-07",50
"2017-09-08",44
"2017-09-09",54
"2017-09-10",55
"2017-09-11",54
"2017-09-12",51
"2017-09-13",53
"2017-09-14",46
"2017-09-15",33
"2017-09-16",49
"2017-09-17",54
"2017-09-18",59
"2017-09-19",56
"2017-09-20",46
"2017-09-21",46
"2017-09-22",37
"2017-09-23",43
"2017-09-24",64
"2017-09-25",50
"2017-09-26",49
"2017-09-27",48
"2017-09-28",39
"2017-09-29",33
"2017-09-30",54
"2017-10-01",41
"2017-10-02",53
"2017-10-03",46
"2017-10-04",41
"2017-10-05",44
"2017-10-06",56
"2017-10-07",56
"2017-10-08",62
"2017-10-09",71
"2017-10-10",61
"2017-10-11",56
"2017-10-12",51
"2017-10-13",43
"2017-10-14",37
"2017-10-15",55
"2017-10-16",44
"2017-10-17",44
"2017-10-18",46
"2017-10-19",38
"2017-10-20",33
"2017-10-21",38
"2017-10-22",46
"2017-10-23",45
"2017-10-24",44
"2017-10-25",44
"2017-10-26",45
"2017-10-27",36
"2017-10-28",43
"2017-10-29",46
"2017-10-30",44
"2017-10-31",41
"2017-11-01",42
"2017-11-02",39
"2017-11-03",31
"2017-11-04",39
"2017-11-05",49
"2017-11-06",41
"2017-11-07",43
"2017-11-08",43
"2017-11-09",43
"2017-11-10",38
"2017-11-11",41
"2017-11-12",59
"2017-11-13",41
"2017-11-14",52
"2017-11-15",40
"2017-11-16",36
"2017-11-17",36
"2017-11-18",44
"2017-11-19",51
"2017-11-20",44
"2017-11-21",41
"2017-11-22",38
"2017-11-23",39
"2017-11-24",34
"2017-11-25",36
"2017-11-26",65
"2017-11-27",44
"2017-11-28",40
"2017-11-29",43
"2017-11-30",40
"2017-12-01",41
"2017-12-02",46
"2017-12-03",45
"2017-12-04",53
"2017-12-05",44
"2017-12-06",42
"2017-12-07",41
"2017-12-08",38
"2017-12-09",47
"2017-12-10",57
"2017-12-11",55
"2017-12-12",43
"2017-12-13",46
"2017-12-14",44
"2017-12-15",37
"2017-12-16",46
"2017-12-17",52
"2017-12-18",44
"2017-12-19",40
"2017-12-20",36
"2017-12-21",34
"2017-12-22",32
"2017-12-23",46
"2017-12-24",46
"2017-12-25",50
"2017-12-26",40
"2017-12-27",42
"2017-12-28",48
"2017-12-29",29
"2017-12-30",43
"2017-12-31",44
"2018-01-01",53
"2018-01-02",51
"2018-01-03",43
"2018-01-04",51
"2018-01-05",38
"2018-01-06",57
"2018-01-07",65
"2018-01-08",51
"2018-01-09",53
"2018-01-10",52
"2018-01-11",49
"2018-01-12",46
"2018-01-13",51
"2018-01-14",60
"2018-01-15",48
"2018-01-16",56
"2018-01-17",53
"2018-01-18",48
"2018-01-19",44
"2018-01-20",54
"2018-01-21",66
"2018-01-22",51
"2018-01-23",57
"2018-01-24",42
"2018-01-25",52
"2018-01-26",50
"2018-01-27",49
"2018-01-28",59
"2018-01-29",47
"2018-01-30",47
"2018-01-31",49
"2018-02-01",62
"2018-02-02",37
"2018-02-03",63
"2018-02-04",63
"2018-02-05",53
"2018-02-06",50
"2018-02-07",55
"2018-02-08",47
"2018-02-09",38
"2018-02-10",47
"2018-02-11",58
"2018-02-12",48
"2018-02-13",34
"2018-02-14",37
"2018-02-15",52
"2018-02-16",55
"2018-02-17",57
"2018-02-18",75
"2018-02-19",61
"2018-02-20",59
"2018-02-21",54
"2018-02-22",60
"2018-02-23",48
"2018-02-24",54
"2018-02-25",60
"2018-02-26",59
"2018-02-27",68
"2018-02-28",65
"2018-03-01",81
"2018-03-02",61
"2018-03-03",65
"2018-03-04",98
"2018-03-05",74
"2018-03-06",76
"2018-03-07",67
"2018-03-08",67
"2018-03-09",56
"2018-03-10",62
"2018-03-11",100
"2018-03-12",76
"2018-03-13",70
"2018-03-14",69
"2018-03-15",65
"2018-03-16",60
"2018-03-17",66
"2018-03-18",94
"2018-03-19",64
"2018-03-20",56
"2018-03-21",64
"2018-03-22",58
"2018-03-23",55
"2018-03-24",53
"2018-03-25",90
"2018-03-26",65
"2018-03-27",58
"2018-03-28",60
"2018-03-29",68
"2018-03-30",58
"2018-03-31",77
"2018-04-01",92
"2018-04-02",68
"2018-04-03",63
"2018-04-04",58
"2018-04-05",59
"2018-04-06",58
"2018-04-07",64
"2018-04-08",83
"2018-04-09",63
"2018-04-10",63
"2018-04-11",59
"2018-04-12",67
"2018-04-13",59
"2018-04-14",70
"2018-04-15",86
"2018-04-16",65
"2018-04-17",55
"2018-04-18",70
"2018-04-19",62
