네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","백팩"
"2017-08-01",30
"2017-08-02",27
"2017-08-03",29
"2017-08-04",26
"2017-08-05",28
"2017-08-06",37
"2017-08-07",36
"2017-08-08",28
"2017-08-09",35
"2017-08-10",36
"2017-08-11",33
"2017-08-12",32
"2017-08-13",42
"2017-08-14",38
"2017-08-15",52
"2017-08-16",40
"2017-08-17",43
"2017-08-18",36
"2017-08-19",43
"2017-08-20",53
"2017-08-21",47
"2017-08-22",45
"2017-08-23",48
"2017-08-24",43
"2017-08-25",34
"2017-08-26",46
"2017-08-27",52
"2017-08-28",41
"2017-08-29",44
"2017-08-30",39
"2017-08-31",38
"2017-09-01",34
"2017-09-02",40
"2017-09-03",49
"2017-09-04",44
"2017-09-05",41
"2017-09-06",43
"2017-09-07",41
"2017-09-08",33
"2017-09-09",37
"2017-09-10",51
"2017-09-11",47
"2017-09-12",39
"2017-09-13",38
"2017-09-14",33
"2017-09-15",33
"2017-09-16",34
"2017-09-17",46
"2017-09-18",44
"2017-09-19",43
"2017-09-20",37
"2017-09-21",31
"2017-09-22",31
"2017-09-23",36
"2017-09-24",46
"2017-09-25",41
"2017-09-26",35
"2017-09-27",33
"2017-09-28",26
"2017-09-29",25
"2017-09-30",27
"2017-10-01",30
"2017-10-02",29
"2017-10-03",21
"2017-10-04",26
"2017-10-05",27
"2017-10-06",30
"2017-10-07",36
"2017-10-08",41
"2017-10-09",45
"2017-10-10",38
"2017-10-11",36
"2017-10-12",36
"2017-10-13",26
"2017-10-14",31
"2017-10-15",40
"2017-10-16",34
"2017-10-17",35
"2017-10-18",35
"2017-10-19",29
"2017-10-20",26
"2017-10-21",30
"2017-10-22",39
"2017-10-23",32
"2017-10-24",32
"2017-10-25",32
"2017-10-26",32
"2017-10-27",28
"2017-10-28",33
"2017-10-29",40
"2017-10-30",37
"2017-10-31",31
"2017-11-01",34
"2017-11-02",33
"2017-11-03",30
"2017-11-04",34
"2017-11-05",45
"2017-11-06",43
"2017-11-07",37
"2017-11-08",36
"2017-11-09",36
"2017-11-10",30
"2017-11-11",32
"2017-11-12",41
"2017-11-13",39
"2017-11-14",40
"2017-11-15",37
"2017-11-16",33
"2017-11-17",32
"2017-11-18",38
"2017-11-19",46
"2017-11-20",35
"2017-11-21",34
"2017-11-22",35
"2017-11-23",33
"2017-11-24",34
"2017-11-25",39
"2017-11-26",46
"2017-11-27",34
"2017-11-28",37
"2017-11-29",35
"2017-11-30",37
"2017-12-01",30
"2017-12-02",34
"2017-12-03",46
"2017-12-04",37
"2017-12-05",34
"2017-12-06",33
"2017-12-07",31
"2017-12-08",34
"2017-12-09",32
"2017-12-10",42
"2017-12-11",40
"2017-12-12",32
"2017-12-13",40
"2017-12-14",32
"2017-12-15",28
"2017-12-16",31
"2017-12-17",41
"2017-12-18",38
"2017-12-19",36
"2017-12-20",35
"2017-12-21",34
"2017-12-22",29
"2017-12-23",31
"2017-12-24",41
"2017-12-25",42
"2017-12-26",42
"2017-12-27",38
"2017-12-28",37
"2017-12-29",34
"2017-12-30",39
"2017-12-31",42
"2018-01-01",43
"2018-01-02",48
"2018-01-03",44
"2018-01-04",40
"2018-01-05",35
"2018-01-06",44
"2018-01-07",52
"2018-01-08",49
"2018-01-09",50
"2018-01-10",43
"2018-01-11",43
"2018-01-12",40
"2018-01-13",45
"2018-01-14",56
"2018-01-15",53
"2018-01-16",55
"2018-01-17",50
"2018-01-18",44
"2018-01-19",41
"2018-01-20",47
"2018-01-21",57
"2018-01-22",49
"2018-01-23",55
"2018-01-24",48
"2018-01-25",47
"2018-01-26",43
"2018-01-27",52
"2018-01-28",62
"2018-01-29",52
"2018-01-30",50
"2018-01-31",52
"2018-02-01",51
"2018-02-02",44
"2018-02-03",61
"2018-02-04",62
"2018-02-05",60
"2018-02-06",53
"2018-02-07",52
"2018-02-08",50
"2018-02-09",45
"2018-02-10",57
"2018-02-11",62
"2018-02-12",53
"2018-02-13",49
"2018-02-14",46
"2018-02-15",52
"2018-02-16",65
"2018-02-17",84
"2018-02-18",100
"2018-02-19",89
"2018-02-20",77
"2018-02-21",86
"2018-02-22",78
"2018-02-23",65
"2018-02-24",68
"2018-02-25",83
"2018-02-26",87
"2018-02-27",79
"2018-02-28",63
"2018-03-01",76
"2018-03-02",58
"2018-03-03",64
"2018-03-04",68
"2018-03-05",54
"2018-03-06",48
"2018-03-07",53
"2018-03-08",50
"2018-03-09",38
"2018-03-10",45
"2018-03-11",58
"2018-03-12",53
"2018-03-13",47
"2018-03-14",40
"2018-03-15",42
"2018-03-16",40
"2018-03-17",44
"2018-03-18",57
"2018-03-19",53
"2018-03-20",46
"2018-03-21",47
"2018-03-22",39
"2018-03-23",37
"2018-03-24",47
"2018-03-25",60
"2018-03-26",46
"2018-03-27",45
"2018-03-28",39
"2018-03-29",39
"2018-03-30",36
"2018-03-31",43
"2018-04-01",53
"2018-04-02",53
"2018-04-03",41
"2018-04-04",43
"2018-04-05",38
"2018-04-06",40
"2018-04-07",44
"2018-04-08",55
"2018-04-09",48
"2018-04-10",48
"2018-04-11",42
"2018-04-12",42
"2018-04-13",38
"2018-04-14",43
"2018-04-15",47
"2018-04-16",46
"2018-04-17",48
"2018-04-18",40
"2018-04-19",32
