네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","루이까또즈가방"
"2017-08-01",26
"2017-08-02",27
"2017-08-03",23
"2017-08-04",26
"2017-08-05",30
"2017-08-06",37
"2017-08-07",35
"2017-08-08",27
"2017-08-09",34
"2017-08-10",33
"2017-08-11",36
"2017-08-12",39
"2017-08-13",48
"2017-08-14",45
"2017-08-15",57
"2017-08-16",42
"2017-08-17",47
"2017-08-18",42
"2017-08-19",47
"2017-08-20",61
"2017-08-21",50
"2017-08-22",53
"2017-08-23",43
"2017-08-24",43
"2017-08-25",40
"2017-08-26",44
"2017-08-27",51
"2017-08-28",40
"2017-08-29",38
"2017-08-30",34
"2017-08-31",33
"2017-09-01",37
"2017-09-02",36
"2017-09-03",50
"2017-09-04",35
"2017-09-05",34
"2017-09-06",33
"2017-09-07",36
"2017-09-08",33
"2017-09-09",43
"2017-09-10",47
"2017-09-11",41
"2017-09-12",35
"2017-09-13",32
"2017-09-14",35
"2017-09-15",32
"2017-09-16",40
"2017-09-17",51
"2017-09-18",39
"2017-09-19",38
"2017-09-20",33
"2017-09-21",38
"2017-09-22",33
"2017-09-23",37
"2017-09-24",47
"2017-09-25",44
"2017-09-26",44
"2017-09-27",37
"2017-09-28",34
"2017-09-29",36
"2017-09-30",42
"2017-10-01",50
"2017-10-02",53
"2017-10-03",43
"2017-10-04",38
"2017-10-05",48
"2017-10-06",53
"2017-10-07",58
"2017-10-08",68
"2017-10-09",66
"2017-10-10",48
"2017-10-11",42
"2017-10-12",41
"2017-10-13",37
"2017-10-14",42
"2017-10-15",52
"2017-10-16",39
"2017-10-17",40
"2017-10-18",41
"2017-10-19",39
"2017-10-20",35
"2017-10-21",46
"2017-10-22",49
"2017-10-23",40
"2017-10-24",36
"2017-10-25",35
"2017-10-26",33
"2017-10-27",29
"2017-10-28",33
"2017-10-29",49
"2017-10-30",37
"2017-10-31",34
"2017-11-01",37
"2017-11-02",36
"2017-11-03",34
"2017-11-04",51
"2017-11-05",59
"2017-11-06",45
"2017-11-07",45
"2017-11-08",44
"2017-11-09",36
"2017-11-10",39
"2017-11-11",49
"2017-11-12",58
"2017-11-13",47
"2017-11-14",36
"2017-11-15",32
"2017-11-16",38
"2017-11-17",38
"2017-11-18",43
"2017-11-19",49
"2017-11-20",36
"2017-11-21",39
"2017-11-22",32
"2017-11-23",31
"2017-11-24",31
"2017-11-25",41
"2017-11-26",58
"2017-11-27",41
"2017-11-28",34
"2017-11-29",33
"2017-11-30",33
"2017-12-01",33
"2017-12-02",43
"2017-12-03",56
"2017-12-04",46
"2017-12-05",45
"2017-12-06",42
"2017-12-07",36
"2017-12-08",37
"2017-12-09",44
"2017-12-10",61
"2017-12-11",48
"2017-12-12",43
"2017-12-13",39
"2017-12-14",42
"2017-12-15",32
"2017-12-16",52
"2017-12-17",62
"2017-12-18",43
"2017-12-19",47
"2017-12-20",44
"2017-12-21",34
"2017-12-22",31
"2017-12-23",48
"2017-12-24",59
"2017-12-25",62
"2017-12-26",46
"2017-12-27",41
"2017-12-28",39
"2017-12-29",37
"2017-12-30",52
"2017-12-31",49
"2018-01-01",51
"2018-01-02",48
"2018-01-03",43
"2018-01-04",47
"2018-01-05",43
"2018-01-06",50
"2018-01-07",60
"2018-01-08",55
"2018-01-09",52
"2018-01-10",52
"2018-01-11",47
"2018-01-12",40
"2018-01-13",50
"2018-01-14",63
"2018-01-15",49
"2018-01-16",50
"2018-01-17",44
"2018-01-18",51
"2018-01-19",46
"2018-01-20",55
"2018-01-21",75
"2018-01-22",53
"2018-01-23",50
"2018-01-24",51
"2018-01-25",53
"2018-01-26",42
"2018-01-27",53
"2018-01-28",71
"2018-01-29",58
"2018-01-30",54
"2018-01-31",43
"2018-02-01",50
"2018-02-02",49
"2018-02-03",61
"2018-02-04",71
"2018-02-05",61
"2018-02-06",55
"2018-02-07",50
"2018-02-08",55
"2018-02-09",44
"2018-02-10",57
"2018-02-11",76
"2018-02-12",54
"2018-02-13",48
"2018-02-14",44
"2018-02-15",46
"2018-02-16",61
"2018-02-17",71
"2018-02-18",100
"2018-02-19",72
"2018-02-20",85
"2018-02-21",90
"2018-02-22",76
"2018-02-23",54
"2018-02-24",70
"2018-02-25",84
"2018-02-26",65
"2018-02-27",59
"2018-02-28",51
"2018-03-01",69
"2018-03-02",47
"2018-03-03",59
"2018-03-04",76
"2018-03-05",49
"2018-03-06",42
"2018-03-07",41
"2018-03-08",46
"2018-03-09",40
"2018-03-10",50
"2018-03-11",71
"2018-03-12",50
"2018-03-13",46
"2018-03-14",38
"2018-03-15",40
"2018-03-16",42
"2018-03-17",47
"2018-03-18",65
"2018-03-19",47
"2018-03-20",44
"2018-03-21",39
"2018-03-22",38
"2018-03-23",33
"2018-03-24",47
"2018-03-25",53
"2018-03-26",42
"2018-03-27",35
"2018-03-28",30
"2018-03-29",31
"2018-03-30",29
"2018-03-31",39
"2018-04-01",59
"2018-04-02",32
"2018-04-03",29
"2018-04-04",39
"2018-04-05",38
"2018-04-06",32
"2018-04-07",36
"2018-04-08",50
"2018-04-09",34
"2018-04-10",32
"2018-04-11",36
"2018-04-12",31
"2018-04-13",31
"2018-04-14",41
"2018-04-15",52
"2018-04-16",31
"2018-04-17",34
"2018-04-18",33
"2018-04-19",29
