네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","여성크로스백"
"2017-08-01",36
"2017-08-02",39
"2017-08-03",38
"2017-08-04",24
"2017-08-05",33
"2017-08-06",42
"2017-08-07",38
"2017-08-08",34
"2017-08-09",36
"2017-08-10",35
"2017-08-11",33
"2017-08-12",34
"2017-08-13",37
"2017-08-14",44
"2017-08-15",45
"2017-08-16",35
"2017-08-17",44
"2017-08-18",40
"2017-08-19",39
"2017-08-20",49
"2017-08-21",41
"2017-08-22",42
"2017-08-23",39
"2017-08-24",43
"2017-08-25",34
"2017-08-26",41
"2017-08-27",49
"2017-08-28",46
"2017-08-29",43
"2017-08-30",44
"2017-08-31",39
"2017-09-01",30
"2017-09-02",30
"2017-09-03",48
"2017-09-04",41
"2017-09-05",38
"2017-09-06",34
"2017-09-07",33
"2017-09-08",37
"2017-09-09",37
"2017-09-10",48
"2017-09-11",39
"2017-09-12",36
"2017-09-13",35
"2017-09-14",31
"2017-09-15",32
"2017-09-16",29
"2017-09-17",44
"2017-09-18",44
"2017-09-19",40
"2017-09-20",40
"2017-09-21",37
"2017-09-22",35
"2017-09-23",33
"2017-09-24",44
"2017-09-25",37
"2017-09-26",33
"2017-09-27",36
"2017-09-28",32
"2017-09-29",28
"2017-09-30",39
"2017-10-01",36
"2017-10-02",38
"2017-10-03",32
"2017-10-04",30
"2017-10-05",37
"2017-10-06",40
"2017-10-07",43
"2017-10-08",60
"2017-10-09",54
"2017-10-10",49
"2017-10-11",54
"2017-10-12",49
"2017-10-13",32
"2017-10-14",33
"2017-10-15",47
"2017-10-16",37
"2017-10-17",43
"2017-10-18",37
"2017-10-19",32
"2017-10-20",33
"2017-10-21",38
"2017-10-22",52
"2017-10-23",39
"2017-10-24",40
"2017-10-25",32
"2017-10-26",34
"2017-10-27",39
"2017-10-28",34
"2017-10-29",37
"2017-10-30",34
"2017-10-31",31
"2017-11-01",37
"2017-11-02",37
"2017-11-03",34
"2017-11-04",36
"2017-11-05",44
"2017-11-06",41
"2017-11-07",40
"2017-11-08",41
"2017-11-09",39
"2017-11-10",37
"2017-11-11",44
"2017-11-12",50
"2017-11-13",44
"2017-11-14",41
"2017-11-15",44
"2017-11-16",45
"2017-11-17",34
"2017-11-18",38
"2017-11-19",53
"2017-11-20",47
"2017-11-21",46
"2017-11-22",42
"2017-11-23",35
"2017-11-24",40
"2017-11-25",43
"2017-11-26",60
"2017-11-27",52
"2017-11-28",54
"2017-11-29",42
"2017-11-30",45
"2017-12-01",42
"2017-12-02",48
"2017-12-03",73
"2017-12-04",49
"2017-12-05",44
"2017-12-06",54
"2017-12-07",45
"2017-12-08",48
"2017-12-09",47
"2017-12-10",64
"2017-12-11",50
"2017-12-12",45
"2017-12-13",46
"2017-12-14",48
"2017-12-15",44
"2017-12-16",43
"2017-12-17",60
"2017-12-18",55
"2017-12-19",45
"2017-12-20",43
"2017-12-21",38
"2017-12-22",33
"2017-12-23",38
"2017-12-24",54
"2017-12-25",62
"2017-12-26",43
"2017-12-27",51
"2017-12-28",46
"2017-12-29",41
"2017-12-30",49
"2017-12-31",51
"2018-01-01",54
"2018-01-02",62
"2018-01-03",57
"2018-01-04",57
"2018-01-05",50
"2018-01-06",65
"2018-01-07",73
"2018-01-08",60
"2018-01-09",51
"2018-01-10",54
"2018-01-11",53
"2018-01-12",45
"2018-01-13",51
"2018-01-14",70
"2018-01-15",59
"2018-01-16",60
"2018-01-17",49
"2018-01-18",50
"2018-01-19",47
"2018-01-20",47
"2018-01-21",60
"2018-01-22",52
"2018-01-23",54
"2018-01-24",58
"2018-01-25",54
"2018-01-26",47
"2018-01-27",53
"2018-01-28",70
"2018-01-29",54
"2018-01-30",61
"2018-01-31",52
"2018-02-01",66
"2018-02-02",63
"2018-02-03",68
"2018-02-04",92
"2018-02-05",68
"2018-02-06",65
"2018-02-07",61
"2018-02-08",60
"2018-02-09",52
"2018-02-10",53
"2018-02-11",76
"2018-02-12",52
"2018-02-13",50
"2018-02-14",38
"2018-02-15",49
"2018-02-16",41
"2018-02-17",46
"2018-02-18",71
"2018-02-19",52
"2018-02-20",49
"2018-02-21",45
"2018-02-22",44
"2018-02-23",44
"2018-02-24",47
"2018-02-25",66
"2018-02-26",55
"2018-02-27",54
"2018-02-28",56
"2018-03-01",81
"2018-03-02",63
"2018-03-03",72
"2018-03-04",94
"2018-03-05",72
"2018-03-06",67
"2018-03-07",61
"2018-03-08",65
"2018-03-09",58
"2018-03-10",73
"2018-03-11",100
"2018-03-12",67
"2018-03-13",66
"2018-03-14",65
"2018-03-15",69
"2018-03-16",58
"2018-03-17",67
"2018-03-18",97
"2018-03-19",65
"2018-03-20",67
"2018-03-21",73
"2018-03-22",61
"2018-03-23",56
"2018-03-24",71
"2018-03-25",86
"2018-03-26",62
"2018-03-27",62
"2018-03-28",64
"2018-03-29",66
"2018-03-30",54
"2018-03-31",66
"2018-04-01",72
"2018-04-02",63
"2018-04-03",57
"2018-04-04",56
"2018-04-05",52
"2018-04-06",48
"2018-04-07",53
"2018-04-08",79
"2018-04-09",64
"2018-04-10",57
"2018-04-11",57
"2018-04-12",54
"2018-04-13",48
"2018-04-14",60
"2018-04-15",65
"2018-04-16",58
"2018-04-17",54
"2018-04-18",50
"2018-04-19",46
