네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","플랫슈즈"
"2017-08-01",10
"2017-08-02",14
"2017-08-03",12
"2017-08-04",12
"2017-08-05",11
"2017-08-06",14
"2017-08-07",13
"2017-08-08",17
"2017-08-09",18
"2017-08-10",16
"2017-08-11",14
"2017-08-12",18
"2017-08-13",22
"2017-08-14",22
"2017-08-15",32
"2017-08-16",30
"2017-08-17",38
"2017-08-18",31
"2017-08-19",31
"2017-08-20",39
"2017-08-21",44
"2017-08-22",43
"2017-08-23",45
"2017-08-24",38
"2017-08-25",35
"2017-08-26",32
"2017-08-27",44
"2017-08-28",44
"2017-08-29",60
"2017-08-30",71
"2017-08-31",57
"2017-09-01",55
"2017-09-02",50
"2017-09-03",66
"2017-09-04",60
"2017-09-05",67
"2017-09-06",62
"2017-09-07",56
"2017-09-08",47
"2017-09-09",51
"2017-09-10",55
"2017-09-11",56
"2017-09-12",54
"2017-09-13",57
"2017-09-14",56
"2017-09-15",45
"2017-09-16",40
"2017-09-17",56
"2017-09-18",55
"2017-09-19",62
"2017-09-20",59
"2017-09-21",43
"2017-09-22",44
"2017-09-23",44
"2017-09-24",44
"2017-09-25",50
"2017-09-26",46
"2017-09-27",39
"2017-09-28",30
"2017-09-29",21
"2017-09-30",24
"2017-10-01",29
"2017-10-02",22
"2017-10-03",20
"2017-10-04",18
"2017-10-05",19
"2017-10-06",27
"2017-10-07",28
"2017-10-08",39
"2017-10-09",41
"2017-10-10",49
"2017-10-11",38
"2017-10-12",36
"2017-10-13",27
"2017-10-14",22
"2017-10-15",32
"2017-10-16",30
"2017-10-17",34
"2017-10-18",30
"2017-10-19",30
"2017-10-20",25
"2017-10-21",26
"2017-10-22",32
"2017-10-23",30
"2017-10-24",29
"2017-10-25",28
"2017-10-26",27
"2017-10-27",23
"2017-10-28",24
"2017-10-29",30
"2017-10-30",25
"2017-10-31",21
"2017-11-01",22
"2017-11-02",23
"2017-11-03",19
"2017-11-04",20
"2017-11-05",25
"2017-11-06",27
"2017-11-07",25
"2017-11-08",25
"2017-11-09",23
"2017-11-10",21
"2017-11-11",16
"2017-11-12",23
"2017-11-13",26
"2017-11-14",27
"2017-11-15",24
"2017-11-16",20
"2017-11-17",15
"2017-11-18",16
"2017-11-19",16
"2017-11-20",21
"2017-11-21",20
"2017-11-22",21
"2017-11-23",20
"2017-11-24",14
"2017-11-25",15
"2017-11-26",20
"2017-11-27",21
"2017-11-28",22
"2017-11-29",18
"2017-11-30",15
"2017-12-01",16
"2017-12-02",13
"2017-12-03",18
"2017-12-04",18
"2017-12-05",15
"2017-12-06",17
"2017-12-07",15
"2017-12-08",15
"2017-12-09",11
"2017-12-10",17
"2017-12-11",17
"2017-12-12",16
"2017-12-13",14
"2017-12-14",11
"2017-12-15",12
"2017-12-16",10
"2017-12-17",11
"2017-12-18",14
"2017-12-19",15
"2017-12-20",13
"2017-12-21",9
"2017-12-22",9
"2017-12-23",10
"2017-12-24",12
"2017-12-25",14
"2017-12-26",13
"2017-12-27",10
"2017-12-28",9
"2017-12-29",10
"2017-12-30",12
"2017-12-31",11
"2018-01-01",13
"2018-01-02",14
"2018-01-03",16
"2018-01-04",17
"2018-01-05",15
"2018-01-06",13
"2018-01-07",18
"2018-01-08",17
"2018-01-09",20
"2018-01-10",15
"2018-01-11",14
"2018-01-12",16
"2018-01-13",14
"2018-01-14",19
"2018-01-15",22
"2018-01-16",24
"2018-01-17",23
"2018-01-18",24
"2018-01-19",20
"2018-01-20",22
"2018-01-21",30
"2018-01-22",27
"2018-01-23",22
"2018-01-24",21
"2018-01-25",18
"2018-01-26",15
"2018-01-27",19
"2018-01-28",25
"2018-01-29",23
"2018-01-30",26
"2018-01-31",28
"2018-02-01",27
"2018-02-02",26
"2018-02-03",25
"2018-02-04",35
"2018-02-05",30
"2018-02-06",28
"2018-02-07",30
"2018-02-08",31
"2018-02-09",26
"2018-02-10",32
"2018-02-11",35
"2018-02-12",26
"2018-02-13",29
"2018-02-14",26
"2018-02-15",24
"2018-02-16",34
"2018-02-17",35
"2018-02-18",43
"2018-02-19",50
"2018-02-20",57
"2018-02-21",52
"2018-02-22",52
"2018-02-23",41
"2018-02-24",50
"2018-02-25",58
"2018-02-26",59
"2018-02-27",60
"2018-02-28",57
"2018-03-01",65
"2018-03-02",55
"2018-03-03",60
"2018-03-04",82
"2018-03-05",75
"2018-03-06",77
"2018-03-07",77
"2018-03-08",72
"2018-03-09",60
"2018-03-10",66
"2018-03-11",94
"2018-03-12",85
"2018-03-13",93
"2018-03-14",100
"2018-03-15",100
"2018-03-16",70
"2018-03-17",74
"2018-03-18",92
"2018-03-19",80
"2018-03-20",76
"2018-03-21",74
"2018-03-22",65
"2018-03-23",59
"2018-03-24",60
"2018-03-25",85
"2018-03-26",81
"2018-03-27",77
"2018-03-28",77
"2018-03-29",79
"2018-03-30",63
"2018-03-31",64
"2018-04-01",81
"2018-04-02",82
"2018-04-03",82
"2018-04-04",79
"2018-04-05",64
"2018-04-06",51
"2018-04-07",47
"2018-04-08",58
"2018-04-09",61
"2018-04-10",59
"2018-04-11",60
"2018-04-12",57
"2018-04-13",47
"2018-04-14",47
"2018-04-15",57
"2018-04-16",50
"2018-04-17",56
"2018-04-18",58
"2018-04-19",50
