네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","나이키"
"2017-08-01",19
"2017-08-02",17
"2017-08-03",16
"2017-08-04",15
"2017-08-05",19
"2017-08-06",23
"2017-08-07",20
"2017-08-08",19
"2017-08-09",17
"2017-08-10",15
"2017-08-11",17
"2017-08-12",15
"2017-08-13",18
"2017-08-14",15
"2017-08-15",24
"2017-08-16",23
"2017-08-17",23
"2017-08-18",18
"2017-08-19",21
"2017-08-20",30
"2017-08-21",26
"2017-08-22",28
"2017-08-23",27
"2017-08-24",25
"2017-08-25",22
"2017-08-26",21
"2017-08-27",24
"2017-08-28",20
"2017-08-29",24
"2017-08-30",27
"2017-08-31",25
"2017-09-01",25
"2017-09-02",32
"2017-09-03",33
"2017-09-04",25
"2017-09-05",29
"2017-09-06",26
"2017-09-07",24
"2017-09-08",22
"2017-09-09",25
"2017-09-10",30
"2017-09-11",28
"2017-09-12",29
"2017-09-13",29
"2017-09-14",25
"2017-09-15",19
"2017-09-16",24
"2017-09-17",29
"2017-09-18",29
"2017-09-19",28
"2017-09-20",24
"2017-09-21",24
"2017-09-22",22
"2017-09-23",26
"2017-09-24",31
"2017-09-25",33
"2017-09-26",41
"2017-09-27",38
"2017-09-28",35
"2017-09-29",29
"2017-09-30",28
"2017-10-01",36
"2017-10-02",38
"2017-10-03",33
"2017-10-04",42
"2017-10-05",39
"2017-10-06",46
"2017-10-07",39
"2017-10-08",41
"2017-10-09",49
"2017-10-10",47
"2017-10-11",39
"2017-10-12",33
"2017-10-13",24
"2017-10-14",28
"2017-10-15",30
"2017-10-16",28
"2017-10-17",29
"2017-10-18",28
"2017-10-19",28
"2017-10-20",29
"2017-10-21",33
"2017-10-22",36
"2017-10-23",36
"2017-10-24",30
"2017-10-25",37
"2017-10-26",34
"2017-10-27",37
"2017-10-28",36
"2017-10-29",42
"2017-10-30",38
"2017-10-31",37
"2017-11-01",40
"2017-11-02",39
"2017-11-03",38
"2017-11-04",45
"2017-11-05",44
"2017-11-06",45
"2017-11-07",48
"2017-11-08",48
"2017-11-09",53
"2017-11-10",40
"2017-11-11",45
"2017-11-12",49
"2017-11-13",47
"2017-11-14",49
"2017-11-15",47
"2017-11-16",48
"2017-11-17",43
"2017-11-18",46
"2017-11-19",57
"2017-11-20",54
"2017-11-21",100
"2017-11-22",53
"2017-11-23",45
"2017-11-24",48
"2017-11-25",49
"2017-11-26",54
"2017-11-27",47
"2017-11-28",50
"2017-11-29",46
"2017-11-30",40
"2017-12-01",40
"2017-12-02",48
"2017-12-03",54
"2017-12-04",39
"2017-12-05",35
"2017-12-06",33
"2017-12-07",35
"2017-12-08",26
"2017-12-09",31
"2017-12-10",41
"2017-12-11",41
"2017-12-12",39
"2017-12-13",33
"2017-12-14",36
"2017-12-15",40
"2017-12-16",37
"2017-12-17",42
"2017-12-18",35
"2017-12-19",34
"2017-12-20",31
"2017-12-21",31
"2017-12-22",25
"2017-12-23",31
"2017-12-24",35
"2017-12-25",38
"2017-12-26",38
"2017-12-27",34
"2017-12-28",39
"2017-12-29",30
"2017-12-30",30
"2017-12-31",36
"2018-01-01",50
"2018-01-02",44
"2018-01-03",44
"2018-01-04",36
"2018-01-05",34
"2018-01-06",36
"2018-01-07",37
"2018-01-08",36
"2018-01-09",39
"2018-01-10",36
"2018-01-11",35
"2018-01-12",34
"2018-01-13",37
"2018-01-14",45
"2018-01-15",41
"2018-01-16",44
"2018-01-17",40
"2018-01-18",40
"2018-01-19",35
"2018-01-20",44
"2018-01-21",46
"2018-01-22",36
"2018-01-23",39
"2018-01-24",38
"2018-01-25",39
"2018-01-26",32
"2018-01-27",40
"2018-01-28",45
"2018-01-29",40
"2018-01-30",45
"2018-01-31",43
"2018-02-01",44
"2018-02-02",39
"2018-02-03",88
"2018-02-04",70
"2018-02-05",53
"2018-02-06",47
"2018-02-07",47
"2018-02-08",41
"2018-02-09",45
"2018-02-10",49
"2018-02-11",59
"2018-02-12",44
"2018-02-13",44
"2018-02-14",43
"2018-02-15",49
"2018-02-16",55
"2018-02-17",65
"2018-02-18",79
"2018-02-19",51
"2018-02-20",56
"2018-02-21",52
"2018-02-22",53
"2018-02-23",53
"2018-02-24",59
"2018-02-25",64
"2018-02-26",59
"2018-02-27",51
"2018-02-28",55
"2018-03-01",78
"2018-03-02",55
"2018-03-03",65
"2018-03-04",80
"2018-03-05",56
"2018-03-06",58
"2018-03-07",54
"2018-03-08",51
"2018-03-09",48
"2018-03-10",54
"2018-03-11",67
"2018-03-12",49
"2018-03-13",52
"2018-03-14",42
"2018-03-15",48
"2018-03-16",44
"2018-03-17",57
"2018-03-18",69
"2018-03-19",55
"2018-03-20",46
"2018-03-21",36
"2018-03-22",43
"2018-03-23",43
"2018-03-24",51
"2018-03-25",54
"2018-03-26",44
"2018-03-27",41
"2018-03-28",42
"2018-03-29",40
"2018-03-30",39
"2018-03-31",45
"2018-04-01",51
"2018-04-02",43
"2018-04-03",44
"2018-04-04",41
"2018-04-05",39
"2018-04-06",35
"2018-04-07",45
"2018-04-08",48
"2018-04-09",46
"2018-04-10",39
"2018-04-11",41
"2018-04-12",44
"2018-04-13",40
"2018-04-14",48
"2018-04-15",54
"2018-04-16",45
"2018-04-17",39
"2018-04-18",35
"2018-04-19",38
