네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","남자운동화"
"2017-08-01",27
"2017-08-02",30
"2017-08-03",38
"2017-08-04",31
"2017-08-05",27
"2017-08-06",38
"2017-08-07",41
"2017-08-08",33
"2017-08-09",46
"2017-08-10",40
"2017-08-11",34
"2017-08-12",34
"2017-08-13",40
"2017-08-14",42
"2017-08-15",47
"2017-08-16",36
"2017-08-17",37
"2017-08-18",27
"2017-08-19",25
"2017-08-20",34
"2017-08-21",27
"2017-08-22",35
"2017-08-23",31
"2017-08-24",31
"2017-08-25",25
"2017-08-26",31
"2017-08-27",36
"2017-08-28",27
"2017-08-29",33
"2017-08-30",33
"2017-08-31",31
"2017-09-01",29
"2017-09-02",29
"2017-09-03",48
"2017-09-04",35
"2017-09-05",34
"2017-09-06",43
"2017-09-07",36
"2017-09-08",31
"2017-09-09",31
"2017-09-10",36
"2017-09-11",43
"2017-09-12",34
"2017-09-13",35
"2017-09-14",26
"2017-09-15",28
"2017-09-16",29
"2017-09-17",42
"2017-09-18",46
"2017-09-19",47
"2017-09-20",41
"2017-09-21",40
"2017-09-22",37
"2017-09-23",37
"2017-09-24",43
"2017-09-25",44
"2017-09-26",43
"2017-09-27",35
"2017-09-28",27
"2017-09-29",20
"2017-09-30",25
"2017-10-01",47
"2017-10-02",35
"2017-10-03",28
"2017-10-04",32
"2017-10-05",46
"2017-10-06",46
"2017-10-07",45
"2017-10-08",41
"2017-10-09",52
"2017-10-10",49
"2017-10-11",61
"2017-10-12",59
"2017-10-13",39
"2017-10-14",38
"2017-10-15",51
"2017-10-16",55
"2017-10-17",49
"2017-10-18",48
"2017-10-19",44
"2017-10-20",39
"2017-10-21",40
"2017-10-22",51
"2017-10-23",58
"2017-10-24",53
"2017-10-25",50
"2017-10-26",45
"2017-10-27",35
"2017-10-28",39
"2017-10-29",51
"2017-10-30",50
"2017-10-31",45
"2017-11-01",57
"2017-11-02",49
"2017-11-03",39
"2017-11-04",53
"2017-11-05",73
"2017-11-06",59
"2017-11-07",57
"2017-11-08",57
"2017-11-09",49
"2017-11-10",38
"2017-11-11",40
"2017-11-12",49
"2017-11-13",52
"2017-11-14",60
"2017-11-15",47
"2017-11-16",62
"2017-11-17",48
"2017-11-18",52
"2017-11-19",83
"2017-11-20",71
"2017-11-21",70
"2017-11-22",71
"2017-11-23",64
"2017-11-24",62
"2017-11-25",60
"2017-11-26",87
"2017-11-27",66
"2017-11-28",67
"2017-11-29",54
"2017-11-30",59
"2017-12-01",50
"2017-12-02",46
"2017-12-03",82
"2017-12-04",69
"2017-12-05",70
"2017-12-06",64
"2017-12-07",58
"2017-12-08",53
"2017-12-09",53
"2017-12-10",79
"2017-12-11",71
"2017-12-12",54
"2017-12-13",65
"2017-12-14",44
"2017-12-15",41
"2017-12-16",48
"2017-12-17",68
"2017-12-18",64
"2017-12-19",59
"2017-12-20",59
"2017-12-21",48
"2017-12-22",37
"2017-12-23",45
"2017-12-24",49
"2017-12-25",61
"2017-12-26",59
"2017-12-27",60
"2017-12-28",43
"2017-12-29",39
"2017-12-30",46
"2017-12-31",44
"2018-01-01",63
"2018-01-02",62
"2018-01-03",57
"2018-01-04",45
"2018-01-05",52
"2018-01-06",45
"2018-01-07",64
"2018-01-08",63
"2018-01-09",68
"2018-01-10",64
"2018-01-11",60
"2018-01-12",38
"2018-01-13",46
"2018-01-14",68
"2018-01-15",64
"2018-01-16",70
"2018-01-17",64
"2018-01-18",52
"2018-01-19",41
"2018-01-20",50
"2018-01-21",75
"2018-01-22",57
"2018-01-23",64
"2018-01-24",51
"2018-01-25",40
"2018-01-26",43
"2018-01-27",50
"2018-01-28",70
"2018-01-29",56
"2018-01-30",54
"2018-01-31",58
"2018-02-01",71
"2018-02-02",56
"2018-02-03",63
"2018-02-04",100
"2018-02-05",77
"2018-02-06",78
"2018-02-07",66
"2018-02-08",66
"2018-02-09",53
"2018-02-10",61
"2018-02-11",85
"2018-02-12",57
"2018-02-13",57
"2018-02-14",38
"2018-02-15",49
"2018-02-16",47
"2018-02-17",63
"2018-02-18",75
"2018-02-19",71
"2018-02-20",77
"2018-02-21",74
"2018-02-22",63
"2018-02-23",54
"2018-02-24",62
"2018-02-25",81
"2018-02-26",75
"2018-02-27",65
"2018-02-28",68
"2018-03-01",71
"2018-03-02",56
"2018-03-03",62
"2018-03-04",95
"2018-03-05",78
"2018-03-06",64
"2018-03-07",65
"2018-03-08",61
"2018-03-09",50
"2018-03-10",61
"2018-03-11",74
"2018-03-12",71
"2018-03-13",68
"2018-03-14",60
"2018-03-15",61
"2018-03-16",55
"2018-03-17",61
"2018-03-18",89
"2018-03-19",78
"2018-03-20",66
"2018-03-21",62
"2018-03-22",61
"2018-03-23",41
"2018-03-24",66
"2018-03-25",80
"2018-03-26",74
"2018-03-27",67
"2018-03-28",67
"2018-03-29",73
"2018-03-30",66
"2018-03-31",70
"2018-04-01",96
"2018-04-02",77
"2018-04-03",77
"2018-04-04",75
"2018-04-05",63
"2018-04-06",48
"2018-04-07",57
"2018-04-08",92
"2018-04-09",62
"2018-04-10",68
"2018-04-11",61
"2018-04-12",54
"2018-04-13",47
"2018-04-14",65
"2018-04-15",67
"2018-04-16",61
"2018-04-17",66
"2018-04-18",63
"2018-04-19",59
