네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","뉴발란스운동화"
"2017-08-01",27
"2017-08-02",25
"2017-08-03",24
"2017-08-04",23
"2017-08-05",24
"2017-08-06",26
"2017-08-07",26
"2017-08-08",29
"2017-08-09",26
"2017-08-10",28
"2017-08-11",25
"2017-08-12",25
"2017-08-13",36
"2017-08-14",33
"2017-08-15",45
"2017-08-16",41
"2017-08-17",40
"2017-08-18",31
"2017-08-19",32
"2017-08-20",47
"2017-08-21",43
"2017-08-22",51
"2017-08-23",41
"2017-08-24",29
"2017-08-25",33
"2017-08-26",38
"2017-08-27",48
"2017-08-28",44
"2017-08-29",43
"2017-08-30",51
"2017-08-31",49
"2017-09-01",41
"2017-09-02",47
"2017-09-03",61
"2017-09-04",54
"2017-09-05",46
"2017-09-06",53
"2017-09-07",43
"2017-09-08",38
"2017-09-09",43
"2017-09-10",69
"2017-09-11",53
"2017-09-12",53
"2017-09-13",46
"2017-09-14",43
"2017-09-15",42
"2017-09-16",49
"2017-09-17",63
"2017-09-18",52
"2017-09-19",55
"2017-09-20",46
"2017-09-21",48
"2017-09-22",37
"2017-09-23",42
"2017-09-24",65
"2017-09-25",61
"2017-09-26",50
"2017-09-27",49
"2017-09-28",45
"2017-09-29",34
"2017-09-30",38
"2017-10-01",55
"2017-10-02",43
"2017-10-03",37
"2017-10-04",38
"2017-10-05",53
"2017-10-06",56
"2017-10-07",64
"2017-10-08",62
"2017-10-09",71
"2017-10-10",55
"2017-10-11",59
"2017-10-12",56
"2017-10-13",54
"2017-10-14",64
"2017-10-15",75
"2017-10-16",65
"2017-10-17",62
"2017-10-18",51
"2017-10-19",57
"2017-10-20",47
"2017-10-21",50
"2017-10-22",68
"2017-10-23",53
"2017-10-24",52
"2017-10-25",65
"2017-10-26",44
"2017-10-27",46
"2017-10-28",56
"2017-10-29",70
"2017-10-30",70
"2017-10-31",56
"2017-11-01",66
"2017-11-02",59
"2017-11-03",54
"2017-11-04",55
"2017-11-05",82
"2017-11-06",73
"2017-11-07",87
"2017-11-08",59
"2017-11-09",63
"2017-11-10",56
"2017-11-11",74
"2017-11-12",79
"2017-11-13",67
"2017-11-14",73
"2017-11-15",58
"2017-11-16",61
"2017-11-17",52
"2017-11-18",55
"2017-11-19",70
"2017-11-20",61
"2017-11-21",72
"2017-11-22",61
"2017-11-23",57
"2017-11-24",48
"2017-11-25",64
"2017-11-26",79
"2017-11-27",68
"2017-11-28",71
"2017-11-29",56
"2017-11-30",57
"2017-12-01",47
"2017-12-02",56
"2017-12-03",69
"2017-12-04",60
"2017-12-05",62
"2017-12-06",63
"2017-12-07",59
"2017-12-08",51
"2017-12-09",54
"2017-12-10",74
"2017-12-11",67
"2017-12-12",52
"2017-12-13",56
"2017-12-14",55
"2017-12-15",39
"2017-12-16",40
"2017-12-17",68
"2017-12-18",55
"2017-12-19",54
"2017-12-20",62
"2017-12-21",46
"2017-12-22",36
"2017-12-23",47
"2017-12-24",53
"2017-12-25",57
"2017-12-26",55
"2017-12-27",53
"2017-12-28",54
"2017-12-29",48
"2017-12-30",45
"2017-12-31",50
"2018-01-01",64
"2018-01-02",56
"2018-01-03",57
"2018-01-04",48
"2018-01-05",43
"2018-01-06",50
"2018-01-07",70
"2018-01-08",53
"2018-01-09",51
"2018-01-10",59
"2018-01-11",52
"2018-01-12",37
"2018-01-13",43
"2018-01-14",72
"2018-01-15",60
"2018-01-16",54
"2018-01-17",57
"2018-01-18",52
"2018-01-19",46
"2018-01-20",58
"2018-01-21",78
"2018-01-22",61
"2018-01-23",50
"2018-01-24",50
"2018-01-25",48
"2018-01-26",40
"2018-01-27",49
"2018-01-28",68
"2018-01-29",53
"2018-01-30",56
"2018-01-31",49
"2018-02-01",50
"2018-02-02",51
"2018-02-03",64
"2018-02-04",82
"2018-02-05",65
"2018-02-06",59
"2018-02-07",56
"2018-02-08",54
"2018-02-09",53
"2018-02-10",62
"2018-02-11",82
"2018-02-12",53
"2018-02-13",49
"2018-02-14",46
"2018-02-15",56
"2018-02-16",64
"2018-02-17",75
"2018-02-18",94
"2018-02-19",77
"2018-02-20",68
"2018-02-21",63
"2018-02-22",65
"2018-02-23",66
"2018-02-24",67
"2018-02-25",88
"2018-02-26",69
"2018-02-27",73
"2018-02-28",65
"2018-03-01",98
"2018-03-02",72
"2018-03-03",88
"2018-03-04",100
"2018-03-05",72
"2018-03-06",76
"2018-03-07",58
"2018-03-08",71
"2018-03-09",51
"2018-03-10",74
"2018-03-11",95
"2018-03-12",65
"2018-03-13",61
"2018-03-14",61
"2018-03-15",64
"2018-03-16",53
"2018-03-17",69
"2018-03-18",83
"2018-03-19",62
"2018-03-20",53
"2018-03-21",42
"2018-03-22",49
"2018-03-23",51
"2018-03-24",60
"2018-03-25",74
"2018-03-26",52
"2018-03-27",57
"2018-03-28",51
"2018-03-29",47
"2018-03-30",51
"2018-03-31",56
"2018-04-01",75
"2018-04-02",65
"2018-04-03",55
"2018-04-04",47
"2018-04-05",55
"2018-04-06",44
"2018-04-07",50
"2018-04-08",67
"2018-04-09",53
"2018-04-10",51
"2018-04-11",57
"2018-04-12",49
"2018-04-13",38
"2018-04-14",56
"2018-04-15",68
"2018-04-16",53
"2018-04-17",51
"2018-04-18",44
"2018-04-19",38
