네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","오니츠카타이거"
"2017-08-01",17
"2017-08-02",19
"2017-08-03",16
"2017-08-04",16
"2017-08-05",18
"2017-08-06",22
"2017-08-07",19
"2017-08-08",17
"2017-08-09",15
"2017-08-10",18
"2017-08-11",19
"2017-08-12",19
"2017-08-13",21
"2017-08-14",18
"2017-08-15",25
"2017-08-16",22
"2017-08-17",19
"2017-08-18",15
"2017-08-19",19
"2017-08-20",27
"2017-08-21",25
"2017-08-22",24
"2017-08-23",21
"2017-08-24",23
"2017-08-25",18
"2017-08-26",22
"2017-08-27",27
"2017-08-28",25
"2017-08-29",27
"2017-08-30",28
"2017-08-31",27
"2017-09-01",23
"2017-09-02",24
"2017-09-03",31
"2017-09-04",22
"2017-09-05",25
"2017-09-06",21
"2017-09-07",23
"2017-09-08",22
"2017-09-09",25
"2017-09-10",32
"2017-09-11",30
"2017-09-12",25
"2017-09-13",24
"2017-09-14",27
"2017-09-15",23
"2017-09-16",28
"2017-09-17",32
"2017-09-18",27
"2017-09-19",27
"2017-09-20",23
"2017-09-21",21
"2017-09-22",20
"2017-09-23",25
"2017-09-24",32
"2017-09-25",34
"2017-09-26",32
"2017-09-27",31
"2017-09-28",26
"2017-09-29",23
"2017-09-30",32
"2017-10-01",39
"2017-10-02",35
"2017-10-03",34
"2017-10-04",31
"2017-10-05",34
"2017-10-06",43
"2017-10-07",42
"2017-10-08",44
"2017-10-09",53
"2017-10-10",44
"2017-10-11",43
"2017-10-12",39
"2017-10-13",29
"2017-10-14",40
"2017-10-15",46
"2017-10-16",38
"2017-10-17",32
"2017-10-18",32
"2017-10-19",30
"2017-10-20",25
"2017-10-21",31
"2017-10-22",33
"2017-10-23",30
"2017-10-24",30
"2017-10-25",29
"2017-10-26",24
"2017-10-27",20
"2017-10-28",26
"2017-10-29",41
"2017-10-30",30
"2017-10-31",26
"2017-11-01",29
"2017-11-02",31
"2017-11-03",27
"2017-11-04",34
"2017-11-05",46
"2017-11-06",35
"2017-11-07",29
"2017-11-08",30
"2017-11-09",32
"2017-11-10",28
"2017-11-11",33
"2017-11-12",38
"2017-11-13",34
"2017-11-14",33
"2017-11-15",27
"2017-11-16",26
"2017-11-17",25
"2017-11-18",27
"2017-11-19",34
"2017-11-20",27
"2017-11-21",30
"2017-11-22",29
"2017-11-23",27
"2017-11-24",24
"2017-11-25",25
"2017-11-26",33
"2017-11-27",29
"2017-11-28",26
"2017-11-29",28
"2017-11-30",24
"2017-12-01",27
"2017-12-02",27
"2017-12-03",36
"2017-12-04",28
"2017-12-05",27
"2017-12-06",23
"2017-12-07",24
"2017-12-08",21
"2017-12-09",23
"2017-12-10",34
"2017-12-11",28
"2017-12-12",28
"2017-12-13",23
"2017-12-14",22
"2017-12-15",21
"2017-12-16",21
"2017-12-17",29
"2017-12-18",24
"2017-12-19",22
"2017-12-20",21
"2017-12-21",22
"2017-12-22",20
"2017-12-23",25
"2017-12-24",25
"2017-12-25",34
"2017-12-26",24
"2017-12-27",23
"2017-12-28",19
"2017-12-29",21
"2017-12-30",26
"2017-12-31",30
"2018-01-01",28
"2018-01-02",28
"2018-01-03",30
"2018-01-04",25
"2018-01-05",23
"2018-01-06",33
"2018-01-07",42
"2018-01-08",33
"2018-01-09",30
"2018-01-10",25
"2018-01-11",24
"2018-01-12",24
"2018-01-13",31
"2018-01-14",43
"2018-01-15",31
"2018-01-16",31
"2018-01-17",32
"2018-01-18",27
"2018-01-19",23
"2018-01-20",34
"2018-01-21",41
"2018-01-22",31
"2018-01-23",32
"2018-01-24",29
"2018-01-25",24
"2018-01-26",21
"2018-01-27",28
"2018-01-28",35
"2018-01-29",30
"2018-01-30",27
"2018-01-31",29
"2018-02-01",27
"2018-02-02",28
"2018-02-03",32
"2018-02-04",38
"2018-02-05",29
"2018-02-06",32
"2018-02-07",29
"2018-02-08",32
"2018-02-09",26
"2018-02-10",30
"2018-02-11",48
"2018-02-12",30
"2018-02-13",26
"2018-02-14",32
"2018-02-15",36
"2018-02-16",37
"2018-02-17",46
"2018-02-18",62
"2018-02-19",48
"2018-02-20",40
"2018-02-21",40
"2018-02-22",37
"2018-02-23",42
"2018-02-24",50
"2018-02-25",57
"2018-02-26",46
"2018-02-27",49
"2018-02-28",45
"2018-03-01",78
"2018-03-02",54
"2018-03-03",74
"2018-03-04",100
"2018-03-05",56
"2018-03-06",57
"2018-03-07",54
"2018-03-08",55
"2018-03-09",47
"2018-03-10",66
"2018-03-11",89
"2018-03-12",63
"2018-03-13",67
"2018-03-14",53
"2018-03-15",53
"2018-03-16",48
"2018-03-17",65
"2018-03-18",86
"2018-03-19",64
"2018-03-20",56
"2018-03-21",51
"2018-03-22",54
"2018-03-23",48
"2018-03-24",71
"2018-03-25",88
"2018-03-26",67
"2018-03-27",65
"2018-03-28",64
"2018-03-29",60
"2018-03-30",50
"2018-03-31",63
"2018-04-01",87
"2018-04-02",71
"2018-04-03",71
"2018-04-04",56
"2018-04-05",53
"2018-04-06",50
"2018-04-07",56
"2018-04-08",73
"2018-04-09",59
"2018-04-10",54
"2018-04-11",49
"2018-04-12",48
"2018-04-13",45
"2018-04-14",55
"2018-04-15",63
"2018-04-16",50
"2018-04-17",54
"2018-04-18",48
"2018-04-19",42
