네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","데상트운동화"
"2017-08-01",15
"2017-08-02",15
"2017-08-03",12
"2017-08-04",13
"2017-08-05",11
"2017-08-06",16
"2017-08-07",12
"2017-08-08",15
"2017-08-09",14
"2017-08-10",16
"2017-08-11",14
"2017-08-12",17
"2017-08-13",23
"2017-08-14",25
"2017-08-15",27
"2017-08-16",25
"2017-08-17",27
"2017-08-18",16
"2017-08-19",20
"2017-08-20",34
"2017-08-21",29
"2017-08-22",32
"2017-08-23",27
"2017-08-24",30
"2017-08-25",22
"2017-08-26",29
"2017-08-27",29
"2017-08-28",22
"2017-08-29",30
"2017-08-30",36
"2017-08-31",26
"2017-09-01",25
"2017-09-02",31
"2017-09-03",40
"2017-09-04",33
"2017-09-05",27
"2017-09-06",30
"2017-09-07",28
"2017-09-08",27
"2017-09-09",32
"2017-09-10",45
"2017-09-11",38
"2017-09-12",46
"2017-09-13",39
"2017-09-14",28
"2017-09-15",25
"2017-09-16",31
"2017-09-17",45
"2017-09-18",43
"2017-09-19",34
"2017-09-20",32
"2017-09-21",35
"2017-09-22",31
"2017-09-23",32
"2017-09-24",50
"2017-09-25",41
"2017-09-26",35
"2017-09-27",30
"2017-09-28",27
"2017-09-29",28
"2017-09-30",34
"2017-10-01",49
"2017-10-02",47
"2017-10-03",42
"2017-10-04",40
"2017-10-05",41
"2017-10-06",59
"2017-10-07",59
"2017-10-08",67
"2017-10-09",59
"2017-10-10",51
"2017-10-11",60
"2017-10-12",53
"2017-10-13",42
"2017-10-14",49
"2017-10-15",65
"2017-10-16",65
"2017-10-17",56
"2017-10-18",52
"2017-10-19",47
"2017-10-20",45
"2017-10-21",56
"2017-10-22",63
"2017-10-23",57
"2017-10-24",53
"2017-10-25",60
"2017-10-26",45
"2017-10-27",46
"2017-10-28",46
"2017-10-29",70
"2017-10-30",50
"2017-10-31",42
"2017-11-01",50
"2017-11-02",45
"2017-11-03",39
"2017-11-04",64
"2017-11-05",77
"2017-11-06",52
"2017-11-07",52
"2017-11-08",48
"2017-11-09",50
"2017-11-10",47
"2017-11-11",57
"2017-11-12",62
"2017-11-13",52
"2017-11-14",48
"2017-11-15",45
"2017-11-16",45
"2017-11-17",39
"2017-11-18",43
"2017-11-19",61
"2017-11-20",59
"2017-11-21",50
"2017-11-22",42
"2017-11-23",42
"2017-11-24",41
"2017-11-25",55
"2017-11-26",61
"2017-11-27",63
"2017-11-28",55
"2017-11-29",47
"2017-11-30",51
"2017-12-01",42
"2017-12-02",61
"2017-12-03",82
"2017-12-04",61
"2017-12-05",57
"2017-12-06",60
"2017-12-07",45
"2017-12-08",34
"2017-12-09",45
"2017-12-10",54
"2017-12-11",51
"2017-12-12",46
"2017-12-13",42
"2017-12-14",44
"2017-12-15",40
"2017-12-16",43
"2017-12-17",53
"2017-12-18",53
"2017-12-19",52
"2017-12-20",49
"2017-12-21",46
"2017-12-22",34
"2017-12-23",45
"2017-12-24",48
"2017-12-25",56
"2017-12-26",55
"2017-12-27",51
"2017-12-28",49
"2017-12-29",46
"2017-12-30",49
"2017-12-31",54
"2018-01-01",53
"2018-01-02",47
"2018-01-03",51
"2018-01-04",42
"2018-01-05",46
"2018-01-06",45
"2018-01-07",48
"2018-01-08",49
"2018-01-09",46
"2018-01-10",52
"2018-01-11",47
"2018-01-12",35
"2018-01-13",38
"2018-01-14",57
"2018-01-15",46
"2018-01-16",54
"2018-01-17",55
"2018-01-18",41
"2018-01-19",46
"2018-01-20",54
"2018-01-21",78
"2018-01-22",56
"2018-01-23",44
"2018-01-24",51
"2018-01-25",50
"2018-01-26",47
"2018-01-27",52
"2018-01-28",75
"2018-01-29",58
"2018-01-30",59
"2018-01-31",54
"2018-02-01",58
"2018-02-02",51
"2018-02-03",83
"2018-02-04",81
"2018-02-05",86
"2018-02-06",81
"2018-02-07",83
"2018-02-08",66
"2018-02-09",62
"2018-02-10",74
"2018-02-11",93
"2018-02-12",82
"2018-02-13",66
"2018-02-14",54
"2018-02-15",67
"2018-02-16",65
"2018-02-17",83
"2018-02-18",100
"2018-02-19",75
"2018-02-20",70
"2018-02-21",74
"2018-02-22",65
"2018-02-23",50
"2018-02-24",68
"2018-02-25",83
"2018-02-26",83
"2018-02-27",76
"2018-02-28",58
"2018-03-01",77
"2018-03-02",55
"2018-03-03",69
"2018-03-04",81
"2018-03-05",61
"2018-03-06",61
"2018-03-07",53
"2018-03-08",45
"2018-03-09",38
"2018-03-10",52
"2018-03-11",80
"2018-03-12",57
"2018-03-13",49
"2018-03-14",48
"2018-03-15",43
"2018-03-16",41
"2018-03-17",51
"2018-03-18",69
"2018-03-19",49
"2018-03-20",46
"2018-03-21",33
"2018-03-22",39
"2018-03-23",31
"2018-03-24",37
"2018-03-25",55
"2018-03-26",42
"2018-03-27",39
"2018-03-28",34
"2018-03-29",37
"2018-03-30",34
"2018-03-31",49
"2018-04-01",61
"2018-04-02",45
"2018-04-03",49
"2018-04-04",40
"2018-04-05",41
"2018-04-06",37
"2018-04-07",38
"2018-04-08",51
"2018-04-09",40
"2018-04-10",39
"2018-04-11",40
"2018-04-12",42
"2018-04-13",28
"2018-04-14",45
"2018-04-15",62
"2018-04-16",41
"2018-04-17",51
"2018-04-18",42
"2018-04-19",41
