네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","크록스"
"2017-08-01",66
"2017-08-02",62
"2017-08-03",59
"2017-08-04",51
"2017-08-05",52
"2017-08-06",64
"2017-08-07",60
"2017-08-08",62
"2017-08-09",58
"2017-08-10",51
"2017-08-11",42
"2017-08-12",44
"2017-08-13",49
"2017-08-14",41
"2017-08-15",54
"2017-08-16",41
"2017-08-17",33
"2017-08-18",31
"2017-08-19",29
"2017-08-20",45
"2017-08-21",40
"2017-08-22",34
"2017-08-23",40
"2017-08-24",33
"2017-08-25",25
"2017-08-26",24
"2017-08-27",33
"2017-08-28",25
"2017-08-29",24
"2017-08-30",23
"2017-08-31",21
"2017-09-01",18
"2017-09-02",18
"2017-09-03",25
"2017-09-04",21
"2017-09-05",23
"2017-09-06",21
"2017-09-07",19
"2017-09-08",16
"2017-09-09",19
"2017-09-10",24
"2017-09-11",27
"2017-09-12",22
"2017-09-13",22
"2017-09-14",18
"2017-09-15",16
"2017-09-16",16
"2017-09-17",19
"2017-09-18",21
"2017-09-19",18
"2017-09-20",18
"2017-09-21",15
"2017-09-22",15
"2017-09-23",18
"2017-09-24",21
"2017-09-25",22
"2017-09-26",21
"2017-09-27",20
"2017-09-28",14
"2017-09-29",14
"2017-09-30",16
"2017-10-01",16
"2017-10-02",19
"2017-10-03",14
"2017-10-04",13
"2017-10-05",18
"2017-10-06",21
"2017-10-07",18
"2017-10-08",19
"2017-10-09",28
"2017-10-10",22
"2017-10-11",23
"2017-10-12",22
"2017-10-13",21
"2017-10-14",17
"2017-10-15",22
"2017-10-16",25
"2017-10-17",24
"2017-10-18",22
"2017-10-19",21
"2017-10-20",18
"2017-10-21",14
"2017-10-22",19
"2017-10-23",18
"2017-10-24",16
"2017-10-25",18
"2017-10-26",16
"2017-10-27",15
"2017-10-28",15
"2017-10-29",18
"2017-10-30",21
"2017-10-31",18
"2017-11-01",21
"2017-11-02",20
"2017-11-03",19
"2017-11-04",18
"2017-11-05",21
"2017-11-06",20
"2017-11-07",21
"2017-11-08",20
"2017-11-09",18
"2017-11-10",15
"2017-11-11",16
"2017-11-12",21
"2017-11-13",19
"2017-11-14",18
"2017-11-15",17
"2017-11-16",20
"2017-11-17",17
"2017-11-18",20
"2017-11-19",22
"2017-11-20",23
"2017-11-21",21
"2017-11-22",19
"2017-11-23",21
"2017-11-24",19
"2017-11-25",21
"2017-11-26",21
"2017-11-27",21
"2017-11-28",20
"2017-11-29",20
"2017-11-30",20
"2017-12-01",21
"2017-12-02",18
"2017-12-03",25
"2017-12-04",24
"2017-12-05",23
"2017-12-06",23
"2017-12-07",19
"2017-12-08",19
"2017-12-09",17
"2017-12-10",27
"2017-12-11",28
"2017-12-12",27
"2017-12-13",21
"2017-12-14",23
"2017-12-15",14
"2017-12-16",15
"2017-12-17",22
"2017-12-18",20
"2017-12-19",16
"2017-12-20",17
"2017-12-21",14
"2017-12-22",13
"2017-12-23",17
"2017-12-24",20
"2017-12-25",19
"2017-12-26",19
"2017-12-27",19
"2017-12-28",16
"2017-12-29",13
"2017-12-30",15
"2017-12-31",14
"2018-01-01",22
"2018-01-02",24
"2018-01-03",24
"2018-01-04",23
"2018-01-05",20
"2018-01-06",27
"2018-01-07",32
"2018-01-08",29
"2018-01-09",27
"2018-01-10",30
"2018-01-11",29
"2018-01-12",25
"2018-01-13",26
"2018-01-14",27
"2018-01-15",37
"2018-01-16",33
"2018-01-17",31
"2018-01-18",24
"2018-01-19",21
"2018-01-20",29
"2018-01-21",29
"2018-01-22",27
"2018-01-23",27
"2018-01-24",32
"2018-01-25",27
"2018-01-26",23
"2018-01-27",25
"2018-01-28",26
"2018-01-29",27
"2018-01-30",29
"2018-01-31",30
"2018-02-01",31
"2018-02-02",20
"2018-02-03",25
"2018-02-04",27
"2018-02-05",25
"2018-02-06",26
"2018-02-07",23
"2018-02-08",24
"2018-02-09",18
"2018-02-10",20
"2018-02-11",29
"2018-02-12",24
"2018-02-13",22
"2018-02-14",21
"2018-02-15",20
"2018-02-16",19
"2018-02-17",24
"2018-02-18",33
"2018-02-19",35
"2018-02-20",33
"2018-02-21",38
"2018-02-22",29
"2018-02-23",29
"2018-02-24",34
"2018-02-25",44
"2018-02-26",45
"2018-02-27",43
"2018-02-28",34
"2018-03-01",56
"2018-03-02",40
"2018-03-03",45
"2018-03-04",59
"2018-03-05",51
"2018-03-06",44
"2018-03-07",45
"2018-03-08",43
"2018-03-09",41
"2018-03-10",47
"2018-03-11",63
"2018-03-12",54
"2018-03-13",51
"2018-03-14",59
"2018-03-15",59
"2018-03-16",46
"2018-03-17",52
"2018-03-18",67
"2018-03-19",57
"2018-03-20",50
"2018-03-21",46
"2018-03-22",50
"2018-03-23",45
"2018-03-24",46
"2018-03-25",68
"2018-03-26",68
"2018-03-27",61
"2018-03-28",62
"2018-03-29",71
"2018-03-30",53
"2018-03-31",64
"2018-04-01",95
"2018-04-02",91
"2018-04-03",100
"2018-04-04",75
"2018-04-05",70
"2018-04-06",58
"2018-04-07",57
"2018-04-08",67
"2018-04-09",72
"2018-04-10",67
"2018-04-11",72
"2018-04-12",71
"2018-04-13",62
"2018-04-14",59
"2018-04-15",77
"2018-04-16",79
"2018-04-17",70
"2018-04-18",71
"2018-04-19",72
