네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","빈폴가방"
"2017-08-01",16
"2017-08-02",16
"2017-08-03",16
"2017-08-04",16
"2017-08-05",18
"2017-08-06",21
"2017-08-07",22
"2017-08-08",13
"2017-08-09",14
"2017-08-10",19
"2017-08-11",17
"2017-08-12",18
"2017-08-13",24
"2017-08-14",21
"2017-08-15",34
"2017-08-16",29
"2017-08-17",36
"2017-08-18",30
"2017-08-19",35
"2017-08-20",34
"2017-08-21",34
"2017-08-22",33
"2017-08-23",35
"2017-08-24",46
"2017-08-25",33
"2017-08-26",36
"2017-08-27",50
"2017-08-28",35
"2017-08-29",29
"2017-08-30",28
"2017-08-31",30
"2017-09-01",29
"2017-09-02",38
"2017-09-03",41
"2017-09-04",31
"2017-09-05",32
"2017-09-06",30
"2017-09-07",30
"2017-09-08",25
"2017-09-09",34
"2017-09-10",41
"2017-09-11",28
"2017-09-12",29
"2017-09-13",29
"2017-09-14",26
"2017-09-15",26
"2017-09-16",33
"2017-09-17",39
"2017-09-18",26
"2017-09-19",30
"2017-09-20",28
"2017-09-21",23
"2017-09-22",24
"2017-09-23",33
"2017-09-24",40
"2017-09-25",33
"2017-09-26",29
"2017-09-27",29
"2017-09-28",34
"2017-09-29",30
"2017-09-30",43
"2017-10-01",51
"2017-10-02",40
"2017-10-03",39
"2017-10-04",36
"2017-10-05",43
"2017-10-06",55
"2017-10-07",52
"2017-10-08",66
"2017-10-09",57
"2017-10-10",44
"2017-10-11",44
"2017-10-12",42
"2017-10-13",36
"2017-10-14",48
"2017-10-15",49
"2017-10-16",40
"2017-10-17",40
"2017-10-18",40
"2017-10-19",48
"2017-10-20",38
"2017-10-21",39
"2017-10-22",53
"2017-10-23",43
"2017-10-24",40
"2017-10-25",32
"2017-10-26",36
"2017-10-27",32
"2017-10-28",39
"2017-10-29",51
"2017-10-30",34
"2017-10-31",34
"2017-11-01",30
"2017-11-02",31
"2017-11-03",34
"2017-11-04",42
"2017-11-05",48
"2017-11-06",35
"2017-11-07",30
"2017-11-08",37
"2017-11-09",39
"2017-11-10",38
"2017-11-11",41
"2017-11-12",46
"2017-11-13",36
"2017-11-14",35
"2017-11-15",30
"2017-11-16",33
"2017-11-17",30
"2017-11-18",37
"2017-11-19",49
"2017-11-20",35
"2017-11-21",34
"2017-11-22",35
"2017-11-23",29
"2017-11-24",26
"2017-11-25",37
"2017-11-26",47
"2017-11-27",35
"2017-11-28",31
"2017-11-29",33
"2017-11-30",33
"2017-12-01",32
"2017-12-02",37
"2017-12-03",46
"2017-12-04",32
"2017-12-05",30
"2017-12-06",35
"2017-12-07",33
"2017-12-08",29
"2017-12-09",42
"2017-12-10",54
"2017-12-11",39
"2017-12-12",36
"2017-12-13",35
"2017-12-14",36
"2017-12-15",27
"2017-12-16",40
"2017-12-17",50
"2017-12-18",36
"2017-12-19",35
"2017-12-20",37
"2017-12-21",34
"2017-12-22",28
"2017-12-23",51
"2017-12-24",57
"2017-12-25",65
"2017-12-26",48
"2017-12-27",50
"2017-12-28",44
"2017-12-29",40
"2017-12-30",53
"2017-12-31",60
"2018-01-01",57
"2018-01-02",46
"2018-01-03",55
"2018-01-04",46
"2018-01-05",56
"2018-01-06",69
"2018-01-07",88
"2018-01-08",66
"2018-01-09",64
"2018-01-10",65
"2018-01-11",57
"2018-01-12",54
"2018-01-13",72
"2018-01-14",89
"2018-01-15",66
"2018-01-16",54
"2018-01-17",53
"2018-01-18",52
"2018-01-19",47
"2018-01-20",67
"2018-01-21",80
"2018-01-22",61
"2018-01-23",57
"2018-01-24",54
"2018-01-25",50
"2018-01-26",49
"2018-01-27",65
"2018-01-28",80
"2018-01-29",61
"2018-01-30",58
"2018-01-31",61
"2018-02-01",56
"2018-02-02",56
"2018-02-03",76
"2018-02-04",100
"2018-02-05",64
"2018-02-06",58
"2018-02-07",57
"2018-02-08",56
"2018-02-09",51
"2018-02-10",65
"2018-02-11",79
"2018-02-12",51
"2018-02-13",55
"2018-02-14",53
"2018-02-15",59
"2018-02-16",61
"2018-02-17",79
"2018-02-18",95
"2018-02-19",73
"2018-02-20",60
"2018-02-21",65
"2018-02-22",54
"2018-02-23",52
"2018-02-24",65
"2018-02-25",82
"2018-02-26",59
"2018-02-27",60
"2018-02-28",49
"2018-03-01",74
"2018-03-02",48
"2018-03-03",66
"2018-03-04",82
"2018-03-05",50
"2018-03-06",45
"2018-03-07",38
"2018-03-08",42
"2018-03-09",40
"2018-03-10",55
"2018-03-11",76
"2018-03-12",46
"2018-03-13",41
"2018-03-14",41
"2018-03-15",44
"2018-03-16",35
"2018-03-17",45
"2018-03-18",69
"2018-03-19",42
"2018-03-20",47
"2018-03-21",40
"2018-03-22",40
"2018-03-23",36
"2018-03-24",42
"2018-03-25",53
"2018-03-26",42
"2018-03-27",35
"2018-03-28",32
"2018-03-29",35
"2018-03-30",29
"2018-03-31",48
"2018-04-01",53
"2018-04-02",30
"2018-04-03",28
"2018-04-04",32
"2018-04-05",30
"2018-04-06",30
"2018-04-07",44
"2018-04-08",55
"2018-04-09",40
"2018-04-10",33
"2018-04-11",36
"2018-04-12",29
"2018-04-13",33
"2018-04-14",39
"2018-04-15",48
"2018-04-16",41
"2018-04-17",33
"2018-04-18",28
"2018-04-19",31
