네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","나이키에어맥스95"
"2017-08-01",13
"2017-08-02",11
"2017-08-03",10
"2017-08-04",8
"2017-08-05",9
"2017-08-06",11
"2017-08-07",10
"2017-08-08",11
"2017-08-09",11
"2017-08-10",13
"2017-08-11",11
"2017-08-12",9
"2017-08-13",15
"2017-08-14",12
"2017-08-15",14
"2017-08-16",13
"2017-08-17",15
"2017-08-18",12
"2017-08-19",11
"2017-08-20",17
"2017-08-21",14
"2017-08-22",15
"2017-08-23",13
"2017-08-24",12
"2017-08-25",13
"2017-08-26",13
"2017-08-27",16
"2017-08-28",13
"2017-08-29",13
"2017-08-30",13
"2017-08-31",11
"2017-09-01",10
"2017-09-02",15
"2017-09-03",16
"2017-09-04",17
"2017-09-05",13
"2017-09-06",15
"2017-09-07",13
"2017-09-08",13
"2017-09-09",13
"2017-09-10",19
"2017-09-11",16
"2017-09-12",16
"2017-09-13",14
"2017-09-14",16
"2017-09-15",12
"2017-09-16",13
"2017-09-17",17
"2017-09-18",14
"2017-09-19",18
"2017-09-20",13
"2017-09-21",14
"2017-09-22",11
"2017-09-23",13
"2017-09-24",16
"2017-09-25",15
"2017-09-26",17
"2017-09-27",17
"2017-09-28",15
"2017-09-29",12
"2017-09-30",13
"2017-10-01",20
"2017-10-02",20
"2017-10-03",19
"2017-10-04",19
"2017-10-05",21
"2017-10-06",25
"2017-10-07",21
"2017-10-08",22
"2017-10-09",27
"2017-10-10",23
"2017-10-11",22
"2017-10-12",25
"2017-10-13",20
"2017-10-14",24
"2017-10-15",25
"2017-10-16",24
"2017-10-17",22
"2017-10-18",21
"2017-10-19",20
"2017-10-20",20
"2017-10-21",20
"2017-10-22",25
"2017-10-23",20
"2017-10-24",19
"2017-10-25",19
"2017-10-26",18
"2017-10-27",20
"2017-10-28",18
"2017-10-29",23
"2017-10-30",22
"2017-10-31",22
"2017-11-01",25
"2017-11-02",22
"2017-11-03",18
"2017-11-04",22
"2017-11-05",27
"2017-11-06",25
"2017-11-07",25
"2017-11-08",22
"2017-11-09",21
"2017-11-10",17
"2017-11-11",21
"2017-11-12",32
"2017-11-13",31
"2017-11-14",27
"2017-11-15",24
"2017-11-16",24
"2017-11-17",20
"2017-11-18",25
"2017-11-19",32
"2017-11-20",33
"2017-11-21",29
"2017-11-22",27
"2017-11-23",25
"2017-11-24",27
"2017-11-25",25
"2017-11-26",31
"2017-11-27",34
"2017-11-28",29
"2017-11-29",25
"2017-11-30",25
"2017-12-01",24
"2017-12-02",24
"2017-12-03",37
"2017-12-04",35
"2017-12-05",29
"2017-12-06",25
"2017-12-07",26
"2017-12-08",23
"2017-12-09",25
"2017-12-10",39
"2017-12-11",31
"2017-12-12",29
"2017-12-13",25
"2017-12-14",28
"2017-12-15",24
"2017-12-16",27
"2017-12-17",34
"2017-12-18",30
"2017-12-19",23
"2017-12-20",27
"2017-12-21",23
"2017-12-22",21
"2017-12-23",28
"2017-12-24",29
"2017-12-25",37
"2017-12-26",37
"2017-12-27",35
"2017-12-28",34
"2017-12-29",31
"2017-12-30",27
"2017-12-31",26
"2018-01-01",33
"2018-01-02",30
"2018-01-03",34
"2018-01-04",31
"2018-01-05",28
"2018-01-06",36
"2018-01-07",42
"2018-01-08",37
"2018-01-09",37
"2018-01-10",38
"2018-01-11",36
"2018-01-12",36
"2018-01-13",41
"2018-01-14",55
"2018-01-15",53
"2018-01-16",39
"2018-01-17",38
"2018-01-18",36
"2018-01-19",35
"2018-01-20",55
"2018-01-21",61
"2018-01-22",47
"2018-01-23",46
"2018-01-24",46
"2018-01-25",45
"2018-01-26",44
"2018-01-27",45
"2018-01-28",60
"2018-01-29",48
"2018-01-30",50
"2018-01-31",44
"2018-02-01",47
"2018-02-02",44
"2018-02-03",53
"2018-02-04",80
"2018-02-05",69
"2018-02-06",67
"2018-02-07",59
"2018-02-08",57
"2018-02-09",58
"2018-02-10",77
"2018-02-11",100
"2018-02-12",63
"2018-02-13",59
"2018-02-14",62
"2018-02-15",64
"2018-02-16",63
"2018-02-17",72
"2018-02-18",95
"2018-02-19",88
"2018-02-20",68
"2018-02-21",87
"2018-02-22",81
"2018-02-23",76
"2018-02-24",84
"2018-02-25",90
"2018-02-26",82
"2018-02-27",74
"2018-02-28",60
"2018-03-01",82
"2018-03-02",68
"2018-03-03",66
"2018-03-04",87
"2018-03-05",68
"2018-03-06",67
"2018-03-07",61
"2018-03-08",66
"2018-03-09",61
"2018-03-10",60
"2018-03-11",82
"2018-03-12",61
"2018-03-13",58
"2018-03-14",51
"2018-03-15",46
"2018-03-16",48
"2018-03-17",49
"2018-03-18",66
"2018-03-19",53
"2018-03-20",57
"2018-03-21",50
"2018-03-22",52
"2018-03-23",49
"2018-03-24",50
"2018-03-25",61
"2018-03-26",50
"2018-03-27",50
"2018-03-28",46
"2018-03-29",39
"2018-03-30",33
"2018-03-31",38
"2018-04-01",54
"2018-04-02",49
"2018-04-03",46
"2018-04-04",45
"2018-04-05",40
"2018-04-06",35
"2018-04-07",41
"2018-04-08",51
"2018-04-09",42
"2018-04-10",42
"2018-04-11",41
"2018-04-12",40
"2018-04-13",34
"2018-04-14",37
"2018-04-15",53
"2018-04-16",43
"2018-04-17",40
"2018-04-18",36
"2018-04-19",31
