네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","나이키에어맥스97"
"2017-08-01",2
"2017-08-02",2
"2017-08-03",3
"2017-08-04",3
"2017-08-05",3
"2017-08-06",2
"2017-08-07",3
"2017-08-08",3
"2017-08-09",3
"2017-08-10",3
"2017-08-11",4
"2017-08-12",3
"2017-08-13",4
"2017-08-14",4
"2017-08-15",4
"2017-08-16",4
"2017-08-17",4
"2017-08-18",4
"2017-08-19",4
"2017-08-20",4
"2017-08-21",5
"2017-08-22",5
"2017-08-23",5
"2017-08-24",6
"2017-08-25",5
"2017-08-26",6
"2017-08-27",10
"2017-08-28",8
"2017-08-29",8
"2017-08-30",8
"2017-08-31",8
"2017-09-01",9
"2017-09-02",9
"2017-09-03",12
"2017-09-04",12
"2017-09-05",11
"2017-09-06",11
"2017-09-07",15
"2017-09-08",13
"2017-09-09",12
"2017-09-10",15
"2017-09-11",13
"2017-09-12",13
"2017-09-13",11
"2017-09-14",13
"2017-09-15",10
"2017-09-16",11
"2017-09-17",12
"2017-09-18",13
"2017-09-19",16
"2017-09-20",12
"2017-09-21",11
"2017-09-22",13
"2017-09-23",12
"2017-09-24",14
"2017-09-25",17
"2017-09-26",19
"2017-09-27",17
"2017-09-28",19
"2017-09-29",15
"2017-09-30",16
"2017-10-01",23
"2017-10-02",20
"2017-10-03",18
"2017-10-04",19
"2017-10-05",26
"2017-10-06",28
"2017-10-07",32
"2017-10-08",26
"2017-10-09",35
"2017-10-10",34
"2017-10-11",38
"2017-10-12",31
"2017-10-13",25
"2017-10-14",30
"2017-10-15",37
"2017-10-16",34
"2017-10-17",34
"2017-10-18",31
"2017-10-19",28
"2017-10-20",23
"2017-10-21",25
"2017-10-22",31
"2017-10-23",31
"2017-10-24",30
"2017-10-25",31
"2017-10-26",30
"2017-10-27",25
"2017-10-28",24
"2017-10-29",31
"2017-10-30",34
"2017-10-31",29
"2017-11-01",30
"2017-11-02",34
"2017-11-03",29
"2017-11-04",34
"2017-11-05",34
"2017-11-06",33
"2017-11-07",35
"2017-11-08",33
"2017-11-09",31
"2017-11-10",29
"2017-11-11",27
"2017-11-12",35
"2017-11-13",38
"2017-11-14",39
"2017-11-15",36
"2017-11-16",33
"2017-11-17",32
"2017-11-18",28
"2017-11-19",33
"2017-11-20",37
"2017-11-21",33
"2017-11-22",35
"2017-11-23",33
"2017-11-24",34
"2017-11-25",28
"2017-11-26",35
"2017-11-27",34
"2017-11-28",34
"2017-11-29",32
"2017-11-30",34
"2017-12-01",28
"2017-12-02",35
"2017-12-03",48
"2017-12-04",45
"2017-12-05",44
"2017-12-06",46
"2017-12-07",45
"2017-12-08",44
"2017-12-09",63
"2017-12-10",80
"2017-12-11",76
"2017-12-12",71
"2017-12-13",64
"2017-12-14",62
"2017-12-15",50
"2017-12-16",50
"2017-12-17",64
"2017-12-18",55
"2017-12-19",53
"2017-12-20",53
"2017-12-21",47
"2017-12-22",43
"2017-12-23",43
"2017-12-24",45
"2017-12-25",54
"2017-12-26",49
"2017-12-27",47
"2017-12-28",39
"2017-12-29",37
"2017-12-30",39
"2017-12-31",40
"2018-01-01",47
"2018-01-02",46
"2018-01-03",44
"2018-01-04",49
"2018-01-05",51
"2018-01-06",57
"2018-01-07",69
"2018-01-08",61
"2018-01-09",60
"2018-01-10",60
"2018-01-11",56
"2018-01-12",52
"2018-01-13",52
"2018-01-14",71
"2018-01-15",63
"2018-01-16",64
"2018-01-17",62
"2018-01-18",62
"2018-01-19",61
"2018-01-20",61
"2018-01-21",67
"2018-01-22",65
"2018-01-23",62
"2018-01-24",59
"2018-01-25",53
"2018-01-26",48
"2018-01-27",52
"2018-01-28",67
"2018-01-29",67
"2018-01-30",67
"2018-01-31",67
"2018-02-01",69
"2018-02-02",57
"2018-02-03",62
"2018-02-04",83
"2018-02-05",80
"2018-02-06",75
"2018-02-07",71
"2018-02-08",68
"2018-02-09",62
"2018-02-10",62
"2018-02-11",84
"2018-02-12",65
"2018-02-13",62
"2018-02-14",60
"2018-02-15",69
"2018-02-16",81
"2018-02-17",83
"2018-02-18",100
"2018-02-19",93
"2018-02-20",79
"2018-02-21",79
"2018-02-22",69
"2018-02-23",64
"2018-02-24",63
"2018-02-25",90
"2018-02-26",72
"2018-02-27",74
"2018-02-28",62
"2018-03-01",84
"2018-03-02",66
"2018-03-03",65
"2018-03-04",89
"2018-03-05",71
"2018-03-06",69
"2018-03-07",62
"2018-03-08",75
"2018-03-09",66
"2018-03-10",63
"2018-03-11",81
"2018-03-12",61
"2018-03-13",62
"2018-03-14",60
"2018-03-15",60
"2018-03-16",53
"2018-03-17",51
"2018-03-18",68
"2018-03-19",61
"2018-03-20",54
"2018-03-21",55
"2018-03-22",50
"2018-03-23",45
"2018-03-24",49
"2018-03-25",63
"2018-03-26",52
"2018-03-27",51
"2018-03-28",45
"2018-03-29",43
"2018-03-30",39
"2018-03-31",47
"2018-04-01",66
"2018-04-02",64
"2018-04-03",64
"2018-04-04",57
"2018-04-05",53
"2018-04-06",49
"2018-04-07",57
"2018-04-08",66
"2018-04-09",68
"2018-04-10",64
"2018-04-11",57
"2018-04-12",54
"2018-04-13",44
"2018-04-14",46
"2018-04-15",56
"2018-04-16",53
"2018-04-17",56
"2018-04-18",49
"2018-04-19",45
