네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","나이키베이퍼맥스"
"2017-08-01",31
"2017-08-02",27
"2017-08-03",43
"2017-08-04",38
"2017-08-05",33
"2017-08-06",35
"2017-08-07",36
"2017-08-08",40
"2017-08-09",46
"2017-08-10",39
"2017-08-11",46
"2017-08-12",39
"2017-08-13",40
"2017-08-14",41
"2017-08-15",39
"2017-08-16",39
"2017-08-17",37
"2017-08-18",43
"2017-08-19",35
"2017-08-20",49
"2017-08-21",41
"2017-08-22",40
"2017-08-23",39
"2017-08-24",35
"2017-08-25",50
"2017-08-26",55
"2017-08-27",60
"2017-08-28",42
"2017-08-29",41
"2017-08-30",62
"2017-08-31",48
"2017-09-01",41
"2017-09-02",50
"2017-09-03",62
"2017-09-04",54
"2017-09-05",39
"2017-09-06",41
"2017-09-07",35
"2017-09-08",35
"2017-09-09",32
"2017-09-10",34
"2017-09-11",31
"2017-09-12",35
"2017-09-13",27
"2017-09-14",24
"2017-09-15",27
"2017-09-16",27
"2017-09-17",29
"2017-09-18",31
"2017-09-19",31
"2017-09-20",26
"2017-09-21",26
"2017-09-22",33
"2017-09-23",29
"2017-09-24",30
"2017-09-25",35
"2017-09-26",45
"2017-09-27",37
"2017-09-28",38
"2017-09-29",45
"2017-09-30",39
"2017-10-01",39
"2017-10-02",35
"2017-10-03",33
"2017-10-04",35
"2017-10-05",38
"2017-10-06",49
"2017-10-07",46
"2017-10-08",56
"2017-10-09",54
"2017-10-10",42
"2017-10-11",37
"2017-10-12",32
"2017-10-13",37
"2017-10-14",34
"2017-10-15",40
"2017-10-16",37
"2017-10-17",45
"2017-10-18",45
"2017-10-19",57
"2017-10-20",37
"2017-10-21",38
"2017-10-22",43
"2017-10-23",47
"2017-10-24",45
"2017-10-25",51
"2017-10-26",43
"2017-10-27",38
"2017-10-28",39
"2017-10-29",39
"2017-10-30",40
"2017-10-31",38
"2017-11-01",56
"2017-11-02",64
"2017-11-03",49
"2017-11-04",47
"2017-11-05",57
"2017-11-06",57
"2017-11-07",44
"2017-11-08",46
"2017-11-09",46
"2017-11-10",36
"2017-11-11",33
"2017-11-12",53
"2017-11-13",55
"2017-11-14",46
"2017-11-15",35
"2017-11-16",38
"2017-11-17",34
"2017-11-18",33
"2017-11-19",40
"2017-11-20",36
"2017-11-21",50
"2017-11-22",40
"2017-11-23",36
"2017-11-24",38
"2017-11-25",39
"2017-11-26",52
"2017-11-27",56
"2017-11-28",48
"2017-11-29",43
"2017-11-30",43
"2017-12-01",41
"2017-12-02",46
"2017-12-03",64
"2017-12-04",54
"2017-12-05",50
"2017-12-06",45
"2017-12-07",44
"2017-12-08",44
"2017-12-09",42
"2017-12-10",60
"2017-12-11",48
"2017-12-12",48
"2017-12-13",45
"2017-12-14",47
"2017-12-15",46
"2017-12-16",45
"2017-12-17",62
"2017-12-18",63
"2017-12-19",43
"2017-12-20",53
"2017-12-21",65
"2017-12-22",63
"2017-12-23",70
"2017-12-24",62
"2017-12-25",77
"2017-12-26",69
"2017-12-27",68
"2017-12-28",58
"2017-12-29",57
"2017-12-30",61
"2017-12-31",61
"2018-01-01",88
"2018-01-02",70
"2018-01-03",63
"2018-01-04",57
"2018-01-05",66
"2018-01-06",70
"2018-01-07",85
"2018-01-08",77
"2018-01-09",74
"2018-01-10",75
"2018-01-11",73
"2018-01-12",58
"2018-01-13",68
"2018-01-14",87
"2018-01-15",83
"2018-01-16",75
"2018-01-17",85
"2018-01-18",72
"2018-01-19",73
"2018-01-20",81
"2018-01-21",100
"2018-01-22",88
"2018-01-23",76
"2018-01-24",66
"2018-01-25",70
"2018-01-26",59
"2018-01-27",61
"2018-01-28",88
"2018-01-29",80
"2018-01-30",71
"2018-01-31",67
"2018-02-01",75
"2018-02-02",63
"2018-02-03",68
"2018-02-04",78
"2018-02-05",69
"2018-02-06",67
"2018-02-07",66
"2018-02-08",66
"2018-02-09",61
"2018-02-10",70
"2018-02-11",88
"2018-02-12",62
"2018-02-13",65
"2018-02-14",59
"2018-02-15",57
"2018-02-16",63
"2018-02-17",79
"2018-02-18",100
"2018-02-19",92
"2018-02-20",88
"2018-02-21",78
"2018-02-22",74
"2018-02-23",67
"2018-02-24",79
"2018-02-25",89
"2018-02-26",83
"2018-02-27",87
"2018-02-28",80
"2018-03-01",95
"2018-03-02",77
"2018-03-03",74
"2018-03-04",96
"2018-03-05",95
"2018-03-06",86
"2018-03-07",82
"2018-03-08",88
"2018-03-09",70
"2018-03-10",69
"2018-03-11",90
"2018-03-12",71
"2018-03-13",76
"2018-03-14",79
"2018-03-15",65
"2018-03-16",56
"2018-03-17",60
"2018-03-18",75
"2018-03-19",72
"2018-03-20",67
"2018-03-21",66
"2018-03-22",79
"2018-03-23",68
"2018-03-24",75
"2018-03-25",96
"2018-03-26",89
"2018-03-27",88
"2018-03-28",78
"2018-03-29",79
"2018-03-30",74
"2018-03-31",71
"2018-04-01",93
"2018-04-02",81
"2018-04-03",75
"2018-04-04",70
"2018-04-05",71
"2018-04-06",60
"2018-04-07",68
"2018-04-08",70
"2018-04-09",76
"2018-04-10",75
"2018-04-11",63
"2018-04-12",62
"2018-04-13",70
"2018-04-14",75
"2018-04-15",87
"2018-04-16",82
"2018-04-17",82
"2018-04-18",75
"2018-04-19",78
