네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","슬리퍼"
"2017-08-01",61
"2017-08-02",60
"2017-08-03",60
"2017-08-04",43
"2017-08-05",50
"2017-08-06",58
"2017-08-07",60
"2017-08-08",59
"2017-08-09",53
"2017-08-10",48
"2017-08-11",43
"2017-08-12",42
"2017-08-13",54
"2017-08-14",49
"2017-08-15",60
"2017-08-16",50
"2017-08-17",45
"2017-08-18",45
"2017-08-19",48
"2017-08-20",56
"2017-08-21",51
"2017-08-22",48
"2017-08-23",53
"2017-08-24",52
"2017-08-25",37
"2017-08-26",38
"2017-08-27",49
"2017-08-28",41
"2017-08-29",42
"2017-08-30",36
"2017-08-31",33
"2017-09-01",27
"2017-09-02",33
"2017-09-03",36
"2017-09-04",36
"2017-09-05",35
"2017-09-06",33
"2017-09-07",33
"2017-09-08",29
"2017-09-09",30
"2017-09-10",40
"2017-09-11",37
"2017-09-12",37
"2017-09-13",33
"2017-09-14",33
"2017-09-15",28
"2017-09-16",34
"2017-09-17",37
"2017-09-18",38
"2017-09-19",41
"2017-09-20",39
"2017-09-21",33
"2017-09-22",28
"2017-09-23",22
"2017-09-24",41
"2017-09-25",37
"2017-09-26",35
"2017-09-27",33
"2017-09-28",24
"2017-09-29",18
"2017-09-30",20
"2017-10-01",20
"2017-10-02",20
"2017-10-03",18
"2017-10-04",19
"2017-10-05",22
"2017-10-06",26
"2017-10-07",29
"2017-10-08",38
"2017-10-09",46
"2017-10-10",41
"2017-10-11",35
"2017-10-12",33
"2017-10-13",24
"2017-10-14",25
"2017-10-15",34
"2017-10-16",32
"2017-10-17",35
"2017-10-18",29
"2017-10-19",28
"2017-10-20",25
"2017-10-21",27
"2017-10-22",37
"2017-10-23",33
"2017-10-24",33
"2017-10-25",32
"2017-10-26",28
"2017-10-27",26
"2017-10-28",29
"2017-10-29",36
"2017-10-30",34
"2017-10-31",31
"2017-11-01",30
"2017-11-02",31
"2017-11-03",26
"2017-11-04",26
"2017-11-05",39
"2017-11-06",40
"2017-11-07",35
"2017-11-08",35
"2017-11-09",35
"2017-11-10",28
"2017-11-11",29
"2017-11-12",35
"2017-11-13",34
"2017-11-14",40
"2017-11-15",32
"2017-11-16",32
"2017-11-17",21
"2017-11-18",20
"2017-11-19",24
"2017-11-20",27
"2017-11-21",26
"2017-11-22",30
"2017-11-23",27
"2017-11-24",22
"2017-11-25",18
"2017-11-26",28
"2017-11-27",25
"2017-11-28",26
"2017-11-29",23
"2017-11-30",21
"2017-12-01",21
"2017-12-02",20
"2017-12-03",24
"2017-12-04",25
"2017-12-05",31
"2017-12-06",23
"2017-12-07",25
"2017-12-08",22
"2017-12-09",18
"2017-12-10",25
"2017-12-11",25
"2017-12-12",23
"2017-12-13",22
"2017-12-14",21
"2017-12-15",16
"2017-12-16",17
"2017-12-17",20
"2017-12-18",19
"2017-12-19",19
"2017-12-20",15
"2017-12-21",17
"2017-12-22",14
"2017-12-23",15
"2017-12-24",19
"2017-12-25",16
"2017-12-26",18
"2017-12-27",22
"2017-12-28",18
"2017-12-29",16
"2017-12-30",16
"2017-12-31",21
"2018-01-01",21
"2018-01-02",23
"2018-01-03",26
"2018-01-04",23
"2018-01-05",21
"2018-01-06",20
"2018-01-07",27
"2018-01-08",27
"2018-01-09",27
"2018-01-10",24
"2018-01-11",20
"2018-01-12",17
"2018-01-13",18
"2018-01-14",25
"2018-01-15",32
"2018-01-16",34
"2018-01-17",31
"2018-01-18",27
"2018-01-19",23
"2018-01-20",26
"2018-01-21",33
"2018-01-22",33
"2018-01-23",31
"2018-01-24",28
"2018-01-25",29
"2018-01-26",24
"2018-01-27",27
"2018-01-28",35
"2018-01-29",37
"2018-01-30",40
"2018-01-31",34
"2018-02-01",39
"2018-02-02",28
"2018-02-03",35
"2018-02-04",44
"2018-02-05",36
"2018-02-06",34
"2018-02-07",31
"2018-02-08",27
"2018-02-09",26
"2018-02-10",32
"2018-02-11",40
"2018-02-12",29
"2018-02-13",29
"2018-02-14",30
"2018-02-15",32
"2018-02-16",37
"2018-02-17",35
"2018-02-18",50
"2018-02-19",64
"2018-02-20",63
"2018-02-21",66
"2018-02-22",62
"2018-02-23",53
"2018-02-24",62
"2018-02-25",81
"2018-02-26",78
"2018-02-27",83
"2018-02-28",70
"2018-03-01",84
"2018-03-02",61
"2018-03-03",62
"2018-03-04",86
"2018-03-05",58
"2018-03-06",57
"2018-03-07",57
"2018-03-08",47
"2018-03-09",39
"2018-03-10",46
"2018-03-11",61
"2018-03-12",55
"2018-03-13",58
"2018-03-14",66
"2018-03-15",60
"2018-03-16",49
"2018-03-17",63
"2018-03-18",79
"2018-03-19",68
"2018-03-20",60
"2018-03-21",55
"2018-03-22",50
"2018-03-23",41
"2018-03-24",46
"2018-03-25",67
"2018-03-26",64
"2018-03-27",62
"2018-03-28",67
"2018-03-29",64
"2018-03-30",62
"2018-03-31",67
"2018-04-01",81
"2018-04-02",99
"2018-04-03",100
"2018-04-04",93
"2018-04-05",83
"2018-04-06",66
"2018-04-07",56
"2018-04-08",73
"2018-04-09",64
"2018-04-10",77
"2018-04-11",81
"2018-04-12",85
"2018-04-13",64
"2018-04-14",70
"2018-04-15",82
"2018-04-16",85
"2018-04-17",85
"2018-04-18",85
"2018-04-19",86
