네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","리복운동화"
"2017-08-01",29
"2017-08-02",28
"2017-08-03",25
"2017-08-04",21
"2017-08-05",23
"2017-08-06",25
"2017-08-07",25
"2017-08-08",22
"2017-08-09",24
"2017-08-10",20
"2017-08-11",24
"2017-08-12",25
"2017-08-13",23
"2017-08-14",23
"2017-08-15",31
"2017-08-16",35
"2017-08-17",31
"2017-08-18",24
"2017-08-19",26
"2017-08-20",41
"2017-08-21",28
"2017-08-22",32
"2017-08-23",27
"2017-08-24",31
"2017-08-25",29
"2017-08-26",27
"2017-08-27",35
"2017-08-28",31
"2017-08-29",37
"2017-08-30",35
"2017-08-31",31
"2017-09-01",30
"2017-09-02",35
"2017-09-03",43
"2017-09-04",35
"2017-09-05",36
"2017-09-06",35
"2017-09-07",40
"2017-09-08",31
"2017-09-09",36
"2017-09-10",50
"2017-09-11",50
"2017-09-12",39
"2017-09-13",40
"2017-09-14",38
"2017-09-15",30
"2017-09-16",45
"2017-09-17",46
"2017-09-18",40
"2017-09-19",38
"2017-09-20",42
"2017-09-21",33
"2017-09-22",33
"2017-09-23",36
"2017-09-24",48
"2017-09-25",47
"2017-09-26",43
"2017-09-27",36
"2017-09-28",33
"2017-09-29",28
"2017-09-30",34
"2017-10-01",48
"2017-10-02",43
"2017-10-03",39
"2017-10-04",41
"2017-10-05",44
"2017-10-06",54
"2017-10-07",55
"2017-10-08",54
"2017-10-09",63
"2017-10-10",56
"2017-10-11",57
"2017-10-12",53
"2017-10-13",44
"2017-10-14",51
"2017-10-15",61
"2017-10-16",41
"2017-10-17",51
"2017-10-18",47
"2017-10-19",41
"2017-10-20",31
"2017-10-21",39
"2017-10-22",53
"2017-10-23",44
"2017-10-24",47
"2017-10-25",46
"2017-10-26",40
"2017-10-27",33
"2017-10-28",40
"2017-10-29",53
"2017-10-30",45
"2017-10-31",40
"2017-11-01",47
"2017-11-02",42
"2017-11-03",38
"2017-11-04",46
"2017-11-05",60
"2017-11-06",49
"2017-11-07",46
"2017-11-08",50
"2017-11-09",46
"2017-11-10",36
"2017-11-11",40
"2017-11-12",57
"2017-11-13",55
"2017-11-14",51
"2017-11-15",48
"2017-11-16",46
"2017-11-17",44
"2017-11-18",47
"2017-11-19",62
"2017-11-20",48
"2017-11-21",46
"2017-11-22",48
"2017-11-23",50
"2017-11-24",46
"2017-11-25",46
"2017-11-26",56
"2017-11-27",57
"2017-11-28",51
"2017-11-29",47
"2017-11-30",47
"2017-12-01",37
"2017-12-02",44
"2017-12-03",57
"2017-12-04",66
"2017-12-05",56
"2017-12-06",55
"2017-12-07",47
"2017-12-08",43
"2017-12-09",49
"2017-12-10",68
"2017-12-11",49
"2017-12-12",51
"2017-12-13",46
"2017-12-14",48
"2017-12-15",43
"2017-12-16",45
"2017-12-17",55
"2017-12-18",49
"2017-12-19",49
"2017-12-20",46
"2017-12-21",41
"2017-12-22",34
"2017-12-23",41
"2017-12-24",54
"2017-12-25",65
"2017-12-26",54
"2017-12-27",48
"2017-12-28",45
"2017-12-29",42
"2017-12-30",42
"2017-12-31",47
"2018-01-01",63
"2018-01-02",53
"2018-01-03",53
"2018-01-04",46
"2018-01-05",40
"2018-01-06",45
"2018-01-07",59
"2018-01-08",55
"2018-01-09",53
"2018-01-10",48
"2018-01-11",45
"2018-01-12",43
"2018-01-13",54
"2018-01-14",68
"2018-01-15",58
"2018-01-16",55
"2018-01-17",53
"2018-01-18",54
"2018-01-19",46
"2018-01-20",53
"2018-01-21",68
"2018-01-22",53
"2018-01-23",56
"2018-01-24",50
"2018-01-25",48
"2018-01-26",45
"2018-01-27",52
"2018-01-28",61
"2018-01-29",59
"2018-01-30",57
"2018-01-31",63
"2018-02-01",59
"2018-02-02",46
"2018-02-03",60
"2018-02-04",80
"2018-02-05",59
"2018-02-06",52
"2018-02-07",51
"2018-02-08",55
"2018-02-09",46
"2018-02-10",54
"2018-02-11",77
"2018-02-12",54
"2018-02-13",49
"2018-02-14",44
"2018-02-15",41
"2018-02-16",43
"2018-02-17",65
"2018-02-18",82
"2018-02-19",73
"2018-02-20",54
"2018-02-21",58
"2018-02-22",53
"2018-02-23",54
"2018-02-24",60
"2018-02-25",80
"2018-02-26",67
"2018-02-27",68
"2018-02-28",59
"2018-03-01",80
"2018-03-02",68
"2018-03-03",68
"2018-03-04",100
"2018-03-05",71
"2018-03-06",67
"2018-03-07",65
"2018-03-08",65
"2018-03-09",53
"2018-03-10",65
"2018-03-11",78
"2018-03-12",63
"2018-03-13",69
"2018-03-14",59
"2018-03-15",64
"2018-03-16",51
"2018-03-17",61
"2018-03-18",76
"2018-03-19",66
"2018-03-20",45
"2018-03-21",45
"2018-03-22",48
"2018-03-23",39
"2018-03-24",57
"2018-03-25",72
"2018-03-26",62
"2018-03-27",56
"2018-03-28",51
"2018-03-29",56
"2018-03-30",45
"2018-03-31",49
"2018-04-01",81
"2018-04-02",62
"2018-04-03",50
"2018-04-04",55
"2018-04-05",54
"2018-04-06",34
"2018-04-07",47
"2018-04-08",55
"2018-04-09",48
"2018-04-10",47
"2018-04-11",48
"2018-04-12",47
"2018-04-13",36
"2018-04-14",42
"2018-04-15",56
"2018-04-16",54
"2018-04-17",38
"2018-04-18",41
"2018-04-19",42
