네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","기계식키보드"
"2017-08-01",45
"2017-08-02",44
"2017-08-03",39
"2017-08-04",45
"2017-08-05",38
"2017-08-06",46
"2017-08-07",48
"2017-08-08",49
"2017-08-09",40
"2017-08-10",40
"2017-08-11",40
"2017-08-12",32
"2017-08-13",45
"2017-08-14",43
"2017-08-15",53
"2017-08-16",51
"2017-08-17",45
"2017-08-18",37
"2017-08-19",37
"2017-08-20",49
"2017-08-21",52
"2017-08-22",53
"2017-08-23",48
"2017-08-24",38
"2017-08-25",39
"2017-08-26",44
"2017-08-27",48
"2017-08-28",43
"2017-08-29",50
"2017-08-30",45
"2017-08-31",45
"2017-09-01",38
"2017-09-02",41
"2017-09-03",47
"2017-09-04",48
"2017-09-05",46
"2017-09-06",43
"2017-09-07",37
"2017-09-08",31
"2017-09-09",35
"2017-09-10",46
"2017-09-11",42
"2017-09-12",37
"2017-09-13",34
"2017-09-14",37
"2017-09-15",34
"2017-09-16",37
"2017-09-17",42
"2017-09-18",40
"2017-09-19",41
"2017-09-20",37
"2017-09-21",37
"2017-09-22",33
"2017-09-23",31
"2017-09-24",40
"2017-09-25",44
"2017-09-26",51
"2017-09-27",52
"2017-09-28",45
"2017-09-29",43
"2017-09-30",43
"2017-10-01",46
"2017-10-02",54
"2017-10-03",52
"2017-10-04",65
"2017-10-05",70
"2017-10-06",61
"2017-10-07",71
"2017-10-08",68
"2017-10-09",79
"2017-10-10",85
"2017-10-11",80
"2017-10-12",64
"2017-10-13",53
"2017-10-14",58
"2017-10-15",70
"2017-10-16",66
"2017-10-17",62
"2017-10-18",62
"2017-10-19",54
"2017-10-20",48
"2017-10-21",51
"2017-10-22",56
"2017-10-23",57
"2017-10-24",59
"2017-10-25",59
"2017-10-26",57
"2017-10-27",42
"2017-10-28",55
"2017-10-29",58
"2017-10-30",56
"2017-10-31",49
"2017-11-01",50
"2017-11-02",49
"2017-11-03",47
"2017-11-04",44
"2017-11-05",51
"2017-11-06",52
"2017-11-07",52
"2017-11-08",59
"2017-11-09",56
"2017-11-10",51
"2017-11-11",52
"2017-11-12",60
"2017-11-13",57
"2017-11-14",50
"2017-11-15",39
"2017-11-16",46
"2017-11-17",43
"2017-11-18",47
"2017-11-19",51
"2017-11-20",54
"2017-11-21",52
"2017-11-22",51
"2017-11-23",52
"2017-11-24",46
"2017-11-25",49
"2017-11-26",54
"2017-11-27",60
"2017-11-28",52
"2017-11-29",52
"2017-11-30",48
"2017-12-01",44
"2017-12-02",51
"2017-12-03",50
"2017-12-04",57
"2017-12-05",67
"2017-12-06",63
"2017-12-07",64
"2017-12-08",50
"2017-12-09",62
"2017-12-10",68
"2017-12-11",66
"2017-12-12",63
"2017-12-13",56
"2017-12-14",49
"2017-12-15",51
"2017-12-16",61
"2017-12-17",75
"2017-12-18",65
"2017-12-19",73
"2017-12-20",59
"2017-12-21",53
"2017-12-22",55
"2017-12-23",57
"2017-12-24",68
"2017-12-25",75
"2017-12-26",71
"2017-12-27",66
"2017-12-28",68
"2017-12-29",60
"2017-12-30",75
"2017-12-31",73
"2018-01-01",78
"2018-01-02",76
"2018-01-03",73
"2018-01-04",76
"2018-01-05",65
"2018-01-06",61
"2018-01-07",73
"2018-01-08",71
"2018-01-09",74
"2018-01-10",69
"2018-01-11",69
"2018-01-12",63
"2018-01-13",74
"2018-01-14",78
"2018-01-15",79
"2018-01-16",81
"2018-01-17",72
"2018-01-18",79
"2018-01-19",75
"2018-01-20",74
"2018-01-21",68
"2018-01-22",80
"2018-01-23",84
"2018-01-24",73
"2018-01-25",70
"2018-01-26",70
"2018-01-27",66
"2018-01-28",72
"2018-01-29",75
"2018-01-30",75
"2018-01-31",69
"2018-02-01",75
"2018-02-02",59
"2018-02-03",61
"2018-02-04",70
"2018-02-05",69
"2018-02-06",71
"2018-02-07",66
"2018-02-08",64
"2018-02-09",55
"2018-02-10",57
"2018-02-11",68
"2018-02-12",73
"2018-02-13",61
"2018-02-14",53
"2018-02-15",62
"2018-02-16",88
"2018-02-17",90
"2018-02-18",89
"2018-02-19",100
"2018-02-20",87
"2018-02-21",82
"2018-02-22",76
"2018-02-23",71
"2018-02-24",64
"2018-02-25",71
"2018-02-26",76
"2018-02-27",73
"2018-02-28",66
"2018-03-01",71
"2018-03-02",59
"2018-03-03",61
"2018-03-04",59
"2018-03-05",53
"2018-03-06",51
"2018-03-07",49
"2018-03-08",48
"2018-03-09",44
"2018-03-10",58
"2018-03-11",60
"2018-03-12",53
"2018-03-13",50
"2018-03-14",45
"2018-03-15",44
"2018-03-16",38
"2018-03-17",43
"2018-03-18",54
"2018-03-19",53
"2018-03-20",51
"2018-03-21",49
"2018-03-22",51
"2018-03-23",44
"2018-03-24",45
"2018-03-25",49
"2018-03-26",48
"2018-03-27",45
"2018-03-28",49
"2018-03-29",43
"2018-03-30",38
"2018-03-31",39
"2018-04-01",50
"2018-04-02",48
"2018-04-03",43
"2018-04-04",44
"2018-04-05",43
"2018-04-06",42
"2018-04-07",43
"2018-04-08",46
"2018-04-09",43
"2018-04-10",40
"2018-04-11",40
"2018-04-12",40
"2018-04-13",40
"2018-04-14",47
"2018-04-15",50
"2018-04-16",43
"2018-04-17",45
"2018-04-18",45
"2018-04-19",40
