네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","아이폰케이스"
"2017-08-01",64
"2017-08-02",69
"2017-08-03",67
"2017-08-04",60
"2017-08-05",67
"2017-08-06",90
"2017-08-07",89
"2017-08-08",92
"2017-08-09",97
"2017-08-10",84
"2017-08-11",78
"2017-08-12",75
"2017-08-13",100
"2017-08-14",80
"2017-08-15",92
"2017-08-16",80
"2017-08-17",76
"2017-08-18",68
"2017-08-19",71
"2017-08-20",89
"2017-08-21",73
"2017-08-22",77
"2017-08-23",76
"2017-08-24",76
"2017-08-25",68
"2017-08-26",63
"2017-08-27",76
"2017-08-28",55
"2017-08-29",66
"2017-08-30",59
"2017-08-31",58
"2017-09-01",55
"2017-09-02",54
"2017-09-03",69
"2017-09-04",58
"2017-09-05",67
"2017-09-06",62
"2017-09-07",60
"2017-09-08",59
"2017-09-09",55
"2017-09-10",79
"2017-09-11",77
"2017-09-12",68
"2017-09-13",73
"2017-09-14",61
"2017-09-15",58
"2017-09-16",63
"2017-09-17",80
"2017-09-18",68
"2017-09-19",82
"2017-09-20",70
"2017-09-21",65
"2017-09-22",63
"2017-09-23",57
"2017-09-24",78
"2017-09-25",71
"2017-09-26",72
"2017-09-27",61
"2017-09-28",47
"2017-09-29",50
"2017-09-30",53
"2017-10-01",63
"2017-10-02",63
"2017-10-03",68
"2017-10-04",72
"2017-10-05",64
"2017-10-06",83
"2017-10-07",85
"2017-10-08",89
"2017-10-09",89
"2017-10-10",80
"2017-10-11",77
"2017-10-12",65
"2017-10-13",55
"2017-10-14",65
"2017-10-15",84
"2017-10-16",72
"2017-10-17",72
"2017-10-18",79
"2017-10-19",73
"2017-10-20",58
"2017-10-21",73
"2017-10-22",87
"2017-10-23",75
"2017-10-24",68
"2017-10-25",80
"2017-10-26",66
"2017-10-27",58
"2017-10-28",67
"2017-10-29",85
"2017-10-30",65
"2017-10-31",59
"2017-11-01",58
"2017-11-02",56
"2017-11-03",60
"2017-11-04",73
"2017-11-05",84
"2017-11-06",82
"2017-11-07",81
"2017-11-08",75
"2017-11-09",65
"2017-11-10",57
"2017-11-11",63
"2017-11-12",82
"2017-11-13",75
"2017-11-14",63
"2017-11-15",58
"2017-11-16",57
"2017-11-17",53
"2017-11-18",54
"2017-11-19",62
"2017-11-20",58
"2017-11-21",55
"2017-11-22",54
"2017-11-23",46
"2017-11-24",46
"2017-11-25",45
"2017-11-26",56
"2017-11-27",48
"2017-11-28",54
"2017-11-29",46
"2017-11-30",53
"2017-12-01",43
"2017-12-02",57
"2017-12-03",56
"2017-12-04",60
"2017-12-05",51
"2017-12-06",54
"2017-12-07",52
"2017-12-08",37
"2017-12-09",37
"2017-12-10",51
"2017-12-11",46
"2017-12-12",41
"2017-12-13",42
"2017-12-14",33
"2017-12-15",35
"2017-12-16",43
"2017-12-17",44
"2017-12-18",37
"2017-12-19",36
"2017-12-20",35
"2017-12-21",33
"2017-12-22",28
"2017-12-23",31
"2017-12-24",37
"2017-12-25",37
"2017-12-26",38
"2017-12-27",34
"2017-12-28",38
"2017-12-29",32
"2017-12-30",32
"2017-12-31",35
"2018-01-01",40
"2018-01-02",47
"2018-01-03",50
"2018-01-04",44
"2018-01-05",34
"2018-01-06",38
"2018-01-07",52
"2018-01-08",46
"2018-01-09",45
"2018-01-10",41
"2018-01-11",44
"2018-01-12",38
"2018-01-13",45
"2018-01-14",54
"2018-01-15",43
"2018-01-16",42
"2018-01-17",43
"2018-01-18",37
"2018-01-19",33
"2018-01-20",38
"2018-01-21",46
"2018-01-22",45
"2018-01-23",45
"2018-01-24",43
"2018-01-25",40
"2018-01-26",42
"2018-01-27",46
"2018-01-28",49
"2018-01-29",47
"2018-01-30",46
"2018-01-31",44
"2018-02-01",45
"2018-02-02",39
"2018-02-03",35
"2018-02-04",47
"2018-02-05",46
"2018-02-06",44
"2018-02-07",35
"2018-02-08",37
"2018-02-09",34
"2018-02-10",32
"2018-02-11",44
"2018-02-12",39
"2018-02-13",37
"2018-02-14",30
"2018-02-15",35
"2018-02-16",46
"2018-02-17",51
"2018-02-18",50
"2018-02-19",57
"2018-02-20",48
"2018-02-21",50
"2018-02-22",48
"2018-02-23",44
"2018-02-24",43
"2018-02-25",47
"2018-02-26",45
"2018-02-27",46
"2018-02-28",44
"2018-03-01",47
"2018-03-02",36
"2018-03-03",44
"2018-03-04",56
"2018-03-05",46
"2018-03-06",38
"2018-03-07",38
"2018-03-08",37
"2018-03-09",37
"2018-03-10",41
"2018-03-11",56
"2018-03-12",46
"2018-03-13",46
"2018-03-14",39
"2018-03-15",41
"2018-03-16",34
"2018-03-17",44
"2018-03-18",52
"2018-03-19",45
"2018-03-20",33
"2018-03-21",37
"2018-03-22",32
"2018-03-23",30
"2018-03-24",45
"2018-03-25",51
"2018-03-26",45
"2018-03-27",38
"2018-03-28",35
"2018-03-29",36
"2018-03-30",30
"2018-03-31",41
"2018-04-01",55
"2018-04-02",46
"2018-04-03",40
"2018-04-04",46
"2018-04-05",40
"2018-04-06",41
"2018-04-07",48
"2018-04-08",56
"2018-04-09",57
"2018-04-10",59
"2018-04-11",50
"2018-04-12",47
"2018-04-13",43
"2018-04-14",57
"2018-04-15",64
"2018-04-16",51
"2018-04-17",55
"2018-04-18",50
"2018-04-19",51
