네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","가습기"
"2017-08-01",1
"2017-08-02",1
"2017-08-03",1
"2017-08-04",1
"2017-08-05",1
"2017-08-06",1
"2017-08-07",1
"2017-08-08",1
"2017-08-09",1
"2017-08-10",1
"2017-08-11",1
"2017-08-12",1
"2017-08-13",1
"2017-08-14",1
"2017-08-15",1
"2017-08-16",1
"2017-08-17",1
"2017-08-18",1
"2017-08-19",1
"2017-08-20",1
"2017-08-21",1
"2017-08-22",1
"2017-08-23",1
"2017-08-24",1
"2017-08-25",1
"2017-08-26",2
"2017-08-27",2
"2017-08-28",2
"2017-08-29",5
"2017-08-30",8
"2017-08-31",6
"2017-09-01",5
"2017-09-02",5
"2017-09-03",6
"2017-09-04",6
"2017-09-05",5
"2017-09-06",5
"2017-09-07",4
"2017-09-08",4
"2017-09-09",3
"2017-09-10",5
"2017-09-11",5
"2017-09-12",5
"2017-09-13",7
"2017-09-14",7
"2017-09-15",7
"2017-09-16",7
"2017-09-17",8
"2017-09-18",9
"2017-09-19",7
"2017-09-20",7
"2017-09-21",8
"2017-09-22",6
"2017-09-23",6
"2017-09-24",6
"2017-09-25",7
"2017-09-26",7
"2017-09-27",6
"2017-09-28",6
"2017-09-29",8
"2017-09-30",9
"2017-10-01",9
"2017-10-02",6
"2017-10-03",6
"2017-10-04",7
"2017-10-05",9
"2017-10-06",10
"2017-10-07",10
"2017-10-08",9
"2017-10-09",10
"2017-10-10",11
"2017-10-11",11
"2017-10-12",14
"2017-10-13",14
"2017-10-14",15
"2017-10-15",22
"2017-10-16",25
"2017-10-17",26
"2017-10-18",23
"2017-10-19",19
"2017-10-20",16
"2017-10-21",14
"2017-10-22",20
"2017-10-23",27
"2017-10-24",27
"2017-10-25",24
"2017-10-26",25
"2017-10-27",20
"2017-10-28",16
"2017-10-29",26
"2017-10-30",44
"2017-10-31",46
"2017-11-01",44
"2017-11-02",35
"2017-11-03",25
"2017-11-04",27
"2017-11-05",41
"2017-11-06",46
"2017-11-07",41
"2017-11-08",35
"2017-11-09",38
"2017-11-10",31
"2017-11-11",31
"2017-11-12",45
"2017-11-13",55
"2017-11-14",53
"2017-11-15",59
"2017-11-16",63
"2017-11-17",56
"2017-11-18",55
"2017-11-19",83
"2017-11-20",100
"2017-11-21",93
"2017-11-22",79
"2017-11-23",68
"2017-11-24",53
"2017-11-25",45
"2017-11-26",54
"2017-11-27",54
"2017-11-28",53
"2017-11-29",50
"2017-11-30",50
"2017-12-01",53
"2017-12-02",50
"2017-12-03",53
"2017-12-04",60
"2017-12-05",63
"2017-12-06",56
"2017-12-07",46
"2017-12-08",40
"2017-12-09",39
"2017-12-10",44
"2017-12-11",54
"2017-12-12",60
"2017-12-13",60
"2017-12-14",55
"2017-12-15",43
"2017-12-16",37
"2017-12-17",49
"2017-12-18",50
"2017-12-19",44
"2017-12-20",41
"2017-12-21",36
"2017-12-22",28
"2017-12-23",24
"2017-12-24",24
"2017-12-25",32
"2017-12-26",39
"2017-12-27",39
"2017-12-28",37
"2017-12-29",27
"2017-12-30",26
"2017-12-31",24
"2018-01-01",32
"2018-01-02",40
"2018-01-03",42
"2018-01-04",41
"2018-01-05",32
"2018-01-06",32
"2018-01-07",37
"2018-01-08",40
"2018-01-09",38
"2018-01-10",34
"2018-01-11",41
"2018-01-12",38
"2018-01-13",35
"2018-01-14",38
"2018-01-15",36
"2018-01-16",32
"2018-01-17",28
"2018-01-18",25
"2018-01-19",21
"2018-01-20",23
"2018-01-21",27
"2018-01-22",28
"2018-01-23",29
"2018-01-24",33
"2018-01-25",35
"2018-01-26",31
"2018-01-27",33
"2018-01-28",37
"2018-01-29",39
"2018-01-30",36
"2018-01-31",28
"2018-02-01",26
"2018-02-02",23
"2018-02-03",22
"2018-02-04",31
"2018-02-05",35
"2018-02-06",34
"2018-02-07",31
"2018-02-08",26
"2018-02-09",19
"2018-02-10",17
"2018-02-11",23
"2018-02-12",21
"2018-02-13",17
"2018-02-14",12
"2018-02-15",12
"2018-02-16",11
"2018-02-17",18
"2018-02-18",26
"2018-02-19",29
"2018-02-20",22
"2018-02-21",22
"2018-02-22",20
"2018-02-23",14
"2018-02-24",12
"2018-02-25",15
"2018-02-26",18
"2018-02-27",16
"2018-02-28",13
"2018-03-01",13
"2018-03-02",13
"2018-03-03",12
"2018-03-04",14
"2018-03-05",11
"2018-03-06",11
"2018-03-07",10
"2018-03-08",9
"2018-03-09",8
"2018-03-10",8
"2018-03-11",9
"2018-03-12",11
"2018-03-13",10
"2018-03-14",8
"2018-03-15",6
"2018-03-16",4
"2018-03-17",5
"2018-03-18",8
"2018-03-19",7
"2018-03-20",9
"2018-03-21",8
"2018-03-22",9
"2018-03-23",6
"2018-03-24",7
"2018-03-25",8
"2018-03-26",11
"2018-03-27",9
"2018-03-28",8
"2018-03-29",6
"2018-03-30",6
"2018-03-31",5
"2018-04-01",7
"2018-04-02",6
"2018-04-03",6
"2018-04-04",4
"2018-04-05",4
"2018-04-06",4
"2018-04-07",5
"2018-04-08",7
"2018-04-09",7
"2018-04-10",7
"2018-04-11",6
"2018-04-12",6
"2018-04-13",6
"2018-04-14",6
"2018-04-15",7
"2018-04-16",7
"2018-04-17",7
"2018-04-18",6
"2018-04-19",7
