네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","전기포트"
"2017-08-01",17
"2017-08-02",13
"2017-08-03",13
"2017-08-04",15
"2017-08-05",14
"2017-08-06",20
"2017-08-07",23
"2017-08-08",17
"2017-08-09",19
"2017-08-10",17
"2017-08-11",15
"2017-08-12",14
"2017-08-13",21
"2017-08-14",22
"2017-08-15",28
"2017-08-16",27
"2017-08-17",19
"2017-08-18",16
"2017-08-19",18
"2017-08-20",31
"2017-08-21",26
"2017-08-22",21
"2017-08-23",20
"2017-08-24",19
"2017-08-25",15
"2017-08-26",14
"2017-08-27",23
"2017-08-28",28
"2017-08-29",27
"2017-08-30",26
"2017-08-31",18
"2017-09-01",19
"2017-09-02",21
"2017-09-03",28
"2017-09-04",29
"2017-09-05",29
"2017-09-06",25
"2017-09-07",22
"2017-09-08",21
"2017-09-09",20
"2017-09-10",26
"2017-09-11",32
"2017-09-12",27
"2017-09-13",23
"2017-09-14",23
"2017-09-15",16
"2017-09-16",22
"2017-09-17",31
"2017-09-18",27
"2017-09-19",27
"2017-09-20",22
"2017-09-21",21
"2017-09-22",19
"2017-09-23",20
"2017-09-24",27
"2017-09-25",26
"2017-09-26",26
"2017-09-27",24
"2017-09-28",17
"2017-09-29",15
"2017-09-30",19
"2017-10-01",24
"2017-10-02",23
"2017-10-03",24
"2017-10-04",28
"2017-10-05",33
"2017-10-06",55
"2017-10-07",50
"2017-10-08",39
"2017-10-09",54
"2017-10-10",49
"2017-10-11",53
"2017-10-12",47
"2017-10-13",34
"2017-10-14",31
"2017-10-15",50
"2017-10-16",51
"2017-10-17",40
"2017-10-18",43
"2017-10-19",41
"2017-10-20",32
"2017-10-21",34
"2017-10-22",41
"2017-10-23",51
"2017-10-24",46
"2017-10-25",36
"2017-10-26",41
"2017-10-27",31
"2017-10-28",33
"2017-10-29",43
"2017-10-30",47
"2017-10-31",38
"2017-11-01",45
"2017-11-02",46
"2017-11-03",31
"2017-11-04",38
"2017-11-05",49
"2017-11-06",58
"2017-11-07",48
"2017-11-08",45
"2017-11-09",40
"2017-11-10",33
"2017-11-11",39
"2017-11-12",49
"2017-11-13",59
"2017-11-14",54
"2017-11-15",45
"2017-11-16",46
"2017-11-17",40
"2017-11-18",41
"2017-11-19",60
"2017-11-20",65
"2017-11-21",59
"2017-11-22",52
"2017-11-23",47
"2017-11-24",42
"2017-11-25",40
"2017-11-26",50
"2017-11-27",51
"2017-11-28",44
"2017-11-29",46
"2017-11-30",44
"2017-12-01",45
"2017-12-02",50
"2017-12-03",56
"2017-12-04",58
"2017-12-05",59
"2017-12-06",57
"2017-12-07",53
"2017-12-08",44
"2017-12-09",46
"2017-12-10",59
"2017-12-11",59
"2017-12-12",56
"2017-12-13",54
"2017-12-14",48
"2017-12-15",47
"2017-12-16",42
"2017-12-17",69
"2017-12-18",53
"2017-12-19",56
"2017-12-20",49
"2017-12-21",40
"2017-12-22",35
"2017-12-23",33
"2017-12-24",43
"2017-12-25",55
"2017-12-26",57
"2017-12-27",50
"2017-12-28",62
"2017-12-29",43
"2017-12-30",49
"2017-12-31",47
"2018-01-01",68
"2018-01-02",64
"2018-01-03",58
"2018-01-04",61
"2018-01-05",47
"2018-01-06",47
"2018-01-07",77
"2018-01-08",74
"2018-01-09",57
"2018-01-10",61
"2018-01-11",62
"2018-01-12",54
"2018-01-13",51
"2018-01-14",64
"2018-01-15",54
"2018-01-16",56
"2018-01-17",53
"2018-01-18",47
"2018-01-19",42
"2018-01-20",46
"2018-01-21",68
"2018-01-22",54
"2018-01-23",61
"2018-01-24",56
"2018-01-25",59
"2018-01-26",50
"2018-01-27",46
"2018-01-28",71
"2018-01-29",70
"2018-01-30",64
"2018-01-31",58
"2018-02-01",61
"2018-02-02",47
"2018-02-03",51
"2018-02-04",76
"2018-02-05",80
"2018-02-06",71
"2018-02-07",65
"2018-02-08",54
"2018-02-09",41
"2018-02-10",44
"2018-02-11",67
"2018-02-12",57
"2018-02-13",37
"2018-02-14",36
"2018-02-15",39
"2018-02-16",48
"2018-02-17",64
"2018-02-18",100
"2018-02-19",92
"2018-02-20",77
"2018-02-21",67
"2018-02-22",62
"2018-02-23",55
"2018-02-24",48
"2018-02-25",70
"2018-02-26",66
"2018-02-27",60
"2018-02-28",58
"2018-03-01",65
"2018-03-02",56
"2018-03-03",51
"2018-03-04",70
"2018-03-05",61
"2018-03-06",53
"2018-03-07",57
"2018-03-08",58
"2018-03-09",44
"2018-03-10",37
"2018-03-11",55
"2018-03-12",55
"2018-03-13",55
"2018-03-14",47
"2018-03-15",41
"2018-03-16",36
"2018-03-17",38
"2018-03-18",52
"2018-03-19",56
"2018-03-20",55
"2018-03-21",51
"2018-03-22",43
"2018-03-23",38
"2018-03-24",40
"2018-03-25",58
"2018-03-26",49
"2018-03-27",46
"2018-03-28",49
"2018-03-29",40
"2018-03-30",33
"2018-03-31",37
"2018-04-01",43
"2018-04-02",42
"2018-04-03",33
"2018-04-04",38
"2018-04-05",36
"2018-04-06",38
"2018-04-07",40
"2018-04-08",52
"2018-04-09",52
"2018-04-10",49
"2018-04-11",41
"2018-04-12",35
"2018-04-13",34
"2018-04-14",39
"2018-04-15",47
"2018-04-16",45
"2018-04-17",40
"2018-04-18",41
"2018-04-19",32
