네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","갤럭시s8"
"2017-08-01",26
"2017-08-02",26
"2017-08-03",26
"2017-08-04",26
"2017-08-05",32
"2017-08-06",33
"2017-08-07",29
"2017-08-08",27
"2017-08-09",29
"2017-08-10",28
"2017-08-11",26
"2017-08-12",33
"2017-08-13",32
"2017-08-14",27
"2017-08-15",37
"2017-08-16",29
"2017-08-17",30
"2017-08-18",29
"2017-08-19",33
"2017-08-20",42
"2017-08-21",28
"2017-08-22",26
"2017-08-23",28
"2017-08-24",43
"2017-08-25",26
"2017-08-26",30
"2017-08-27",31
"2017-08-28",20
"2017-08-29",24
"2017-08-30",20
"2017-08-31",16
"2017-09-01",18
"2017-09-02",25
"2017-09-03",25
"2017-09-04",20
"2017-09-05",21
"2017-09-06",20
"2017-09-07",25
"2017-09-08",21
"2017-09-09",24
"2017-09-10",43
"2017-09-11",40
"2017-09-12",28
"2017-09-13",29
"2017-09-14",25
"2017-09-15",31
"2017-09-16",36
"2017-09-17",41
"2017-09-18",33
"2017-09-19",29
"2017-09-20",27
"2017-09-21",24
"2017-09-22",22
"2017-09-23",30
"2017-09-24",29
"2017-09-25",35
"2017-09-26",41
"2017-09-27",40
"2017-09-28",33
"2017-09-29",32
"2017-09-30",44
"2017-10-01",83
"2017-10-02",67
"2017-10-03",52
"2017-10-04",61
"2017-10-05",61
"2017-10-06",85
"2017-10-07",56
"2017-10-08",56
"2017-10-09",61
"2017-10-10",64
"2017-10-11",58
"2017-10-12",56
"2017-10-13",46
"2017-10-14",48
"2017-10-15",50
"2017-10-16",51
"2017-10-17",67
"2017-10-18",50
"2017-10-19",40
"2017-10-20",38
"2017-10-21",42
"2017-10-22",44
"2017-10-23",50
"2017-10-24",45
"2017-10-25",40
"2017-10-26",41
"2017-10-27",43
"2017-10-28",49
"2017-10-29",51
"2017-10-30",41
"2017-10-31",46
"2017-11-01",46
"2017-11-02",43
"2017-11-03",44
"2017-11-04",67
"2017-11-05",80
"2017-11-06",47
"2017-11-07",54
"2017-11-08",54
"2017-11-09",51
"2017-11-10",47
"2017-11-11",59
"2017-11-12",66
"2017-11-13",57
"2017-11-14",57
"2017-11-15",51
"2017-11-16",51
"2017-11-17",49
"2017-11-18",69
"2017-11-19",63
"2017-11-20",46
"2017-11-21",41
"2017-11-22",42
"2017-11-23",40
"2017-11-24",46
"2017-11-25",44
"2017-11-26",46
"2017-11-27",42
"2017-11-28",50
"2017-11-29",44
"2017-11-30",37
"2017-12-01",39
"2017-12-02",53
"2017-12-03",53
"2017-12-04",44
"2017-12-05",48
"2017-12-06",37
"2017-12-07",41
"2017-12-08",45
"2017-12-09",50
"2017-12-10",57
"2017-12-11",48
"2017-12-12",47
"2017-12-13",44
"2017-12-14",40
"2017-12-15",41
"2017-12-16",57
"2017-12-17",53
"2017-12-18",41
"2017-12-19",42
"2017-12-20",41
"2017-12-21",38
"2017-12-22",33
"2017-12-23",46
"2017-12-24",44
"2017-12-25",41
"2017-12-26",45
"2017-12-27",42
"2017-12-28",38
"2017-12-29",34
"2017-12-30",57
"2017-12-31",52
"2018-01-01",45
"2018-01-02",45
"2018-01-03",60
"2018-01-04",34
"2018-01-05",40
"2018-01-06",61
"2018-01-07",66
"2018-01-08",51
"2018-01-09",42
"2018-01-10",38
"2018-01-11",38
"2018-01-12",40
"2018-01-13",55
"2018-01-14",56
"2018-01-15",44
"2018-01-16",40
"2018-01-17",41
"2018-01-18",38
"2018-01-19",43
"2018-01-20",56
"2018-01-21",57
"2018-01-22",46
"2018-01-23",43
"2018-01-24",44
"2018-01-25",43
"2018-01-26",38
"2018-01-27",59
"2018-01-28",52
"2018-01-29",47
"2018-01-30",40
"2018-01-31",37
"2018-02-01",39
"2018-02-02",36
"2018-02-03",65
"2018-02-04",62
"2018-02-05",43
"2018-02-06",43
"2018-02-07",42
"2018-02-08",43
"2018-02-09",40
"2018-02-10",58
"2018-02-11",57
"2018-02-12",43
"2018-02-13",35
"2018-02-14",41
"2018-02-15",47
"2018-02-16",49
"2018-02-17",54
"2018-02-18",62
"2018-02-19",54
"2018-02-20",49
"2018-02-21",44
"2018-02-22",37
"2018-02-23",38
"2018-02-24",55
"2018-02-25",68
"2018-02-26",93
"2018-02-27",70
"2018-02-28",74
"2018-03-01",75
"2018-03-02",64
"2018-03-03",86
"2018-03-04",96
"2018-03-05",63
"2018-03-06",53
"2018-03-07",57
"2018-03-08",57
"2018-03-09",63
"2018-03-10",100
"2018-03-11",85
"2018-03-12",54
"2018-03-13",43
"2018-03-14",40
"2018-03-15",36
"2018-03-16",41
"2018-03-17",51
"2018-03-18",53
"2018-03-19",38
"2018-03-20",31
"2018-03-21",30
"2018-03-22",27
"2018-03-23",26
"2018-03-24",44
"2018-03-25",43
"2018-03-26",26
"2018-03-27",24
"2018-03-28",23
"2018-03-29",21
"2018-03-30",33
"2018-03-31",48
"2018-04-01",71
"2018-04-02",63
"2018-04-03",58
"2018-04-04",54
"2018-04-05",50
"2018-04-06",58
"2018-04-07",71
"2018-04-08",70
"2018-04-09",62
"2018-04-10",69
"2018-04-11",58
"2018-04-12",57
"2018-04-13",50
"2018-04-14",68
"2018-04-15",60
"2018-04-16",54
"2018-04-17",56
"2018-04-18",49
"2018-04-19",48
