네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","태블릿pc"
"2017-08-01",41
"2017-08-02",36
"2017-08-03",43
"2017-08-04",37
"2017-08-05",34
"2017-08-06",41
"2017-08-07",42
"2017-08-08",49
"2017-08-09",46
"2017-08-10",44
"2017-08-11",35
"2017-08-12",42
"2017-08-13",39
"2017-08-14",35
"2017-08-15",51
"2017-08-16",38
"2017-08-17",36
"2017-08-18",35
"2017-08-19",35
"2017-08-20",47
"2017-08-21",43
"2017-08-22",33
"2017-08-23",40
"2017-08-24",42
"2017-08-25",31
"2017-08-26",35
"2017-08-27",40
"2017-08-28",32
"2017-08-29",38
"2017-08-30",32
"2017-08-31",30
"2017-09-01",30
"2017-09-02",38
"2017-09-03",44
"2017-09-04",33
"2017-09-05",37
"2017-09-06",37
"2017-09-07",37
"2017-09-08",32
"2017-09-09",36
"2017-09-10",42
"2017-09-11",42
"2017-09-12",38
"2017-09-13",41
"2017-09-14",39
"2017-09-15",31
"2017-09-16",35
"2017-09-17",36
"2017-09-18",37
"2017-09-19",32
"2017-09-20",37
"2017-09-21",30
"2017-09-22",27
"2017-09-23",28
"2017-09-24",41
"2017-09-25",41
"2017-09-26",46
"2017-09-27",43
"2017-09-28",45
"2017-09-29",42
"2017-09-30",40
"2017-10-01",45
"2017-10-02",45
"2017-10-03",37
"2017-10-04",37
"2017-10-05",46
"2017-10-06",52
"2017-10-07",47
"2017-10-08",55
"2017-10-09",64
"2017-10-10",56
"2017-10-11",63
"2017-10-12",63
"2017-10-13",46
"2017-10-14",50
"2017-10-15",57
"2017-10-16",43
"2017-10-17",47
"2017-10-18",46
"2017-10-19",46
"2017-10-20",44
"2017-10-21",51
"2017-10-22",62
"2017-10-23",59
"2017-10-24",63
"2017-10-25",57
"2017-10-26",47
"2017-10-27",48
"2017-10-28",54
"2017-10-29",62
"2017-10-30",53
"2017-10-31",50
"2017-11-01",47
"2017-11-02",58
"2017-11-03",50
"2017-11-04",51
"2017-11-05",60
"2017-11-06",48
"2017-11-07",57
"2017-11-08",49
"2017-11-09",52
"2017-11-10",46
"2017-11-11",53
"2017-11-12",67
"2017-11-13",56
"2017-11-14",49
"2017-11-15",50
"2017-11-16",47
"2017-11-17",46
"2017-11-18",54
"2017-11-19",61
"2017-11-20",59
"2017-11-21",56
"2017-11-22",52
"2017-11-23",56
"2017-11-24",61
"2017-11-25",55
"2017-11-26",70
"2017-11-27",67
"2017-11-28",63
"2017-11-29",53
"2017-11-30",57
"2017-12-01",62
"2017-12-02",62
"2017-12-03",75
"2017-12-04",75
"2017-12-05",62
"2017-12-06",64
"2017-12-07",60
"2017-12-08",56
"2017-12-09",61
"2017-12-10",73
"2017-12-11",61
"2017-12-12",61
"2017-12-13",61
"2017-12-14",64
"2017-12-15",60
"2017-12-16",65
"2017-12-17",88
"2017-12-18",67
"2017-12-19",71
"2017-12-20",56
"2017-12-21",55
"2017-12-22",49
"2017-12-23",70
"2017-12-24",78
"2017-12-25",70
"2017-12-26",67
"2017-12-27",65
"2017-12-28",66
"2017-12-29",58
"2017-12-30",65
"2017-12-31",72
"2018-01-01",73
"2018-01-02",71
"2018-01-03",77
"2018-01-04",76
"2018-01-05",61
"2018-01-06",63
"2018-01-07",73
"2018-01-08",82
"2018-01-09",75
"2018-01-10",71
"2018-01-11",65
"2018-01-12",57
"2018-01-13",67
"2018-01-14",81
"2018-01-15",70
"2018-01-16",73
"2018-01-17",76
"2018-01-18",66
"2018-01-19",61
"2018-01-20",71
"2018-01-21",83
"2018-01-22",72
"2018-01-23",70
"2018-01-24",74
"2018-01-25",69
"2018-01-26",62
"2018-01-27",65
"2018-01-28",78
"2018-01-29",63
"2018-01-30",70
"2018-01-31",78
"2018-02-01",73
"2018-02-02",65
"2018-02-03",80
"2018-02-04",88
"2018-02-05",83
"2018-02-06",75
"2018-02-07",72
"2018-02-08",64
"2018-02-09",53
"2018-02-10",63
"2018-02-11",73
"2018-02-12",65
"2018-02-13",68
"2018-02-14",63
"2018-02-15",69
"2018-02-16",78
"2018-02-17",89
"2018-02-18",91
"2018-02-19",78
"2018-02-20",76
"2018-02-21",77
"2018-02-22",68
"2018-02-23",72
"2018-02-24",82
"2018-02-25",77
"2018-02-26",87
"2018-02-27",86
"2018-02-28",72
"2018-03-01",86
"2018-03-02",83
"2018-03-03",91
"2018-03-04",100
"2018-03-05",80
"2018-03-06",75
"2018-03-07",75
"2018-03-08",80
"2018-03-09",81
"2018-03-10",95
"2018-03-11",94
"2018-03-12",70
"2018-03-13",69
"2018-03-14",62
"2018-03-15",66
"2018-03-16",66
"2018-03-17",74
"2018-03-18",98
"2018-03-19",74
"2018-03-20",63
"2018-03-21",65
"2018-03-22",73
"2018-03-23",59
"2018-03-24",66
"2018-03-25",81
"2018-03-26",65
"2018-03-27",59
"2018-03-28",71
"2018-03-29",70
"2018-03-30",54
"2018-03-31",61
"2018-04-01",67
"2018-04-02",69
"2018-04-03",57
"2018-04-04",65
"2018-04-05",64
"2018-04-06",60
"2018-04-07",70
"2018-04-08",83
"2018-04-09",60
"2018-04-10",59
"2018-04-11",54
"2018-04-12",57
"2018-04-13",46
"2018-04-14",61
"2018-04-15",66
"2018-04-16",63
"2018-04-17",63
"2018-04-18",56
"2018-04-19",58
