네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","모니터"
"2017-08-01",30
"2017-08-02",31
"2017-08-03",33
"2017-08-04",23
"2017-08-05",22
"2017-08-06",26
"2017-08-07",34
"2017-08-08",28
"2017-08-09",30
"2017-08-10",34
"2017-08-11",27
"2017-08-12",26
"2017-08-13",26
"2017-08-14",33
"2017-08-15",27
"2017-08-16",37
"2017-08-17",33
"2017-08-18",34
"2017-08-19",28
"2017-08-20",37
"2017-08-21",34
"2017-08-22",32
"2017-08-23",34
"2017-08-24",32
"2017-08-25",29
"2017-08-26",25
"2017-08-27",32
"2017-08-28",32
"2017-08-29",37
"2017-08-30",35
"2017-08-31",31
"2017-09-01",26
"2017-09-02",27
"2017-09-03",31
"2017-09-04",36
"2017-09-05",34
"2017-09-06",30
"2017-09-07",33
"2017-09-08",35
"2017-09-09",29
"2017-09-10",30
"2017-09-11",34
"2017-09-12",34
"2017-09-13",32
"2017-09-14",30
"2017-09-15",26
"2017-09-16",30
"2017-09-17",38
"2017-09-18",33
"2017-09-19",34
"2017-09-20",32
"2017-09-21",29
"2017-09-22",26
"2017-09-23",26
"2017-09-24",30
"2017-09-25",36
"2017-09-26",43
"2017-09-27",42
"2017-09-28",39
"2017-09-29",29
"2017-09-30",33
"2017-10-01",41
"2017-10-02",41
"2017-10-03",41
"2017-10-04",43
"2017-10-05",46
"2017-10-06",44
"2017-10-07",45
"2017-10-08",46
"2017-10-09",53
"2017-10-10",57
"2017-10-11",57
"2017-10-12",56
"2017-10-13",46
"2017-10-14",46
"2017-10-15",50
"2017-10-16",54
"2017-10-17",51
"2017-10-18",52
"2017-10-19",44
"2017-10-20",40
"2017-10-21",36
"2017-10-22",44
"2017-10-23",55
"2017-10-24",51
"2017-10-25",51
"2017-10-26",49
"2017-10-27",40
"2017-10-28",45
"2017-10-29",52
"2017-10-30",64
"2017-10-31",51
"2017-11-01",43
"2017-11-02",46
"2017-11-03",42
"2017-11-04",39
"2017-11-05",50
"2017-11-06",57
"2017-11-07",51
"2017-11-08",52
"2017-11-09",47
"2017-11-10",40
"2017-11-11",47
"2017-11-12",53
"2017-11-13",51
"2017-11-14",48
"2017-11-15",48
"2017-11-16",45
"2017-11-17",46
"2017-11-18",52
"2017-11-19",53
"2017-11-20",53
"2017-11-21",53
"2017-11-22",59
"2017-11-23",56
"2017-11-24",50
"2017-11-25",55
"2017-11-26",59
"2017-11-27",62
"2017-11-28",57
"2017-11-29",58
"2017-11-30",53
"2017-12-01",54
"2017-12-02",55
"2017-12-03",64
"2017-12-04",62
"2017-12-05",64
"2017-12-06",65
"2017-12-07",58
"2017-12-08",52
"2017-12-09",54
"2017-12-10",60
"2017-12-11",60
"2017-12-12",62
"2017-12-13",62
"2017-12-14",57
"2017-12-15",50
"2017-12-16",48
"2017-12-17",57
"2017-12-18",60
"2017-12-19",58
"2017-12-20",69
"2017-12-21",54
"2017-12-22",49
"2017-12-23",53
"2017-12-24",55
"2017-12-25",54
"2017-12-26",65
"2017-12-27",58
"2017-12-28",54
"2017-12-29",50
"2017-12-30",65
"2017-12-31",64
"2018-01-01",63
"2018-01-02",76
"2018-01-03",69
"2018-01-04",63
"2018-01-05",61
"2018-01-06",48
"2018-01-07",60
"2018-01-08",68
"2018-01-09",69
"2018-01-10",64
"2018-01-11",64
"2018-01-12",54
"2018-01-13",55
"2018-01-14",65
"2018-01-15",71
"2018-01-16",67
"2018-01-17",62
"2018-01-18",60
"2018-01-19",57
"2018-01-20",60
"2018-01-21",67
"2018-01-22",69
"2018-01-23",69
"2018-01-24",69
"2018-01-25",63
"2018-01-26",68
"2018-01-27",62
"2018-01-28",71
"2018-01-29",75
"2018-01-30",71
"2018-01-31",66
"2018-02-01",65
"2018-02-02",59
"2018-02-03",61
"2018-02-04",70
"2018-02-05",68
"2018-02-06",62
"2018-02-07",68
"2018-02-08",62
"2018-02-09",64
"2018-02-10",58
"2018-02-11",66
"2018-02-12",70
"2018-02-13",57
"2018-02-14",56
"2018-02-15",64
"2018-02-16",81
"2018-02-17",98
"2018-02-18",100
"2018-02-19",98
"2018-02-20",81
"2018-02-21",81
"2018-02-22",83
"2018-02-23",69
"2018-02-24",66
"2018-02-25",73
"2018-02-26",81
"2018-02-27",80
"2018-02-28",78
"2018-03-01",70
"2018-03-02",72
"2018-03-03",65
"2018-03-04",73
"2018-03-05",72
"2018-03-06",68
"2018-03-07",70
"2018-03-08",66
"2018-03-09",59
"2018-03-10",54
"2018-03-11",64
"2018-03-12",67
"2018-03-13",57
"2018-03-14",52
"2018-03-15",62
"2018-03-16",54
"2018-03-17",55
"2018-03-18",72
"2018-03-19",61
"2018-03-20",58
"2018-03-21",61
"2018-03-22",56
"2018-03-23",48
"2018-03-24",52
"2018-03-25",65
"2018-03-26",53
"2018-03-27",50
"2018-03-28",50
"2018-03-29",48
"2018-03-30",44
"2018-03-31",48
"2018-04-01",67
"2018-04-02",52
"2018-04-03",57
"2018-04-04",55
"2018-04-05",57
"2018-04-06",55
"2018-04-07",57
"2018-04-08",65
"2018-04-09",65
"2018-04-10",60
"2018-04-11",56
"2018-04-12",52
"2018-04-13",43
"2018-04-14",52
"2018-04-15",54
"2018-04-16",59
"2018-04-17",53
"2018-04-18",51
"2018-04-19",53
