네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","칫솔살균기"
"2017-08-01",39
"2017-08-02",54
"2017-08-03",39
"2017-08-04",31
"2017-08-05",29
"2017-08-06",36
"2017-08-07",38
"2017-08-08",38
"2017-08-09",35
"2017-08-10",34
"2017-08-11",34
"2017-08-12",22
"2017-08-13",34
"2017-08-14",42
"2017-08-15",46
"2017-08-16",42
"2017-08-17",36
"2017-08-18",39
"2017-08-19",34
"2017-08-20",56
"2017-08-21",56
"2017-08-22",59
"2017-08-23",45
"2017-08-24",50
"2017-08-25",34
"2017-08-26",30
"2017-08-27",47
"2017-08-28",38
"2017-08-29",47
"2017-08-30",40
"2017-08-31",35
"2017-09-01",31
"2017-09-02",33
"2017-09-03",40
"2017-09-04",40
"2017-09-05",52
"2017-09-06",47
"2017-09-07",47
"2017-09-08",39
"2017-09-09",33
"2017-09-10",42
"2017-09-11",46
"2017-09-12",46
"2017-09-13",39
"2017-09-14",33
"2017-09-15",32
"2017-09-16",28
"2017-09-17",37
"2017-09-18",41
"2017-09-19",52
"2017-09-20",42
"2017-09-21",37
"2017-09-22",29
"2017-09-23",35
"2017-09-24",40
"2017-09-25",47
"2017-09-26",57
"2017-09-27",47
"2017-09-28",40
"2017-09-29",30
"2017-09-30",25
"2017-10-01",41
"2017-10-02",35
"2017-10-03",40
"2017-10-04",29
"2017-10-05",47
"2017-10-06",52
"2017-10-07",47
"2017-10-08",58
"2017-10-09",71
"2017-10-10",70
"2017-10-11",69
"2017-10-12",55
"2017-10-13",39
"2017-10-14",35
"2017-10-15",44
"2017-10-16",57
"2017-10-17",58
"2017-10-18",50
"2017-10-19",50
"2017-10-20",44
"2017-10-21",39
"2017-10-22",54
"2017-10-23",55
"2017-10-24",51
"2017-10-25",46
"2017-10-26",45
"2017-10-27",39
"2017-10-28",38
"2017-10-29",48
"2017-10-30",47
"2017-10-31",54
"2017-11-01",50
"2017-11-02",48
"2017-11-03",44
"2017-11-04",46
"2017-11-05",58
"2017-11-06",58
"2017-11-07",55
"2017-11-08",49
"2017-11-09",41
"2017-11-10",39
"2017-11-11",35
"2017-11-12",48
"2017-11-13",52
"2017-11-14",50
"2017-11-15",41
"2017-11-16",39
"2017-11-17",35
"2017-11-18",28
"2017-11-19",45
"2017-11-20",43
"2017-11-21",50
"2017-11-22",43
"2017-11-23",44
"2017-11-24",36
"2017-11-25",40
"2017-11-26",52
"2017-11-27",49
"2017-11-28",56
"2017-11-29",54
"2017-11-30",47
"2017-12-01",43
"2017-12-02",45
"2017-12-03",65
"2017-12-04",61
"2017-12-05",57
"2017-12-06",57
"2017-12-07",48
"2017-12-08",49
"2017-12-09",40
"2017-12-10",53
"2017-12-11",54
"2017-12-12",72
"2017-12-13",59
"2017-12-14",44
"2017-12-15",38
"2017-12-16",36
"2017-12-17",57
"2017-12-18",62
"2017-12-19",55
"2017-12-20",56
"2017-12-21",45
"2017-12-22",40
"2017-12-23",42
"2017-12-24",51
"2017-12-25",60
"2017-12-26",77
"2017-12-27",69
"2017-12-28",64
"2017-12-29",54
"2017-12-30",51
"2017-12-31",56
"2018-01-01",81
"2018-01-02",82
"2018-01-03",72
"2018-01-04",73
"2018-01-05",57
"2018-01-06",53
"2018-01-07",75
"2018-01-08",91
"2018-01-09",81
"2018-01-10",59
"2018-01-11",60
"2018-01-12",50
"2018-01-13",52
"2018-01-14",65
"2018-01-15",71
"2018-01-16",57
"2018-01-17",65
"2018-01-18",68
"2018-01-19",54
"2018-01-20",47
"2018-01-21",75
"2018-01-22",72
"2018-01-23",62
"2018-01-24",63
"2018-01-25",53
"2018-01-26",50
"2018-01-27",47
"2018-01-28",74
"2018-01-29",69
"2018-01-30",67
"2018-01-31",52
"2018-02-01",57
"2018-02-02",52
"2018-02-03",51
"2018-02-04",72
"2018-02-05",78
"2018-02-06",63
"2018-02-07",55
"2018-02-08",59
"2018-02-09",45
"2018-02-10",36
"2018-02-11",62
"2018-02-12",45
"2018-02-13",39
"2018-02-14",34
"2018-02-15",38
"2018-02-16",45
"2018-02-17",52
"2018-02-18",75
"2018-02-19",83
"2018-02-20",74
"2018-02-21",73
"2018-02-22",69
"2018-02-23",56
"2018-02-24",62
"2018-02-25",79
"2018-02-26",78
"2018-02-27",88
"2018-02-28",80
"2018-03-01",94
"2018-03-02",88
"2018-03-03",72
"2018-03-04",100
"2018-03-05",79
"2018-03-06",77
"2018-03-07",64
"2018-03-08",74
"2018-03-09",60
"2018-03-10",51
"2018-03-11",67
"2018-03-12",79
"2018-03-13",64
"2018-03-14",61
"2018-03-15",66
"2018-03-16",59
"2018-03-17",53
"2018-03-18",76
"2018-03-19",82
"2018-03-20",69
"2018-03-21",70
"2018-03-22",65
"2018-03-23",48
"2018-03-24",49
"2018-03-25",71
"2018-03-26",66
"2018-03-27",72
"2018-03-28",52
"2018-03-29",54
"2018-03-30",51
"2018-03-31",44
"2018-04-01",76
"2018-04-02",66
"2018-04-03",71
"2018-04-04",66
"2018-04-05",67
"2018-04-06",56
"2018-04-07",53
"2018-04-08",69
"2018-04-09",67
"2018-04-10",60
"2018-04-11",54
"2018-04-12",47
"2018-04-13",45
"2018-04-14",45
"2018-04-15",61
"2018-04-16",62
"2018-04-17",57
"2018-04-18",56
"2018-04-19",50
